basy_yljgid,basy_caption,basy_yydj,flag
510000001386 ,志辉医院,二级乙等,0
510000001394 ,都江堰市人民医院,三级甲等,0
510000001396 ,都江堰市骨伤专科医院,二级乙等,2
510000001398 ,都江堰市第二人民医院,二级甲等,0
510000001400 ,都江堰市中医医院,三级甲等,0
510000001402 ,都江堰市妇幼保健院,三级乙等,0
510000001404 ,都江堰市第三人民医院,二级甲等,0
510000001408 ,阿坝州林业中心医院,二级甲等,0
510000001410 ,都江堰全特医院,一级未定等,0
510000001418 ,都江堰宏惠医院,二级乙等,0
510000001424 ,都江堰宁江医院,一级甲等,0
510000001426 ,都江堰兴开医院,一级未定等,0
510000001428 ,都江堰岷刚医院,一级未定等,0
510000001432 ,彭州太平场医院,一级未定等,0
510000001434 ,彭州市传染病医院,未定级未定等,0
510000001436 ,彭州市第四人民医院（彭州市精神卫生中心）,二级甲等,0
510000001438 ,彭州市中医医院,三级甲等,0
510000001440 ,彭州市敖平镇卫生院(彭州市第三人民医院),未定级未定等,0
510000001444 ,彭州丰乐医院,未定级未定等,0
510000001446 ,彭州市人民医院,三级甲等,0
510000001448 ,彭州市妇幼保健计划生育服务中心（彭州市妇幼保健院）,三级甲等,0
510000001454 ,彭州罗万医院,一级未定等,0
510000001456 ,彭州思文医院,一级未定等,0
510000001458 ,彭州市中西医结合医院,二级甲等,0
510000001462 ,彭州石洞埝医院,一级未定等,0
510000001474 ,彭州同一医院,二级甲等,0
510000001476 ,彭州颐康医院,一级未定等,0
510000001480 ,邛崃市妇幼保健计划生育服务中心,三级乙等,0
510000001482 ,邛崃市医疗中心医院,三级乙等,0
510000001484 ,邛崃市临邛社区卫生服务中心,未定级未定等,0
510000001486 ,邛崃市中医医院,三级乙等,0
510000001492 ,四川省复员退伍军人医院,三级乙等,0
510000001494 ,崇州市人民医院,三级甲等,0
510000001496 ,崇州二医院,二级甲等,0
510000001498 ,崇州市中医医院,三级乙等,0
510000001500 ,崇州市妇幼保健计划生育服务中心（崇州市妇幼保健院）,三级乙等,0
510000001502 ,崇州协好医院,未定级未定等,0
510000001506 ,崇州西湖骨伤专科医院,二级未定等,2
510000001508 ,崇州蜀都医院,未定级未定等,0
510000001510 ,崇州众康医院,一级乙等,0
510000001516 ,自贡市第一人民医院,三级甲等,0
510000001518 ,自贡市第四人民医院,三级甲等,0
510000001520 ,自流井区五星街社区卫生服务中心,未定级未定等,0
510000001524 ,自流井区中医院,二级甲等,0
510000001528 ,自贡汇东医院（高新区）,一级甲等,0
510000001534 ,自流井区第二人民医院,二级乙等,0
510000001538 ,自贡市光大医院,二级乙等,0
510000001542 ,内江铁路医院自贡分院,一级乙等,0
510000001556 ,自贡博爱医院,一级甲等,0
510000001558 ,自流井区第三人民医院,一级甲等,0
510000001562 ,自贡红新医院,一级甲等,0
510000001564 ,自贡市第三人民医院,三级甲等,0
510000001566 ,自贡市精神卫生中心,三级甲等,0
510000001568 ,自贡市第六人民医院,二级未定等,0
510000001570 ,贡井区中医医院,二级甲等,0
510000001572 ,自贡市贡井区妇幼保健院,一级甲等,0
510000001580 ,自贡市精神病人康复院,未定级未定等,0
510000001584 ,自贡市妇幼保健院（自贡市妇女儿童医院）,三级甲等,0
510000001586 ,自贡市中医医院,三级甲等,0
510000001588 ,自贡市大安区人民医院（自贡市肿瘤医院）,二级乙等,0
510000001590 ,自贡市大安区妇幼保健院（大安区红十字博爱妇幼保健院）,三级乙等,0
510000001592 ,大安区老年病医院,二级未定等,0
510000001594 ,自贡和平医院,一级未定等,0
510000001598 ,自贡七六四医院,二级乙等,0
510000001602 ,沿滩区人民医院,二级乙等,0
510000001604 ,自贡市沿滩区妇幼保健院,一级甲等,0
510000001608 ,荣县人民医院,三级乙等,0
510000001610 ,荣县妇幼保健院,二级乙等,0
510000001612 ,荣县精神病医院（荣县第三人民医院）,二级甲等,0
510000001614 ,荣县中医医院（荣县第二人民医院）,三级乙等,0
510000001618 ,荣县新城医院,二级甲等,0
510000001620 ,富顺县人民医院,三级乙等,0
510000001622 ,富顺县中医医院,三级乙等,0
510000001624 ,富顺县妇幼保健院,三级乙等,0
510000001626 ,富顺侨兴医院,一级甲等,0
510000001628 ,富顺大生堂医院,一级甲等,0
510000001630 ,富顺华英医院,一级甲等,0
510000001634 ,富顺县晨光医院（富顺县第三人民医院）,二级甲等,0
510000001636 ,攀枝花市妇幼保健院,三级甲等,0
510000001638 ,攀枝花市中西医结合医院,三级甲等,0
510000001640 ,攀枝花市中心医院,三级甲等,4
510000001642 ,中国十九冶集团有限公司职工医院,二级甲等,0
510000001650 ,攀钢集团总医院,三级甲等,0
510000001666 ,攀枝花市第二人民医院,三级乙等,0
510000001674 ,攀枝花煤业集团有限责任公司总医院,二级甲等,0
510000001680 ,攀枝花市第四人民医院,未定级未定等,0
510000001682 ,攀枝花市第三人民医院,三级甲等,0
510000001684 ,攀枝花市仁和区妇幼保健服务中心（攀枝花市仁和区妇幼保健院）,一级甲等,0
510000001686 ,攀枝花市仁和区人民医院,二级甲等,0
510000001690 ,攀枝花市铁路医院,一级甲等,0
510000001696 ,米易县人民医院,二级甲等,0
510000001698 ,米易县中医医院,二级甲等,0
510000001700 ,米易县妇幼保健服务中心,二级甲等,0
510000001704 ,盐边县妇幼保健服务中心,一级甲等,0
510000001706 ,盐边县中医院,二级甲等,0
510000001708 ,盐边县人民医院,二级甲等,0
510000001714 ,西南医科大学附属中医医院,三级甲等,4
510000001716 ,西南医科大学附属医院,三级甲等,4
510000001718 ,泸州市中医医院,三级甲等,0
510000001720 ,泸州市人民医院（泸州市红十字医院、泸州市江阳区人民医院）,三级甲等,0
510000001722 ,泸州市精神病医院,三级乙等,0
510000001724 ,泸州市江阳区妇幼保健院（泸州市江阳区妇女儿童医院、泸州市江阳区妇幼保健计划生育服务中心）,二级未定等,0
510000001746 ,泸州王氏骨科医院,二级乙等,2
510000001750 ,泸州石油医院,二级未定等,0
510000001752 ,泸州市纳溪区人民医院,三级乙等,0
510000001754 ,泸州市纳溪区妇幼保健计划生育服务中心（泸州市纳溪区妇幼保健院）,二级乙等,0
510000001756 ,泸州市纳溪区中医医院,二级甲等,0
510000001758 ,泸天化医院,一级未定等,0
510000001760 ,泸州建平中医医院,一级未定等,0
510000001762 ,泸州市龙马潭区中医医院,二级甲等,0
510000001764 ,泸州市龙马潭区妇幼保建计划生育服务中心（泸州市龙马潭区妇幼保健院）,二级甲等,0
510000001772 ,泸州龙马潭仁康医院,一级未定等,0
510000001774 ,泸州骨病医院,二级未定等,2
510000001776 ,泸州骨康妇外医院,二级未定等,2
510000001780 ,泸县人民医院,三级乙等,0
510000001782 ,泸县妇幼保健计划生育服务中心（泸县妇幼保健院）,二级乙等,0
510000001790 ,合江县中医医院,三级乙等,0
510000001792 ,合江县人民医院,三级乙等,0
510000001796 ,合江县妇幼保健计划生育服务中心（合江县妇幼保健院）,二级乙等,0
510000001798 ,合江张氏骨科医院,二级乙等,2
510000001800 ,合江精神康复医院,二级乙等,0
510000001808 ,叙永县人民医院,三级乙等,0
510000001810 ,叙永县中医医院,三级乙等,0
510000001812 ,叙永县妇幼保健计划生育服务中心（叙永县妇幼保健院）,二级乙等,0
510000001814 ,古蔺县人民医院,三级乙等,0
510000001816 ,古蔺县中医医院,二级甲等,0
510000001818 ,古蔺县妇幼保健计划生育服务中心,二级乙等,0
510000001822 ,古蔺康兴妇产医院,二级乙等,0
510000001824 ,德阳市人民医院,三级甲等,0
510000001826 ,德阳市口腔医院,三级乙等,0
510000001828 ,德阳市中西医结合医院,三级乙等,0
510000001832 ,德阳市旌阳区妇幼保健计划生育服务中心 德阳市妇幼保健院 德阳市旌阳区妇幼保健院,三级乙等,0
510000001836 ,德阳市旌阳区中医院,三级乙等,0
510000001838 ,德阳骨科医院,二级乙等,2
510000001840 ,德阳市第二人民医院,三级乙等,0
510000001844 ,德阳美康皮肤病专科医院,二级未定等,0
