,basy_yydj,basy_ssjczbm1_for_str_4,HAOCAI-only_operation-4-E,JCJY-only_operation-4-E,YP-only_operation-4-E,ZFY-only_operation-4-E,记录条数-only_operation-4
2636,5,32.4,19750.12360655738,7347.949153005465,4626.469043715847,45080.877595628415,366
2638,5,32.6,16839.572727272727,7506.27,5480.661363636364,42603.10363636364,22
2641,5,33.2,455.99165960332255,3641.5499457535175,2584.0654009154096,9707.017582641125,5899
2643,5,33.4,18776.184375,5712.51,6511.885625,47558.524375,32
2645,5,33.9,497.49414634146336,3592.477682926829,2570.4357317073172,10467.743170731708,82
2646,5,34.0,756.9316568914957,3575.23573313783,2979.027694281525,11318.127576979472,2728
2648,5,34.2,4932.621274509804,5460.195098039216,3590.637843137255,20524.538725490194,102
2649,5,34.3,4514.833384615385,4935.413846153847,2831.887230769231,22243.58353846154,65
2650,5,34.4,406.3070078740157,1818.1591338582678,845.023937007874,6023.42779527559,127
2652,5,34.7,1425.3061904761905,1778.799761904762,1800.3023809523809,8242.330595238096,84
2654,5,34.9,481.6370952380952,3820.352089285714,3186.8719404761905,11135.530410714286,1680
2659,5,36.0,10091.359848206072,3571.8558509659615,3233.560202391904,26507.988261269547,2174
2662,5,37.0,573.643918918919,4848.042432432432,3380.207027027027,12408.382702702704,74
2664,5,37.3,40025.81799065421,3436.2460747663554,1536.2508878504673,51353.07387850468,214
2667,5,37.7,19795.011707317073,4909.6375609756105,2829.6660975609757,35851.321951219514,41
2668,5,37.8,36190.976736111115,3698.001423611111,2125.442673611111,48807.43052083333,288
2670,5,38.0,16537.839444444442,3743.180833333334,4925.373888888888,33014.879166666666,36
2675,5,38.5,754.5886773378264,1953.2641617523168,1171.6973799494524,8128.176259477676,1187
2676,5,38.6,7661.215217391305,4165.229565217392,5041.647608695653,25761.886739130434,46
2677,5,38.7,21890.736384615386,5492.683538461539,7221.972153846154,46607.79592307692,130
2678,5,38.8,8501.621333333334,5404.977333333333,4830.955333333333,29314.283333333333,30
2679,5,38.9,1102.9726585623678,3934.8798493657505,4575.868118393235,14711.823028541226,3784
2681,5,39.2,1104.5232169954477,3350.124825493171,2802.146449165402,13187.001820940819,659
2682,5,39.3,988.438954248366,2080.2351633986927,3476.2725490196076,17247.523921568627,153
2683,5,39.4,6186.284504504504,2224.004144144144,1067.17018018018,14342.84009009009,111
2684,5,39.5,14152.703410404623,4797.478554913295,4748.050809248555,35506.115520231215,346
2686,5,39.7,37630.898125,5632.568400423729,6856.05406779661,63416.48358050847,944
2687,5,39.9,2259.7173487405867,2765.3109062581148,2478.10195014282,13083.9514126201,3851
2688,5,40.1,568.5547567567568,3593.8900540540544,1537.162162162162,8283.392702702702,185
2689,5,40.2,673.6928813559322,2988.7138983050845,1254.957966101695,7807.396101694915,118
2692,5,40.5,4628.5028571428575,5267.39761904762,3771.657619047619,22036.062380952382,21
2695,5,41.3,146.2114109589041,3303.789219178082,1663.6083972602742,8227.519945205479,730
2697,5,41.5,6682.142623762376,7994.221435643564,7579.3047029702975,37066.83188118812,202
2699,5,42.2,245.2211504424779,2536.7030088495576,1196.3910619469027,5594.026283185841,113
2700,5,42.3,2785.6728428093647,3238.201337792642,3031.500200668896,14208.519264214046,299
2701,5,42.4,21342.253757225433,10229.725664739884,10256.696242774566,61822.36739884393,173
2704,5,42.8,4213.281546391752,3001.8565979381447,2623.159381443299,12826.49793814433,97
2705,5,42.9,1485.2895953757227,2434.7201156069364,2297.408959537572,9348.524161849711,173
2707,5,43.1,1721.79,4311.050645161291,5798.113870967742,19397.13193548387,31
2708,5,43.4,651.2835924369748,2052.470530462185,1042.2770693277312,6512.219427521008,3808
2709,5,43.5,16632.39083333333,8555.433611111112,7988.212777777777,46661.294444444444,36
2710,5,43.6,14766.14222222222,9183.455555555554,8219.792962962963,46619.05333333333,27
2711,5,43.7,16633.52608,9317.84104,8939.04536,50884.46792,125
2712,5,43.8,12746.269,8042.511333333333,7562.295666666667,41839.712666666666,30
2713,5,43.9,15319.037303370787,9541.888651685393,8254.364943820225,50578.17235955056,89
2714,5,44.1,148.0396664310954,2444.5302621908127,1508.989713074205,5898.844098233215,14150
