,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-only_operation-6-E,AGE-JCJY-only_operation-6-E,AGE-YP-only_operation-6-E,AGE-ZFY-only_operation-6-E,记录条数-only_operation-6
38200,6,70.500,5,759.0818309859154,2333.855070422535,1236.3459154929576,9618.743943661972,71
38201,6,70.500,6,793.5013793103449,2809.3410344827585,1359.2644827586207,10704.35551724138,29
38202,6,70.500,8,1361.8533333333332,3164.076,1350.0966666666668,10766.322333333334,30
38217,6,70.530,6,14185.63361111111,2915.6955555555555,1400.4733333333334,27081.42583333333,36
38218,6,70.530,8,13363.198484848484,3760.6139393939393,1713.100303030303,26590.514848484847,33
38237,6,70.710,2,403.5291176470588,1877.2426470588234,664.6864705882354,5382.139558823529,68
38238,6,70.710,3,333.23190476190473,1747.8761904761905,558.002380952381,5117.614047619048,42
38270,6,71.010,0,130.33142857142857,692.6057142857143,137.73809523809524,1904.6638095238097,21
38278,6,71.090,2,212.40131147540984,1152.0206557377048,744.6918032786886,3813.5996721311476,61
38279,6,71.090,3,206.09837837837838,1332.958918918919,766.8251351351352,3746.281081081081,37
38280,6,71.090,4,268.33,1239.7916666666667,726.4808333333334,3792.6654166666667,24
38296,6,71.220,2,228.5109375,1253.78625,754.40953125,3806.00546875,64
38297,6,71.220,3,195.16723880597016,1197.7508208955223,719.5110447761193,3588.6211194029847,134
38298,6,71.220,4,221.50124087591243,1366.1606569343066,725.0019708029197,3799.055474452555,137
38299,6,71.220,5,182.1254430379747,1576.547088607595,697.519493670886,3860.179493670886,79
38306,6,71.240,4,534.8329166666666,1882.3420833333332,751.7316666666666,5739.169166666667,24
38307,6,71.240,5,577.4320833333333,2319.07875,1037.3387500000001,6522.639166666667,24
38311,6,71.290,2,188.24347826086958,1093.2108695652173,600.591304347826,3216.169565217391,23
38312,6,71.290,3,177.70160714285717,1212.6242857142859,524.4335714285714,3241.915,56
38313,6,71.290,4,215.9226530612245,1535.5728571428572,748.2667346938775,3986.9446938775513,49
38314,6,71.290,5,231.90171428571426,1545.2545714285714,617.4788571428571,4012.4379999999996,35
38318,6,71.3x0,2,249.89,1440.6033333333332,489.1886666666667,4236.9915,60
38319,6,71.3x0,3,241.0957471264368,1406.7029885057473,374.8403448275862,4393.024137931035,87
38320,6,71.3x0,4,287.76955357142856,1867.4910714285713,466.72294642857145,5037.070625,112
38321,6,71.3x0,5,410.43991803278686,1948.5241803278689,512.490737704918,5717.689754098361,122
38322,6,71.3x0,6,311.81638888888887,2220.1269444444447,691.4838888888889,6009.083611111111,36
38340,6,71.710,2,208.87970059880243,1454.77874251497,667.7598203592814,4781.047724550898,167
38341,6,71.710,3,253.85874015748033,1549.1361417322835,688.6751181102362,5138.236220472441,127
38351,6,71.790,5,3609.122058823529,2126.5188235294117,1473.3176470588237,13210.238823529411,34
38352,6,71.790,6,13529.185925925927,2903.646296296296,1129.6559259259259,23943.954814814817,27
38353,6,71.790,8,17980.786666666667,3329.0833333333335,1808.6409523809523,29829.133809523813,21
38357,6,72.0x0,2,465.7321739130435,2154.7939130434784,1263.574347826087,9390.189130434783,23
38360,6,72.1x0,2,711.4446575342465,2084.8645890410958,1362.3295205479453,11833.566575342466,146
