,basy_yydj,basy_ssjczbm1_for_str_8,age_group,AGE-HAOCAI-only_operation-8-E,AGE-JCJY-only_operation-8-E,AGE-YP-only_operation-8-E,AGE-ZFY-only_operation-8-E,记录条数-only_operation-8
996,1,30.0903,5,1203.5161904761906,1104.535238095238,2208.267142857143,6888.110952380953,21
1036,1,33.2600,5,1306.1063636363638,466.92121212121214,727.5833333333334,4255.774545454546,33
1099,1,38.3000,5,1844.418076923077,1129.0,3160.9223076923076,13160.398076923077,26
1119,1,38.5901,3,1967.0416666666667,1557.5555555555557,2633.9025,17543.805277777778,36
1120,1,38.5901,4,1972.7148039215688,1621.3862745098038,2531.2616666666668,16016.03088235294,102
1121,1,38.5901,5,2150.707366548043,1647.8768683274022,2601.7099644128116,16317.976441281138,281
1122,1,38.5901,6,2129.343097826087,1711.3247282608695,2618.712663043478,17089.747173913045,184
1123,1,38.5901,8,2057.06362745098,1809.4627450980392,2599.659411764706,15402.045588235293,102
1146,1,38.9100,3,4990.489166666667,1986.9916666666666,4717.454166666666,29779.059999999998,24
1147,1,38.9100,4,5631.814324324325,1891.0918918918917,4776.364594594595,30308.07081081081,37
1148,1,38.9100,5,4152.158918918919,2011.9891891891893,4547.197837837838,27428.143243243245,37
1233,1,39.5000x,5,9090.679655172413,1368.2758620689656,812.1124137931034,14334.119999999999,29
1235,1,39.5000x,8,8225.77375,1304.7708333333333,719.3483333333334,13587.974583333335,24
1273,1,39.9500,5,699.3581481481481,1605.6525925925928,3872.3981481481483,10623.71,27
1275,1,39.9500,8,570.6059090909091,1445.540909090909,2122.783181818182,9115.669545454546,22
1295,1,39.9700,5,3460.9496153846153,2461.984615384615,4786.766538461538,27705.200769230767,26
1360,1,43.4105,5,1337.696739130435,946.7369565217392,2005.7504347826089,6948.703478260869,46
1361,1,43.4105,6,945.0334782608696,1016.4782608695652,1571.0321739130434,5814.326521739131,23
1419,1,45.2302,4,1644.4164285714285,677.1357142857142,3228.1853571428574,7614.9917857142855,28
1420,1,45.2302,5,1770.1236111111111,715.1583333333333,3504.9019444444443,8123.760555555556,36
1439,1,45.4200,4,1161.5733333333333,1002.4888888888889,483.06814814814817,4886.768148148148,27
1440,1,45.4200,5,1381.5301923076925,1157.8346153846155,481.95903846153846,5337.9792307692305,52
1441,1,45.4200,6,1954.1373333333333,1035.1766666666667,417.8226666666667,6341.741333333333,30
1445,1,45.42003,5,1717.152857142857,931.3342857142858,398.61,6221.350857142857,35
1452,1,45.4200x,5,1206.5522857142857,908.4771428571429,1498.0551428571428,5886.910285714285,35
1460,1,45.4201,5,1611.0003846153847,805.0461538461539,2845.0292307692307,8126.860384615385,26
1492,1,45.4307,5,2364.341363636364,1068.5,523.2454545454545,6974.62909090909,22
1514,1,47.0100,1,1210.8020833333333,1187.7916666666667,1860.74875,6871.077499999999,24
1517,1,47.0100,4,1440.6896296296297,1367.1314814814816,2277.7496296296295,8170.253333333333,27
1518,1,47.0100,5,1422.0863636363638,1538.15,2501.821590909091,8357.33090909091,44
1519,1,47.0100,6,1710.1338095238093,1434.6761904761904,2405.785714285714,8249.590476190477,21
1609,1,48.7601,2,1763.396551724138,650.5110344827586,4169.102068965518,9128.44931034483,29
1610,1,48.7601,3,2009.9175,674.1600000000001,4337.586499999999,10746.917,40
1611,1,48.7601,4,1718.4076923076923,683.7807692307692,4410.150384615385,9830.863461538462,52
1612,1,48.7601,5,1834.987142857143,718.6628571428572,4195.244857142858,10326.368571428573,70
1613,1,48.7601,6,1752.242857142857,784.7523809523809,4639.232857142857,11070.934761904762,21
1639,1,49.0400x,2,3153.9402702702705,664.4083783783784,3813.705945945946,10639.501351351351,37
1640,1,49.0400x,3,2697.108,670.6054285714285,3805.0782857142854,10036.182571428571,35
1685,1,49.4500,2,3434.2682692307694,708.0128846153846,2216.9375961538462,8482.606634615384,104
1686,1,49.4500,3,2906.933076923077,843.1443589743589,2369.3702564102564,8568.982051282052,39
1687,1,49.4500,4,3177.5841935483872,811.6525806451613,2597.7122580645164,8965.286129032258,31
1688,1,49.4500,5,2971.1165,817.17975,2461.31525,8730.4005,40
1693,1,49.4500x,3,2497.04,438.4921739130435,1644.4421739130435,7413.6865217391305,23
1695,1,49.4500x,5,1031.79,624.5332258064516,1490.5129032258064,5063.353870967742,31
1699,1,49.4501,2,2383.2611428571427,797.2257142857143,2599.5842857142857,10824.577714285713,35
1700,1,49.4501,3,2885.842105263158,873.5084210526315,2919.5984210526317,10328.080000000002,38
1701,1,49.4501,4,2639.7877272727274,968.5268181818182,2978.6406818181817,9833.180681818181,44
1702,1,49.4501,5,2817.6029411764707,977.5623529411765,2754.338431372549,9367.41156862745,51
1707,1,49.4600,3,1480.8927272727271,761.3477272727273,2058.3763636363637,7388.867727272727,22
1709,1,49.4600,5,1286.4824,675.6311999999999,2944.6204,6948.7344,25
1734,1,49.4900,4,3965.8503703703705,608.5185185185185,1095.662962962963,12350.504074074073,27
1735,1,49.4900,5,4285.619230769231,665.2307692307693,1145.0284615384617,11895.413076923076,26
1740,1,49.49003,3,1381.1061764705883,656.6617647058823,438.3958823529412,6128.450294117647,34
1741,1,49.49003,4,1450.5957894736841,735.25,427.80026315789473,6447.061578947369,38
1742,1,49.49003,5,1496.8626000000002,752.06,441.1676,6534.1898,50
1747,1,49.4900x,3,7603.394827586208,762.3275862068965,2357.032068965517,13104.002068965518,29
1749,1,49.4900x,5,7641.7212,883.3072,2442.1472,12945.311199999998,25
1754,1,49.4901,3,6489.64,699.0165,2681.72075,13955.23,40
1755,1,49.4901,4,5904.53,669.136,2950.1313333333333,13318.154666666665,45
1756,1,49.4901,5,6232.97904109589,686.5195890410959,3042.338082191781,13898.15698630137,73
1803,1,51.0400x,2,4651.696578947369,2222.3684210526317,7300.444210526316,18204.97236842105,38
1804,1,51.0400x,3,4872.9404347826085,2212.9521739130437,7152.200217391305,18491.134130434784,46
1805,1,51.0400x,4,4939.581,2244.428,7153.304399999999,18565.9894,50
1806,1,51.0400x,5,4878.0828358208955,2292.4895522388056,7464.885074626865,18835.20373134328,67
1819,1,51.2300,2,1922.4053571428572,1884.825,4331.716785714286,11558.763214285715,28
1820,1,51.2300,3,1695.1240625,1609.9328125,3518.53203125,10053.424375,64
1821,1,51.2300,4,1590.1007692307694,1508.8996153846153,2998.8368269230773,9514.27451923077,104
1822,1,51.2300,5,1649.5290082644628,1497.7615289256198,2652.746694214876,9032.272479338842,242
1823,1,51.2300,6,1665.806129032258,1590.7731182795699,2671.3670967741937,9260.307956989247,93
1824,1,51.2300,8,1580.5218666666667,1576.1613333333335,2622.5236,9198.058133333334,75
1903,1,53.0401,8,1751.136551724138,1072.1586206896552,1575.3658620689655,6538.635862068965,29
1974,1,54.5100x,2,855.8588461538462,317.65512820512816,1283.679487179487,17432.445641025643,78
1975,1,54.5100x,3,960.6533766233766,258.96155844155845,1355.2687012987012,17658.76090909091,77
1976,1,54.5100x,4,880.9930555555555,452.2083333333333,1326.0133333333333,16651.260833333334,36
1981,1,54.5103,2,2226.6208823529414,407.7147058823529,851.0464705882354,17080.16522058824,136
1982,1,54.5103,3,2282.371989247312,415.7430107526882,922.1512365591398,17316.495806451614,186
1983,1,54.5103,4,1995.6984,397.7,925.9644000000001,17064.1106,50
2067,1,56.0x00x,2,4172.952333333334,2099.766666666667,4507.361333333333,14276.717,30
2068,1,56.0x00x,3,5012.981066666667,2353.1493333333333,5093.010666666666,16295.763733333333,75
2069,1,56.0x00x,4,4466.404444444444,2220.8535353535353,4173.496363636364,14450.13808080808,99
2070,1,56.0x00x,5,4298.806875,1951.7214285714285,3853.858482142857,13801.338124999998,112
2071,1,56.0x00x,6,3390.1641025641024,2175.85641025641,3646.978205128205,12584.094615384616,39
2072,1,56.0x00x,8,5111.76,2082.9,3884.7182608695653,15131.133913043479,23
2086,1,56.0x06,5,7406.399615384615,1980.5653846153846,4068.9311538461543,17184.296153846153,26
2260,1,62.9900x,2,972.5280952380953,1721.6857142857143,1177.1133333333335,9138.831904761904,21
2261,1,62.9900x,3,979.0709615384616,1818.951923076923,1297.5011538461538,8895.639423076924,52
2273,1,63.1x01,2,825.3948484848485,130.04242424242423,589.6751515151515,16156.340303030302,33
