,basy_zyzd_jbbm_for_str_4,basy_yydj,HAOCAI-4-only_disease-E,JCJY-4-only_disease-E,YP-4-only_disease-E,ZFY-4-only_disease-E,记录条数-4-only_disease
408,C22.,1,6082.584060913706,2508.5736040609136,9386.372436548223,26474.98578680203,197
409,C22.,2,1428.6889655172413,2238.8389655172414,6403.723793103449,14261.157241379311,29
410,C22.,3,1698.861700404858,3821.181862348178,5437.066720647773,16418.838744939272,247
411,C22.,4,1088.5725263157894,2923.396035087719,4530.307122807018,22898.666842105264,285
412,C22.,5,3386.522630813953,4647.850406976744,5279.344738372093,19786.500421511628,688
413,C22.,6,7237.75315359116,5802.950912707182,6406.016603314917,30746.32584972376,4525
418,C23.,5,2039.7386,4588.9576,4396.4394,16869.2588,50
419,C23.,6,6493.3634749034745,7528.554324324325,9015.649652509654,35886.55625482625,259
420,C24.,1,5511.472222222223,2847.318518518519,7808.286296296296,24533.036296296297,27
422,C24.,3,3589.8397297297297,6218.368108108108,8920.637297297297,28064.347567567565,37
424,C24.,5,4947.85377952756,5918.8158267716535,7915.32094488189,27250.870472440944,127
425,C24.,6,9759.6795371669,8572.84399719495,11352.057882187939,44442.86544179523,713
426,C25.,1,4784.0160000000005,2643.2105263157896,12111.753894736841,27007.907052631577,95
428,C25.,3,2075.100735294118,4259.247205882353,6325.434558823529,17723.229264705882,68
429,C25.,4,3609.20375,7054.887916666667,7848.7733333333335,37438.947916666664,24
430,C25.,5,3466.212470588235,5640.284176470588,6421.638588235294,22489.539999999997,170
431,C25.,6,7940.987452745275,8013.428397839783,10340.515715571559,39597.82813681368,1111
437,C26.,6,3732.0723076923077,6695.425961538462,7104.8949999999995,25628.91192307692,52
441,C30.,6,3795.805263157895,6076.123684210526,3229.465,22937.20736842105,38
445,C31.,6,4295.50975,6449.717500000001,3021.1639999999998,23205.11825,40
450,C32.,5,911.785,3034.151956521739,2558.1002173913043,11068.552391304347,46
451,C32.,6,2917.856386946387,5900.671235431235,4503.896503496504,25446.82878787879,429
455,C34.,1,3528.5243678160923,2035.5662068965519,7940.486298850575,20852.059816091954,435
