,basy_zyzd_jbbm_for_str_7,basy_yydj,HAOCAI-7-only_disease-E,JCJY-7-only_disease-E,YP-7-only_disease-E,ZFY-7-only_disease-E,记录条数-7-only_disease
13909,I38.x00,5,753.6727894736841,2089.6068421052632,1427.5839473684211,6187.968315789473,190
13910,I38.x00,6,254.45816176470586,2944.6394852941175,1865.6913970588234,7066.1755882352945,136
13912,I38.x01,2,178.20117647058825,1560.9180392156863,2381.0076470588233,5239.600980392157,51
13913,I38.x01,3,113.57079439252337,2022.0454205607475,1484.9750934579438,5558.728457943925,214
13914,I38.x01,4,183.56276923076922,2454.9246153846157,1303.9707692307693,6099.956461538462,65
13915,I38.x01,5,164.69554112554113,2170.964761904762,1464.0630303030302,5572.491688311688,231
13916,I38.x01,6,23670.871185185184,5177.224259259259,4717.238,44145.26511111111,270
13922,I40.000,6,12146.391,13837.038666666665,14793.028333333332,61394.14033333333,60
13925,I40.001,3,34.6341935483871,1647.1648387096775,660.6509677419355,3164.321290322581,31
13927,I40.001,5,327.2872413793103,2004.6568965517242,863.1503448275862,4473.05275862069,29
13928,I40.001,6,421.3638157894737,3907.6273684210523,1119.7788157894738,7522.345526315789,76
13937,I40.900,5,325.7257142857143,2081.217857142857,1070.1510714285714,5499.042142857143,28
13938,I40.900,6,763.2404444444444,6144.179111111111,3121.6702222222225,14326.582444444444,90
13939,I42.000,1,106.4492105263158,1375.0605263157895,2269.650789473684,5371.923947368421,38
13940,I42.000,2,130.9489696969697,1721.2254545454546,2578.9616363636364,6033.888060606061,165
13941,I42.000,3,166.0725842696629,2250.4678330658107,1976.9206420545747,6254.905906902087,623
13942,I42.000,4,253.86992424242425,2559.837121212121,1808.5688636363636,6272.449545454545,132
13943,I42.000,5,966.9903557312252,2539.590108695652,2208.604584980237,8072.328567193676,1012
13944,I42.000,6,4033.2583717508583,3637.389318293281,2931.4436684649336,14532.897856792546,2039
13946,I42.001,2,111.83190476190475,1707.9761904761904,3367.530952380952,8439.600952380952,21
13947,I42.001,3,138.93607142857144,1422.1285714285714,1389.8799999999999,3957.8189285714284,28
13949,I42.001,5,441.60333333333335,2323.3483333333334,2466.3036666666667,7766.127666666667,30
13950,I42.001,6,4022.389512195122,3850.085243902439,4177.520853658537,14567.246341463415,82
13954,I42.100,6,2032.1925641025643,4378.305641025641,1906.2574358974357,11301.444615384615,39
13958,I42.101,6,6785.526153846155,5145.0615384615385,1982.8442307692308,24361.708076923078,78
13963,I42.200,5,271.77969696969694,2374.180909090909,1741.9375757575758,6333.388181818182,33
13964,I42.200,6,2887.9022307692308,4457.771,1801.7053076923078,15536.68876923077,130
13968,I42.201,6,3310.4333333333334,4732.821904761904,939.5523809523809,11977.721904761906,21
13984,I42.600,6,370.53205882352944,3386.5773529411767,3789.7282352941174,10705.88411764706,34
13990,I42.800,5,641.4314285714287,2884.7000000000003,1394.3489285714284,7796.686071428571,28
13991,I42.800,6,6994.38076923077,3698.0976923076923,1706.7607692307693,16006.49076923077,39
13993,I42.802,5,207.0159090909091,1818.0904545454543,1137.1772727272728,5319.644090909091,22
13994,I42.802,6,3386.8558823529415,4259.688823529412,2921.171764705882,14290.346176470588,68
14000,I42.900,3,183.5468,1876.48,1374.9946,4831.576599999999,50
14002,I42.900,5,367.38453781512607,2069.895462184874,1747.2995798319328,6602.034957983194,119
14003,I42.900,6,3154.5894444444443,4182.314666666667,2371.7977222222225,12463.680222222221,180
14013,I44.000,6,13966.23095238095,4430.8,1526.5,22724.358095238094,21
14016,I44.100,6,22088.204146341464,3778.0185365853663,937.7158536585365,31054.066829268293,41
14020,I44.101,6,5530.119677419355,3491.355806451613,797.9890322580645,13747.592903225806,31
14025,I44.102,6,30063.638921568625,4335.084607843138,1588.4738235294117,40101.605294117646,102
14028,I44.200,3,7060.8708823529405,2539.401470588235,1479.795,13529.700294117647,34
14029,I44.200,4,14585.680416666668,3529.9625,2232.9483333333333,32237.70583333333,24
14030,I44.200,5,23166.43476744186,3535.0056395348834,1782.121976744186,33356.94587209303,172
14031,I44.200,6,31655.0145308642,4798.456135802469,1949.1263456790125,45159.860962962965,810
14035,I44.201,5,23354.58111111111,2833.848148148148,1632.698148148148,31439.92703703704,27
14036,I44.201,6,33203.240375,4698.4808125,2080.6310624999996,45758.1390625,160
14070,I45.502,6,21546.39,5395.762962962963,1691.0096296296297,34191.87907407407,54
14074,I45.600,5,8035.988333333334,2288.122083333333,982.6933333333333,13629.537083333335,24
14075,I45.600,6,19493.983402061855,3116.6974914089346,424.6145704467354,30309.25972508591,291
14082,I45.802,6,22606.73053763441,3227.737419354839,333.04860215053765,33306.12784946237,186
14094,I45.901,6,21614.459545454545,6786.578181818182,5049.15,40605.854090909095,22
14096,I46.000,3,1367.7070370370368,5645.914814814814,4657.3099999999995,19023.79962962963,27
14098,I46.000,5,941.8742105263158,3736.699210526316,4003.2368421052633,17411.28210526316,38
14099,I46.000,6,2308.9674117647055,9875.19011764706,10019.15894117647,34815.66470588235,85
14100,I46.100,1,56.26,1267.2954545454545,1894.947272727273,6164.549545454545,22
14101,I46.100,2,185.5848,1368.7244,1376.4076,4925.946,25
14102,I46.100,3,230.46057142857143,1876.9502857142857,1311.4737142857143,5244.187428571428,70
14104,I46.100,5,544.5659302325581,2418.3947674418605,1658.1265116279071,8071.6248837209305,86
14105,I46.100,6,2594.0833333333335,5165.80696969697,3707.8849494949495,17251.40686868687,99
14110,I46.900,6,4890.959130434782,4970.351739130435,3791.2547826086957,18092.105652173912,23
14113,I46.901,3,719.3039583333334,2613.054166666667,1961.8983333333333,7947.286875000001,48
14115,I46.901,5,677.3086363636364,2744.42196969697,2313.6095454545457,8678.333636363637,66
14116,I46.901,6,3810.328795180723,7629.4978313253005,8607.84313253012,29996.828674698794,83
14121,I47.100,3,5948.7577083333335,1678.3454166666668,651.84625,10277.022291666666,48
14123,I47.100,5,9393.088285714286,2148.1472857142858,717.3031428571429,14328.996571428572,70
14124,I47.100,6,21897.71392857143,3297.232908163265,533.8439965986395,32566.54306122449,588
14127,I47.101,5,1603.9534615384616,2080.273076923077,850.5803846153847,7629.443846153847,26
14128,I47.101,6,19536.820608108108,4037.6641891891895,1177.3869594594594,33428.85905405405,148
14130,I47.102,2,62.232647058823524,1233.673823529412,727.0738235294118,2773.1682352941175,34
14131,I47.102,3,907.3810344827588,1932.5651724137933,691.8925287356323,4331.847471264367,87
14132,I47.102,4,4503.5960526315785,1910.3500000000001,635.6228947368421,8691.91894736842,38
14133,I47.102,5,4747.921863799283,1784.5613978494623,682.5929749103942,8754.192544802869,279
14134,I47.102,6,15027.102594840666,3045.2933383915024,577.2399696509864,22430.90575113809,659
14138,I47.104,6,27882.23685714286,3214.7819999999997,552.7065714285715,36449.30657142857,105
14142,I47.106,6,25568.323023255813,3600.0116279069766,586.9738372093024,33954.95348837209,86
14148,I47.108,5,3718.332352941177,2434.6125490196077,896.8807843137255,8533.75,51
14149,I47.108,6,7459.53119205298,3223.591324503311,1040.6853642384106,13971.862980132451,151
14158,I47.200,5,3415.1211320754715,3307.6609433962262,1932.6496226415093,11133.07641509434,53
14159,I47.200,6,20575.253245033113,6148.914238410596,4085.2141059602645,40413.200000000004,151
14163,I47.201,5,6023.516774193549,2655.1029032258066,853.5651612903226,11621.331290322581,31
14164,I47.201,6,23384.561379310348,4108.3421839080465,1511.6764367816093,41221.30724137931,87
14168,I47.203,6,34053.987272727274,5298.21,2246.5054545454545,57019.62454545454,22
14178,I48.000,5,10257.378260869566,2463.3571739130434,1500.931304347826,16693.20695652174,46
