,basy_zyzd_jbbm_for_str_6,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-6-6-E,AGE-JCJY-6-6-E,AGE-YP-6-6-E,AGE-ZFY-6-6-E,记录条数-6-6
5112,B02.20,6,,5,371.6573333333334,2686.1155555555556,1272.1755555555555,6881.485777777778,45
5113,B02.20,6,,6,330.61135593220337,2525.8576271186444,1361.2066101694916,6155.3166101694915,59
5114,B02.20,6,,8,328.5390740740741,3394.6296296296296,1771.072962962963,7878.515,54
5115,B02.20,6,,9,368.65875,3556.8229166666665,1945.2143750000002,8414.515625,48
5137,B02.20,6,03.910,5,554.9347826086956,2753.330434782609,1412.4573913043478,8453.27304347826,23
5138,B02.20,6,03.910,6,646.2873913043478,3225.2782608695647,1267.5965217391306,8897.033913043479,23
5155,B02.20,6,04.2x0,5,1211.5836363636365,3557.672727272727,1446.0436363636363,15304.722121212122,33
5156,B02.20,6,04.2x0,6,1313.0450943396227,3379.2852830188676,1233.5803773584905,12415.080754716982,53
5157,B02.20,6,04.2x0,8,1557.556551724138,4147.6806896551725,1844.4113793103447,15040.586896551726,58
5176,B02.20,6,04.810,5,487.51676470588234,3178.0823529411764,1686.4576470588236,9708.258823529412,34
5177,B02.20,6,04.810,6,489.2282,3278.078,2352.146,10878.041599999999,50
5178,B02.20,6,04.810,8,820.8617021276596,3328.62170212766,1980.801914893617,10852.182978723404,47
5432,B02.90,6,,6,378.12285714285713,2763.694761904762,1095.8614285714286,6419.127142857144,21
5535,B08.50,6,,0,295.22041666666667,1122.6608333333334,778.9275000000001,3310.5537499999996,24
5644,B18.10,6,,2,290.19759999999997,3161.92,3635.5732000000003,9099.2228,25
5645,B18.10,6,,3,343.48348484848486,3771.9151515151516,4549.4572727272725,10822.97409090909,66
5646,B18.10,6,,4,315.0514545454546,3252.586363636364,3679.215272727273,9372.45418181818,55
5647,B18.10,6,,5,347.11081081081085,3951.221621621622,5048.95527027027,11868.30581081081,74
5648,B18.10,6,,6,348.4771428571429,3502.0607142857143,3562.0707142857145,9617.85392857143,28
5681,B18.10,6,44.130,5,438.7557142857143,4476.538095238096,4662.099523809524,12673.63619047619,21
5703,B18.10,6,50.110,3,767.2809090909091,2502.927272727273,340.61,4393.322727272727,22
5705,B18.10,6,50.110,5,595.6636363636363,1777.0454545454545,160.3840909090909,3218.3363636363633,22
5896,B20.70,6,,5,498.67,6918.9232142857145,12150.300714285713,26479.08892857143,28
6140,B27.00,6,,0,346.0317391304348,1260.695652173913,1408.4621739130434,4395.2008695652175,23
6155,B27.00,6,93.940,0,317.2576,1617.9288000000001,1381.1184,4996.1668,25
6163,B27.80,6,,0,421.58,1756.9566666666667,3785.9296666666664,8892.437333333333,30
6174,B27.90,3,,0,287.02478260869566,895.6739130434783,1170.308695652174,3579.918260869565,23
6178,B27.90,5,,0,307.4585714285714,810.2380952380952,714.3004761904763,3039.974761904762,21
6183,B27.90,6,,0,308.070101010101,1440.0777777777778,824.3858585858585,3955.137272727273,99
6292,B37.10,6,,8,430.78185185185185,4775.3074074074075,5623.985185185185,14539.161851851852,27
6293,B37.10,6,,9,638.8248888888888,5615.4800000000005,8209.259111111112,21915.17822222222,45
6302,B37.10,6,33.240,8,558.9780952380953,6204.559047619048,6169.500476190477,17247.800476190478,21
6348,B37.10,6,93.900,8,985.1062962962964,6312.137037037038,6289.992222222222,20405.024074074074,27
6482,B44.10,6,,8,699.8862962962963,6652.059259259259,10873.619259259258,22545.31222222222,27
6483,B44.10,6,,9,574.2978260869565,8472.722608695653,13987.860434782608,28039.073913043478,23
6504,B44.10,6,33.240,5,801.8541666666666,6372.599999999999,10479.789166666667,21723.6875,24
6506,B44.10,6,33.240,8,771.7764,7634.783200000001,12755.770400000001,26702.416,25
6820,B49.x0,6,22.2x0,5,1589.0203921568627,1850.3723529411766,1333.7976470588237,10736.89431372549,51
6842,B49.x0,6,22.530,4,1594.2255555555555,2733.4814814814813,2219.1862962962964,12793.328518518518,27
6843,B49.x0,6,22.530,5,1717.946829268293,2071.737682926829,1757.440487804878,11801.050121951219,82
6844,B49.x0,6,22.530,6,1777.3274418604651,2268.452558139535,1625.6669767441858,11861.643953488372,43
6845,B49.x0,6,22.530,8,1168.5803703703705,2325.603703703704,1424.4314814814816,10948.447407407408,27
6855,B49.x0,6,22.620,5,2384.591904761905,1507.5809523809523,1717.727619047619,11489.867142857143,21
6944,B49.x1,5,,9,602.132,3808.236,6885.3148,15323.6332,25
6967,B49.x1,6,,9,651.7246428571428,5743.535714285715,8767.162857142857,22719.565714285713,28
