,basy_yydj,basy_ssjczbm1_for_str_5,age_group,AGE-HAOCAI-only_operation-5-E,AGE-JCJY-only_operation-5-E,AGE-YP-only_operation-5-E,AGE-ZFY-only_operation-5-E,记录条数-only_operation-5
765,1,38.59,4,1952.3085849056604,1604.379245283019,2511.1764150943395,15868.98358490566,106
766,1,38.59,5,2242.8686577181206,1644.138255033557,2589.093724832215,16412.42110738255,298
767,1,38.59,6,2221.5591542288557,1709.2485074626866,2648.0979104477615,17198.257661691543,201
768,1,38.59,8,2380.583879310345,1798.6827586206898,2593.7506896551727,15549.399224137931,116
783,1,38.91,3,4990.489166666667,1986.9916666666666,4717.454166666666,29779.059999999998,24
784,1,38.91,4,5631.814324324325,1891.0918918918917,4776.364594594595,30308.07081081081,37
785,1,38.91,5,4152.158918918919,2011.9891891891893,4547.197837837838,27428.143243243245,37
790,1,38.93,5,1036.6433333333334,1516.759523809524,5175.032380952381,10737.835238095238,21
791,1,38.93,6,397.06576923076926,1449.2903846153847,5956.111538461539,10835.928076923077,26
838,1,39.50,5,9090.679655172413,1368.2758620689656,812.1124137931034,14334.119999999999,29
840,1,39.50,8,8225.77375,1304.7708333333333,719.3483333333334,13587.974583333335,24
850,1,39.79,5,7712.3028125,2858.30625,6051.650625,30768.383125,32
864,1,39.95,5,716.8083870967743,1533.9716129032258,3783.8512903225806,10360.909677419355,31
866,1,39.95,8,604.1673076923078,1493.2153846153847,2236.8173076923076,8996.53,26
878,1,39.97,4,2737.821904761905,2076.714285714286,4086.7547619047623,23820.529047619046,21
879,1,39.97,5,3342.9411111111112,2422.274074074074,4757.492222222222,27194.003703703704,27
918,1,43.41,4,1673.3416666666665,1005.7277777777776,2192.158611111111,6902.3966666666665,36
919,1,43.41,5,1471.9835211267605,918.7725352112676,2247.8539436619717,7573.515070422534,71
920,1,43.41,6,1011.0341935483872,1077.0548387096774,1654.3890322580644,6077.526451612904,31
921,1,43.41,8,1333.3444444444447,1219.7740740740742,2205.1048148148147,7310.664074074074,27
934,1,44.13,5,880.2671428571429,900.5219047619047,2048.767142857143,6290.8819047619045,21
956,1,45.23,4,1485.138484848485,652.6666666666666,3234.206666666667,7770.931515151515,33
957,1,45.23,5,1663.576046511628,681.6860465116279,3754.576279069767,8917.30976744186,43
974,1,45.42,3,1415.3660714285713,807.6142857142858,1534.2242857142858,6124.068928571428,28
975,1,45.42,4,1412.6085483870968,951.4000000000001,1205.811612903226,5850.114032258065,62
976,1,45.42,5,1576.1649689440994,962.8130434782609,1095.937701863354,6278.217639751553,161
977,1,45.42,6,1989.6260000000002,955.376,1623.51,7506.669333333332,75
978,1,45.42,8,1242.7812903225806,952.1322580645161,1314.1987096774192,6284.409677419355,31
983,1,45.43,4,2526.943125,881.6125,1367.5,8043.900625,32
984,1,45.43,5,2416.8302,983.533,1660.422,8562.9704,50
985,1,45.43,6,2419.0832,1221.156,1565.0064000000002,8135.6476,25
1005,1,47.01,1,1210.8020833333333,1187.7916666666667,1860.74875,6871.077499999999,24
