,basy_zyzd_jbbm_for_str_7,basy_yydj,basy_ssjczbm1_for_str_7,HAOCAI-7-7-E,JCJY-7-7-E,YP-7-7-E,ZFY-7-7-E,记录条数-7-7
144672,S62.510,5,79.3400,1722.6119047619047,1268.1142857142859,1644.7866666666664,9655.62619047619,21
144682,S62.510,6,79.3400,2690.4630952380953,1228.5233333333333,1528.9771428571428,10705.79261904762,42
144735,S62.600,6,79.3400,4160.784909090909,1922.7983636363638,1557.7903636363637,12712.026181818183,55
144770,S62.610,6,79.3400,1827.0636363636365,772.8131818181818,1459.4627272727273,8851.514090909091,22
144806,S62.611,2,79.3401,2686.349259259259,786.7733333333334,2154.518888888889,11780.964814814814,27
144830,S62.611,3,79.3400,3917.3702884615386,957.6346153846154,1502.904423076923,11762.83451923077,104
144884,S62.611,5,79.3400,1608.3601136363636,1182.1880681818182,1771.4611363636366,9417.536363636364,88
144887,S62.611,5,79.6400,472.65542857142856,921.7828571428572,1084.9125714285715,5868.581999999999,35
144925,S62.611,6,79.3400,3174.9110245901643,1228.6576639344264,1605.8013934426228,12011.931475409836,244
144926,S62.611,6,79.3401,2915.31875,1367.2075000000002,2475.2766666666666,12106.13125,24
144927,S62.611,6,79.6000,1854.242857142857,1088.8785714285714,1754.3714285714286,12502.076071428572,28
144928,S62.611,6,79.6400,1268.344418604651,1326.0618604651163,1965.5341860465116,8781.36418604651,43
145036,S62.802,3,79.3400,3273.131875,1240.35625,1601.49625,9530.1528125,32
145058,S62.802,5,79.3400,3881.4553333333333,1735.8726666666666,2213.8463333333334,12450.409666666668,30
145074,S62.802,6,79.1400,1872.9236,1659.5420000000001,1317.662,9265.146,25
145076,S62.802,6,79.3400,5698.947045454545,1838.2880681818183,1787.1123863636365,14466.96340909091,88
145285,S64.400,6,04.3x13,2097.513606557377,760.2319672131148,1666.1591803278686,12160.937540983605,61
145313,S65.000,6,39.3100,1604.6845098039216,1566.6890196078432,3532.185294117647,19768.808235294116,51
145328,S65.100,6,39.3113,1157.90875,2141.2659375,4149.0259375,21685.38140625,64
145347,S65.400,6,39.3100,525.8886885245902,1730.2377049180327,3644.572131147541,16473.70442622951,61
145359,S65.401,6,39.3100,873.9425352112677,1603.7098591549295,4020.4549295774646,17851.67802816901,71
145382,S65.500,6,39.3100,718.6286285714285,1564.0919999999999,3699.394,19194.269942857143,175
145389,S65.501,1,38.3000,1409.971186440678,1110.6440677966102,2796.7252542372885,12779.590508474575,59
145396,S65.501,2,39.3100,709.0863414634147,596.0292682926829,1024.910731707317,9343.043414634145,41
145400,S65.501,3,39.3100,1445.2319047619046,728.9714285714285,795.9185714285715,8836.380952380952,21
145408,S65.501,6,39.3100,588.2656994818652,1567.377720207254,3408.153212435233,17468.45455958549,193
145420,S65.700,3,39.3100,6188.185,665.1590909090909,590.569090909091,15398.49272727273,22
145430,S65.800,6,39.3100,635.8771052631579,1711.421052631579,4248.497631578947,21193.025263157895,38
145437,S65.900,2,39.5900,382.3778571428572,833.6428571428571,1543.0828571428572,13691.127380952381,42
145461,S66.000,6,82.4400,916.6524000000001,1095.772,976.5064,6485.6992,25
145481,S66.100,3,82.4400,617.0953846153845,863.7769230769231,1366.306923076923,5677.303461538462,26
145492,S66.100,5,82.4400,732.8436956521739,1008.4765217391304,1052.5319565217392,5620.015652173913,46
145506,S66.100,6,82.4400,1534.8125954198472,1182.272748091603,1287.2238931297709,7964.459236641222,131
145548,S66.200,5,82.4500,664.008,1247.02125,921.3115,5895.65,40
145564,S66.200,6,82.4500,1156.9200719424462,1265.8525179856115,1107.7502877697843,7428.327122302158,139
145565,S66.200,6,82.4501,950.4348,1058.132,1251.6312,6681.470399999999,25
145602,S66.300,3,82.4500,719.9300000000001,900.1672413793103,1112.4527586206898,5355.942758620689,29
145603,S66.300,3,82.4501,575.2030303030303,995.3836363636365,1122.5772727272729,5576.166363636364,33
145624,S66.300,5,82.4500,554.4138775510204,1144.5644897959185,1082.2387755102043,6051.634285714286,49
145625,S66.300,5,82.4501,535.9074509803921,1067.8552941176472,827.4803921568628,5057.6498039215685,51
145649,S66.300,6,82.4500,1188.7257692307692,1328.5678365384615,1251.5505288461538,7625.016298076923,208
145650,S66.300,6,82.4501,1830.3160526315787,1364.3697368421053,1521.7717105263157,9184.278684210527,76
145652,S66.300,6,82.5301,2751.7935714285713,1357.4424999999999,982.4064285714286,8361.141428571429,28
145849,S68.000,6,39.3100,1408.883829787234,2030.1468085106383,5953.956382978724,27047.26,47
145858,S68.000,6,84.2101,6676.164583333334,1541.7929166666665,3690.3133333333335,20790.42625,24
145888,S68.001,6,39.3100,1159.0789285714286,2047.917857142857,7892.770357142857,28796.471428571425,28
145898,S68.001,6,84.2101,6090.4579310344825,1356.686896551724,4574.999655172413,24997.690689655174,29
145973,S68.100,3,84.3x00,651.8866666666667,984.0666666666667,1853.5190476190478,7063.440952380953,21
146029,S68.100,6,38.3000,1932.0825000000002,1075.95,2363.6116666666667,12740.257083333332,24
146031,S68.100,6,39.3100,537.800925925926,1907.3171296296296,5337.638888888889,22042.606990740744,216
146041,S68.100,6,79.3400,3250.3981481481483,1627.7744444444445,2385.837407407407,14212.832222222221,27
146060,S68.100,6,84.2201,6296.9345454545455,1489.3096363636364,4252.706090909091,23001.40536363636,110
146076,S68.100,6,86.7300,2496.330384615385,1459.246153846154,4175.954230769231,18509.27,26
146080,S68.100,6,86.7500,654.9816666666667,745.2291666666666,911.21375,8200.827083333334,24
146084,S68.100,6,86.8900,856.2180952380953,1036.9190476190477,1291.8095238095239,7055.168571428572,21
146120,S68.200,6,39.3100,3193.094761904762,2746.2261904761904,8243.835238095238,45377.07785714286,42
146217,S69.700,3,,833.3633333333333,807.5238095238095,1226.33,7843.131428571429,21
146396,S72.000,1,81.5100,28820.33432432432,2997.8021621621624,3830.4037837837836,42092.248918918915,37
146397,S72.000,1,81.5200,20272.69318181818,2263.122272727273,2684.127272727273,29226.800909090907,22
146398,S72.000,1,81.5201,18612.599285714285,2174.054285714286,3567.179285714286,29090.64875,56
146411,S72.000,2,81.5100,26112.76366666667,2511.434333333333,3707.096666666667,40157.6305,60
146412,S72.000,2,81.5200,18570.038837209304,2963.6802325581393,4167.726976744187,31886.21953488372,43
146413,S72.000,2,81.5201,17805.672021276594,2811.2697872340423,4257.251702127659,31419.750319148934,94
146421,S72.000,3,,12837.831166666667,3629.3273333333336,3442.89,25708.74766666667,60
146434,S72.000,3,79.1500,9098.838214285714,2536.8385714285714,3214.6817857142855,19838.216071428575,56
146437,S72.000,3,79.3500,8298.98825,3453.63375,6112.6895,27648.980499999998,40
146442,S72.000,3,81.5100,27375.493209876546,3420.682901234568,4208.136604938271,46934.49333333333,162
146443,S72.000,3,81.5200,17633.24159574468,4168.804255319149,4878.842872340425,34928.996276595746,94
