,basy_zyzd_jbbm_for_str_4,basy_yydj,age_group,AGE-HAOCAI-4-only_disease-E,AGE-JCJY-4-only_disease-E,AGE-YP-4-only_disease-E,AGE-ZFY-4-only_disease-E,记录条数-4-only_disease
4162,C92.,6,4,1096.493184079602,7499.376915422886,16684.604825870647,40103.204577114426,201
4163,C92.,6,5,976.8098554913296,7807.132485549132,17398.40878612717,40646.19231213873,346
4164,C92.,6,6,844.2898344370861,7507.885264900662,13607.092781456953,34912.284337748344,302
4165,C92.,6,8,662.4858122743683,6900.398086642599,9909.833862815884,27489.833285198558,277
4166,C92.,6,9,530.6608737864078,6778.0462135922335,6548.506796116504,23500.364854368934,103
4179,C93.,6,5,1632.0641379310346,10408.764827586207,31872.95620689655,62168.98172413793,29
4180,C93.,6,6,684.5168181818182,6681.222727272727,10002.036818181818,27691.99818181818,22
4181,C93.,6,8,1220.6150000000002,8163.822666666666,14295.518333333333,35212.57966666667,30
4233,C95.,6,5,449.69695652173914,5244.271739130435,4521.332173913043,15187.09652173913,23
4234,C95.,6,6,323.185652173913,4820.434782608696,4970.9404347826085,16582.06347826087,23
4235,C95.,6,8,167.01838709677418,3443.8051612903228,2703.3348387096776,11889.417741935484,31
4272,D00.,5,6,4425.581153846154,3409.757692307692,2177.2930769230766,15847.696153846153,26
4273,D00.,5,8,3103.911739130435,3177.056956521739,1885.1026086956522,13519.657826086957,23
4277,D00.,6,4,6704.2,5246.735909090909,2509.1995454545454,21765.20409090909,22
4278,D00.,6,5,4879.473142857143,5125.813428571429,2243.202761904762,18670.358190476192,105
4279,D00.,6,6,5400.084031007752,5219.044496124031,2529.6801550387595,20031.313410852716,129
4280,D00.,6,8,4815.677876106194,5311.070353982301,2538.2529203539825,19810.801858407078,113
4281,D00.,6,9,1969.5403333333334,4953.186,1752.9146666666668,13122.786333333333,30
4299,D01.,5,6,1971.3038095238094,3225.315238095238,1084.5161904761906,9021.103333333334,21
4305,D01.,6,4,3150.4552272727274,3690.026818181818,2001.856590909091,13547.379090909091,44
4306,D01.,6,5,4237.91329842932,3951.974659685864,1781.0431413612564,15274.986230366492,191
4307,D01.,6,6,4828.894191616766,4396.717724550898,2827.987844311377,18875.77778443114,167
4308,D01.,6,8,4927.577777777778,5431.48202020202,3996.2014141414143,21495.94373737374,99
4309,D01.,6,9,4649.117567567567,6135.8575675675675,3977.7867567567564,22737.955675675676,37
4322,D02.,5,5,13688.433703703704,5451.577777777778,2842.3459259259257,30757.23,27
4327,D02.,6,3,20683.47,5910.962142857143,3518.656785714286,42417.58178571429,28
4328,D02.,6,4,17364.552898550723,5978.146956521739,3369.4037681159416,40344.39797101449,69
4329,D02.,6,5,17352.37627118644,6320.096694915254,3419.8427118644067,40760.5429661017,118
4330,D02.,6,6,17593.721153846152,6871.052564102564,3709.12641025641,40037.2717948718,78
4331,D02.,6,8,18405.4164,6786.44,4927.7068,41499.958,25
4370,D05.,6,3,10753.6725,6203.861428571428,1829.1085714285714,30409.668928571427,28
4371,D05.,6,4,4622.789634146341,6817.797073170732,1727.1215853658537,23355.79219512195,82
4372,D05.,6,5,3446.547386363636,7673.118409090909,1865.4251136363637,20054.182045454545,88
4373,D05.,6,6,2757.3131428571432,7638.152571428572,2184.956857142857,19895.72142857143,35
4388,D06.,3,3,488.5917647058823,1556.543529411765,665.9997058823529,5433.703823529411,34
4389,D06.,3,4,608.5367346938775,1518.3879591836733,959.0963265306123,6937.673061224489,49
4390,D06.,3,5,837.6690322580646,1854.1750000000002,982.6214516129032,7522.059838709678,62
4399,D06.,5,2,307.5395238095238,1535.5847619047618,460.6219047619047,4291.368095238095,21
4400,D06.,5,3,398.63163461538466,1701.6705769230769,663.854326923077,4773.045961538462,104
4401,D06.,5,4,851.4314285714286,2508.5950340136055,1338.9789115646258,9731.428163265306,147
4402,D06.,5,5,1174.953834586466,2576.227142857143,1402.1545864661655,10651.28977443609,133
4403,D06.,5,6,848.0612765957446,2631.6308510638296,1285.6104255319149,9882.406382978723,47
4406,D06.,6,2,602.4335643564357,2288.254455445545,584.5249504950494,6090.141188118812,101
4407,D06.,6,3,645.8642316258351,2415.775055679287,638.4271269487751,6872.770445434298,449
