,basy_zyzd_jbbm_for_str_5,basy_yydj,HAOCAI-5-only_disease-E,JCJY-5-only_disease-E,YP-5-only_disease-E,ZFY-5-only_disease-E,记录条数-5-only_disease
535,B37.1,6,1427.392268370607,8989.022204472843,11206.082204472843,31250.454408945687,313
556,B44.0,6,1296.5778873239437,7734.080845070423,17986.318028169015,33885.56633802817,71
559,B44.1,5,2505.0212500000002,6608.466666666667,11381.552083333334,28569.09833333333,24
560,B44.1,6,1937.0710185185185,9094.081913580247,16868.496975308644,37223.63410493827,324
564,B44.8,6,2011.960769230769,3048.2793846153845,3098.7127692307695,15042.754,65
568,B45.0,6,7887.626571428571,7974.604,4755.288285714286,28220.568571428572,35
570,B45.1,6,2238.2488888888893,10835.519777777778,15679.78777777778,37841.84444444445,45
581,B49.x,3,890.5845,3658.2925000000005,5266.379833333333,15760.8295,60
583,B49.x,5,875.6198701298702,2612.02025974026,3065.5236363636363,11385.790692640692,231
584,B49.x,6,1823.4080347448426,4629.2298914223675,6245.018469055374,20359.655157437566,921
589,B59.x,6,1720.7930555555554,10467.398333333334,13947.058472222221,35420.96958333333,72
599,B67.0,6,11998.313846153846,8555.226346153846,10986.695,48569.751730769225,52
603,B67.5,6,10735.449684210525,8990.314736842105,9350.436421052631,42365.073684210525,95
608,B67.8,6,7089.956229508197,7068.033934426229,9008.948032786884,34396.93950819672,61
631,B90.9,6,2643.7061538461535,4224.3105128205125,1442.126923076923,11165.652564102564,39
640,B94.8,6,2374.7888095238095,3499.3938095238095,2306.5542857142855,13165.770238095238,42
648,B99.x,6,491.6986419753087,3814.4274074074074,1783.067037037037,8190.241234567901,81
656,C01.x,6,8061.036206896552,6264.280344827586,3709.7462068965515,31374.624827586205,29
660,C02.2,6,8787.331818181818,7659.273636363636,7730.815909090909,37477.946363636365,22
669,C02.9,6,14307.896293103448,6716.826724137931,5518.487586206896,42695.88060344828,116
673,C03.0,6,7271.659642857143,6874.428571428572,4869.654285714286,36449.642857142855,28
677,C03.1,6,18595.412444444446,8463.813333333334,7932.208,58838.12333333333,45
687,C04.9,6,21268.147209302326,7992.270930232558,5990.990697674419,56297.6788372093,43
696,C05.9,6,4508.632608695652,4988.600869565217,3127.330869565217,25578.54391304348,23
699,C06.0,6,17679.788875000002,7236.704625,6231.474625000001,52798.57325,80
707,C06.9,6,4466.014411764706,6339.762941176471,5783.2523529411765,26182.91117647059,34
713,C07.x,6,3988.9077906976745,4952.984186046512,2653.611511627907,20455.421976744186,86
718,C08.0,6,5896.783636363637,4862.0,2149.6663636363637,20605.774545454544,22
726,C09.9,6,6193.358620689655,6728.095517241379,3547.8072413793097,26072.53896551724,29
734,C10.9,6,14246.199130434783,6917.134782608696,5130.854347826086,43481.12086956522,23
741,C11.2,6,2606.228695652174,8048.206086956521,4110.453913043479,20086.81695652174,23
743,C11.8,6,1667.4438461538462,9454.103076923077,3760.0534615384613,19475.952115384614,52
744,C11.9,1,1359.0516666666665,592.6374999999999,4034.2625000000003,19664.271666666667,24
745,C11.9,3,849.1472,3612.5,4689.9836,16048.684,25
747,C11.9,5,1242.0636842105262,3659.4868421052633,2286.8394736842106,10823.11447368421,38
748,C11.9,6,1680.7739644970413,6727.78875739645,3554.750650887574,16061.070295857988,338
750,C12.x,6,3557.952222222222,7319.320555555555,4358.593611111111,26848.16416666667,36
757,C13.9,6,2788.222077922078,5904.886883116883,4370.217532467533,20741.977792207792,77
765,C14.8,6,9634.867826086956,7814.153043478261,6225.490000000001,36678.114347826086,23
771,C15.1,3,8887.24975609756,6756.468292682927,5126.817073170731,32123.19536585366,41
772,C15.1,4,7737.986923076924,7309.359615384616,10854.418461538462,52406.17192307692,26
773,C15.1,5,8463.953800000001,5992.384480000001,4817.66632,28464.9386,250
774,C15.1,6,12582.68245300752,8633.95852443609,8777.43105263158,42973.65753759398,1064
780,C15.3,6,8202.605538461537,6909.242307692308,5426.054769230769,30361.547846153844,65
784,C15.4,5,4777.457209302325,4998.53023255814,3775.543023255814,20133.02441860465,43
785,C15.4,6,14747.86944,8499.932506666666,8379.402,52749.544826666664,375
789,C15.5,5,7842.636818181819,6100.987045454545,5771.221818181818,31775.177272727273,44
790,C15.5,6,15182.405421052634,8996.380789473686,10676.470578947368,54958.939999999995,190
795,C15.8,5,6140.42,5593.937710843374,5895.670481927711,25420.445060240963,83
796,C15.8,6,10281.555573248408,7772.738789808917,7999.726942675158,38889.66668789809,314
797,C15.9,1,3219.6480821917808,1941.9027397260272,7503.058219178082,26398.035205479453,73
798,C15.9,2,3135.5002439024393,3094.1543902439025,5261.355853658537,15524.046097560977,41
799,C15.9,3,2877.915306122449,3895.078095238095,4748.596666666666,16965.9925170068,147
800,C15.9,4,5233.132333333333,4744.002666666666,9244.219333333334,27595.075666666668,30
801,C15.9,5,4571.0567507886435,4515.389621451104,4762.997097791798,19843.69807570978,317
802,C15.9,6,4976.5886039886045,5599.146752136752,5484.680883190883,23103.08819088319,702
805,C16.0,3,4980.496888888889,6369.89111111111,4508.967111111111,23234.517333333333,45
807,C16.0,5,6595.131512605042,5950.692352941177,4967.766218487395,25412.17588235294,119
808,C16.0,6,12282.261290322582,8336.028782991201,7167.841612903227,41443.61017595308,682
813,C16.1,6,14020.531573033708,8487.686741573034,7238.186292134831,42533.62662921348,89
818,C16.2,5,8191.188450704225,7138.087042253521,5911.665070422536,31311.296619718312,71
819,C16.2,6,14848.787394366196,9245.537230046948,8989.741807511738,48705.603497652584,426
821,C16.3,3,6164.8778125,4927.246875,5445.5128125,25284.5334375,32
823,C16.3,5,9885.035588235294,6873.7620588235295,5933.779509803921,32827.028039215686,102
824,C16.3,6,16287.811683899556,9354.132614475628,9371.300974889216,50490.27426883308,677
829,C16.5,5,14627.850952380952,9037.318095238095,6610.358095238094,42676.32380952381,21
830,C16.5,6,19532.280780487807,9336.525170731707,9239.153512195122,56919.13902439024,205
