,basy_zyzd_jbbm_for_str_5,basy_yydj,basy_ssjczbm1_for_str_5,age_group,AGE-HAOCAI-5-5-E,AGE-JCJY-5-5-E,AGE-YP-5-5-E,AGE-ZFY-5-5-E,记录条数-5-5
366822,Z43.2,4,46.51,5,510.2290476190476,4734.303333333333,4660.158571428571,26037.6280952381,21
366823,Z43.2,4,46.51,6,747.5804166666667,4778.405,3782.6062500000003,23732.3875,24
366842,Z43.2,5,46.51,6,5414.1033333333335,3986.6285714285714,3216.042380952381,19614.785714285714,21
366843,Z43.2,5,46.51,8,5133.951851851852,4144.322222222222,3931.5285185185185,20055.175185185184,27
366878,Z43.2,6,46.51,4,7137.592790697674,4190.337209302325,4478.968139534883,24832.308837209304,43
366879,Z43.2,6,46.51,5,6195.296888888888,4467.853259259259,4880.746148148148,25179.092444444443,135
366880,Z43.2,6,46.51,6,7142.245803571429,5020.420446428571,4619.522946428571,25576.71214285714,112
366881,Z43.2,6,46.51,8,7193.806899224806,5203.279457364341,5152.625736434108,27319.114651162792,129
366882,Z43.2,6,46.51,9,7842.325862068966,5896.340689655172,5692.708620689655,28358.337586206897,29
366954,Z43.3,6,46.52,5,10308.032941176472,5328.9333333333325,6768.807254901961,33248.40254901961,51
366955,Z43.3,6,46.52,6,9988.828000000001,6750.717666666666,6679.097333333334,34428.210999999996,30
366956,Z43.3,6,46.52,8,7915.714242424243,6476.771818181818,8009.58303030303,35218.74939393939,33
367127,Z43.4,6,97.55,5,122.30394736842106,888.5868421052633,298.3,2064.0673684210524,38
367128,Z43.4,6,97.55,6,145.55142857142857,1072.1142857142856,432.32142857142856,2243.1585714285716,35
367129,Z43.4,6,97.55,8,44.13138888888889,838.651111111111,256.3913888888889,1769.4969444444444,36
367152,Z43.6,1,97.62,3,213.48694444444445,663.3444444444444,1170.2341666666666,3217.0175,36
367153,Z43.6,1,97.62,4,207.2552777777778,623.3611111111111,1194.5647222222224,3274.333888888889,36
367154,Z43.6,1,97.62,5,215.2375,641.9449999999999,1266.3957500000001,3304.82825,40
367180,Z43.6,2,97.62,2,41.22333333333333,865.4047619047619,260.58761904761906,1954.2014285714283,21
367181,Z43.6,2,97.62,3,31.987222222222222,891.8611111111111,182.97361111111113,1901.339722222222,36
367182,Z43.6,2,97.62,4,28.213055555555556,878.8472222222222,231.04444444444445,1879.3997222222222,36
367183,Z43.6,2,97.62,5,27.742469135802466,719.1358024691358,253.2543209876543,1631.2935802469135,81
367184,Z43.6,2,97.62,6,36.141363636363636,699.6136363636364,211.03681818181815,1529.4645454545455,22
367185,Z43.6,2,97.62,8,42.712799999999994,726.78,271.0052,1676.6860000000001,25
367201,Z43.6,3,59.99,4,83.5879411764706,667.0147058823529,204.87529411764706,2040.4461764705882,34
367202,Z43.6,3,59.99,5,66.21088235294118,841.6735294117648,184.475,2171.5326470588234,34
367208,Z43.6,3,97.62,2,57.99741935483871,923.7096774193549,355.32709677419354,2007.3625806451612,31
