,basy_zyzd_jbbm_for_str_8,basy_yydj,age_group,AGE-HAOCAI-8-only_disease-E,AGE-JCJY-8-only_disease-E,AGE-YP-8-only_disease-E,AGE-ZFY-8-only_disease-E,记录条数-8-only_disease
91170,S82.802,6,6,10574.384615384615,3565.063076923077,3523.163846153846,27039.245384615384,26
91300,S83.200x,5,4,3758.5181818181813,1715.4477272727272,1435.0059090909092,14093.84818181818,22
91301,S83.200x,5,5,4078.427857142857,2191.644047619048,1530.0092857142856,14658.910238095237,42
91305,S83.200x,6,1,3929.451521739131,2811.9347826086955,980.705,14970.353695652175,46
91306,S83.200x,6,2,3824.4372727272726,2744.3927272727274,1031.2124999999999,14758.033863636363,44
91307,S83.200x,6,3,4360.629772727272,2696.213068181818,1517.8479545454545,16143.34659090909,88
91308,S83.200x,6,4,4685.18046875,2687.092578125,1282.3728125,16208.985703125,128
91309,S83.200x,6,5,4373.870423280423,2789.47746031746,1472.4802116402118,16845.204867724868,189
91310,S83.200x,6,6,4008.337931034483,3065.4256896551724,1535.7231034482759,17574.062931034485,58
91330,S83.201,5,5,2563.986923076923,1913.8769230769233,2348.025769230769,14914.692307692309,26
91337,S83.201,6,5,6380.693863636364,3031.7375,3829.287954545455,22604.56568181818,44
91363,S83.202,6,4,3818.298636363637,2355.181818181818,1530.9468181818183,13505.330454545456,22
91405,S83.400x,6,5,7783.1137499999995,3025.3191666666667,2826.0104166666665,22137.584583333333,24
91454,S83.500x,5,5,16522.698571428573,3409.2542857142857,4134.191071428571,39034.17428571428,28
91458,S83.500x,6,1,20929.611276595744,3897.043723404255,1768.0467021276595,39176.18404255319,94
91459,S83.500x,6,2,20460.05453271028,3762.0531308411214,2365.49476635514,39586.68579439252,214
91460,S83.500x,6,3,20986.735164835165,3836.9421428571427,1942.782032967033,39285.340934065935,182
91461,S83.500x,6,4,19613.748015267174,3809.516106870229,2428.227022900763,38430.315877862595,131
91462,S83.500x,6,5,19776.51922413793,4000.559396551724,3017.6341379310343,40134.46551724138,116
91463,S83.500x,6,6,24288.540666666664,5682.336666666667,5620.991666666667,54389.846333333335,30
91675,S86.001,6,2,1618.9249019607844,1840.595294117647,1812.8817647058825,10569.844901960783,51
91676,S86.001,6,3,2737.602,2303.046363636364,1509.0626363636366,12057.756181818182,110
91677,S86.001,6,4,2582.586233766234,2220.16961038961,1621.1532467532468,11931.818441558442,77
91678,S86.001,6,5,2504.2364705882355,2227.5323529411767,1615.8249999999998,11781.067352941176,34
92003,S92.000,1,5,7754.80074074074,1685.0385185185185,2654.718888888889,14680.873703703704,27
92010,S92.000,2,4,9471.471842105262,1673.363157894737,4307.208684210526,19218.766052631578,38
92011,S92.000,2,5,9281.14195652174,1633.0341304347828,3621.599347826087,19664.741739130433,46
92017,S92.000,3,3,7277.034375,1799.05125,3271.459375,17985.18625,32
92018,S92.000,3,4,8935.742833333332,2164.0840000000003,3137.0705,20198.402666666665,60
92019,S92.000,3,5,8604.901153846155,2111.1371794871798,2747.850512820513,18868.984743589743,78
92020,S92.000,3,6,7747.731111111111,2366.087037037037,3986.6329629629627,21511.539629629628,27
92031,S92.000,5,3,8440.55342857143,2174.733,3282.351,22488.52057142857,70
92032,S92.000,5,4,7478.271487603306,2023.1480991735539,3082.320826446281,19947.664628099174,121
92033,S92.000,5,5,7871.918862275449,2206.6979041916165,3357.8884431137726,21543.692814371258,167
92034,S92.000,5,6,7891.527631578947,2792.4236842105265,3297.7631578947367,21048.570263157897,38
92035,S92.000,5,8,6798.2807999999995,2640.762,3147.9744,19831.0948,25
92039,S92.000,6,2,15754.605142857145,3779.7862857142854,5001.563999999999,34523.074,35
92040,S92.000,6,3,11251.316846846847,3082.2360360360362,3792.632972972973,26734.844774774774,111
92041,S92.000,6,4,11046.105,3105.729482758621,3922.3854597701147,27488.04701149425,174
92042,S92.000,6,5,10878.81116,3235.036,3982.9017999999996,27056.31016,250
92043,S92.000,6,6,9195.397205882353,3322.4482352941177,4261.707647058824,26231.88705882353,68
92044,S92.000,6,8,7856.479565217392,3577.3834782608697,3375.2634782608693,23155.588695652175,23
92190,S92.300,1,5,3519.2479166666667,1499.7908333333335,2277.3179166666664,9747.7325,24
92199,S92.300,2,5,3414.7266666666665,1102.4548148148149,2293.925185185185,9522.893333333333,27
92207,S92.300,3,4,5185.588387096774,1568.5070967741935,2066.9003225806455,12216.296129032258,31
92208,S92.300,3,5,3851.7595833333335,1796.2720833333333,2398.9418055555557,12409.650555555556,72
92209,S92.300,3,6,10111.929999999998,2365.1652173913044,2805.463913043478,21889.679565217393,23
92224,S92.300,5,3,4593.3084375,1537.1053125,1990.7265625,13128.244375,32
92225,S92.300,5,4,4649.070975609756,1828.6731707317074,2357.260243902439,13604.414390243903,41
92226,S92.300,5,5,4536.161341463415,1920.3885365853657,2492.6943902439025,14057.972926829269,82
92227,S92.300,5,6,4756.928181818182,1891.4348484848485,2602.340606060606,14102.97303030303,33
92232,S92.300,6,2,9085.126296296296,2405.6766666666667,2213.37,19170.855555555554,27
92233,S92.300,6,3,5686.099206349207,2228.65873015873,2834.399841269841,16712.591746031747,63
92234,S92.300,6,4,7834.155161290322,2671.342741935484,3209.2635483870968,21511.95387096774,62
92235,S92.300,6,5,6018.234107142857,2523.8117857142856,3627.750446428571,19390.834196428572,112
92236,S92.300,6,6,6702.101578947369,3121.693421052632,3984.3302631578945,21479.549210526315,38
92237,S92.300,6,8,10075.093703703706,3033.9851851851854,4137.582222222222,24882.727777777778,27
92264,S92.300x,5,5,3407.347619047619,2358.9195238095235,1945.4433333333332,16153.69761904762,21
92271,S92.300x,6,5,8034.0828,2687.468,2835.5759999999996,19262.3328,25
92293,S92.310,5,5,4138.3096,2705.1356,4032.3923999999997,18557.2744,25
92302,S92.310,6,5,9520.739090909092,2806.8248484848486,5816.759393939394,29045.188787878786,33
92390,S92.500x,3,5,3846.827741935484,1596.525806451613,2127.754838709677,11987.465806451613,31
92406,S92.500x,5,5,2098.440344827586,1638.4075862068964,2166.511379310345,10163.053793103449,29
92415,S92.500x,6,5,2641.590833333333,2026.06125,2070.0583333333334,11577.063750000001,24
92438,S92.510,5,5,1129.3957142857143,1244.2009523809525,2297.052857142857,8625.640952380953,21
92583,S93.200x,6,1,9784.01576923077,2101.2475,1863.1417307692307,20938.75,52
92584,S93.200x,6,2,9529.748392857144,2072.706607142857,1716.503392857143,20628.604285714286,56
92585,S93.200x,6,3,8511.391666666666,2544.0375,1609.54125,20796.349166666667,48
93690,T14.101,3,5,867.8256,1573.5084,2096.2684,7298.986800000001,25
93752,T14.500,1,5,5912.513478260869,1057.4173913043478,3580.9691304347825,14936.926521739131,23
93846,T16.x00x,6,0,455.32037037037037,873.1866666666667,352.5170370370371,2969.8007407407404,27
93889,T17.500,6,0,1955.510546875,1887.133125,758.722578125,10053.8190625,128
93940,T18.100,5,5,406.53700000000003,1054.5,589.7546666666666,3752.288,30
93941,T18.100,5,6,413.0304545454546,1451.1318181818183,618.4945454545455,3984.8995454545457,22
93944,T18.100,6,0,553.4508695652174,1424.5457971014494,840.7404347826086,5150.332898550724,69
93947,T18.100,6,3,551.3484000000001,1310.4464,983.0524,4923.0156,25
93948,T18.100,6,4,523.61,1322.1546666666666,1144.8470000000002,5033.403333333334,30
93949,T18.100,6,5,622.1476237623762,1438.8757425742576,1216.169405940594,5682.64603960396,101
93950,T18.100,6,6,719.152,1926.873,1314.2403333333334,6709.816000000001,60
93951,T18.100,6,8,553.1858208955224,1693.7971641791046,1061.3432835820895,5337.3691044776115,67
93952,T18.100,6,9,669.2544444444445,2129.304222222222,1163.7902222222222,6358.341777777778,45
94045,T20.200x,6,0,1352.6794444444445,839.7083333333334,1352.8594444444445,8264.17,36
94075,T20.300x,6,0,2141.5053846153846,742.5861538461539,1332.8296153846154,10814.009615384615,26
94100,T21.200x,6,0,1533.1053125,929.728125,1833.865625,9202.0934375,32
94296,T24.200x,6,0,1754.4792857142859,988.2309523809523,1690.9600000000003,11254.145238095238,42
94329,T24.300x,6,0,8081.172105263157,2907.681578947368,3189.541842105263,29340.296315789474,38
94334,T24.300x,6,5,5517.125769230769,2340.51,4727.903461538462,24443.986153846156,26
94480,T29.200x,6,0,2307.994411764706,964.2323529411765,2290.450294117647,14687.679411764706,34
