,basy_yydj,basy_ssjczbm1_for_str_9,HAOCAI-only_operation-9-E,JCJY-only_operation-9-E,YP-only_operation-9-E,ZFY-only_operation-9-E,记录条数-only_operation-9
18492,6,45.7300x0,13117.189815668202,11748.356221198155,12453.769999999999,55044.006359447005,217
18494,6,45.7302,13413.953451957295,11636.060355871887,10997.553167259786,54733.238932384345,281
18498,6,45.7401,10090.170625,8625.651875,8869.8696875,45224.1625,32
18499,6,45.7500,11196.17157894737,11695.48394736842,10138.947368421053,53998.63842105263,38
18501,6,45.7501,15944.584918032788,11444.008360655738,11919.731311475409,57803.73819672131,61
18503,6,45.7600x0,11985.758941176471,11051.844705882353,12615.000823529412,54631.602,85
18504,6,45.7601,11671.159494949496,11723.72404040404,14762.271313131314,57579.22090909091,99
18508,6,45.7901,10332.899615384616,12137.126923076923,13722.821538461538,55276.18538461539,26
18526,6,46.0302,2646.417857142857,7260.672142857143,5629.362857142857,25708.40607142857,28
18528,6,46.1000,4429.057841726619,7547.931582733813,7753.064460431654,31956.614316546762,139
18529,6,46.1000x0,6950.555918367347,7952.881836734694,8335.097551020408,36394.49755102041,49
18530,6,46.1100,6101.716271186441,8998.760847457628,11900.030508474578,43072.3913559322,59
18532,6,46.1300,3591.164761904762,7324.334285714285,6710.578095238096,27658.79904761905,21
18534,6,46.2000,6445.292745098039,13212.271764705882,14957.74156862745,61528.79980392157,51
18536,6,46.2100,5231.842432432432,9912.917297297297,12183.10081081081,49799.8072972973,37
18556,6,46.5100x0,6836.478012295082,4991.356147540983,5061.193442622951,26713.673975409838,488
18557,6,46.5101,6676.648461538462,5596.286666666667,5611.317435897436,25959.53076923077,39
18559,6,46.5200x0,9576.648965517243,5920.569724137931,6980.777172413794,34692.57503448276,145
18569,6,46.7300x0,5082.336956521739,10265.186086956523,11497.490217391305,42931.4852173913,46
18572,6,46.7303,2810.4491304347825,6092.493913043478,9205.386086956521,30582.866956521735,23
