,basy_yydj,basy_ssjczbm1_for_str_4,age_group,AGE-HAOCAI-only_operation-4-E,AGE-JCJY-only_operation-4-E,AGE-YP-only_operation-4-E,AGE-ZFY-only_operation-4-E,记录条数-only_operation-4
368,1,14.7,8,2492.724852941177,847.3514705882353,435.65955882352944,7093.338676470587,68
419,1,17.9,1,2129.57625,632.859375,2367.955,7575.5665625,32
420,1,17.9,2,2609.9065182186237,664.1607287449393,3334.0525506072872,9163.367004048583,247
421,1,17.9,3,1702.5159009009008,692.870045045045,2876.2264414414417,7497.618333333334,222
422,1,17.9,4,1019.9284074074073,752.2435185185185,2055.007148148148,6119.972925925926,270
423,1,17.9,5,840.9422937625754,793.9030181086518,1874.1102012072436,5989.239657947686,497
424,1,17.9,6,364.7834017595308,880.2358944281525,1848.5310263929618,5406.006275659824,341
425,1,17.9,8,203.478164893617,905.4126063829788,1710.4151063829786,5069.756489361702,376
426,1,17.9,9,140.28022727272727,1001.7550568181819,1972.9286363636363,5286.6532954545455,176
447,1,19.4,1,1192.565769230769,1491.430769230769,3189.685,10838.473846153847,26
510,1,21.6,1,1608.7123529411765,720.1298039215685,1215.6264705882354,5794.240980392156,51
511,1,21.6,2,2003.2006896551725,704.3110344827586,1255.0944827586206,6611.320689655172,29
512,1,21.6,3,2556.351724137931,809.3989655172413,1874.736551724138,8180.902068965517,29
513,1,21.6,4,2016.08625,865.1999999999999,1766.0210416666669,7318.568333333334,48
514,1,21.6,5,2040.0615384615385,809.1742307692307,1791.3323076923077,7534.975192307693,52
525,1,21.8,2,1294.081724137931,666.1999999999999,2085.114482758621,7053.1255172413785,29
526,1,21.8,3,1131.3407142857143,688.545238095238,2081.232857142857,6836.189047619047,42
527,1,21.8,4,1271.2675757575757,763.321212121212,2473.939393939394,7472.947878787879,33
528,1,21.8,5,1229.6479545454547,644.5954545454546,2333.320227272727,7256.237045454545,44
551,1,22.5,1,1613.18,1172.0,2606.6523333333334,9982.538666666665,30
552,1,22.5,2,1306.4405128205128,1181.8153846153848,2636.242307692308,9750.874615384615,39
553,1,22.5,3,1302.2587500000002,1059.9364285714287,2441.18375,9419.644821428572,56
554,1,22.5,4,1197.4425581395349,1030.4156976744187,2492.7143023255812,9281.166744186046,86
555,1,22.5,5,1148.0272222222222,929.4792857142858,2359.010873015873,9104.869682539684,126
556,1,22.5,6,1119.465,951.7738095238095,2117.620238095238,8995.183333333334,42
557,1,22.5,8,1112.1638095238095,917.6876190476191,1927.8799999999999,8347.225238095238,21
621,1,28.5,5,1216.4312195121952,659.1429268292683,1187.868048780488,4500.1507317073165,41
625,1,28.6,0,2187.2742222222223,774.6957777777777,1188.0886666666665,7429.633222222222,90
626,1,28.6,1,2629.0284782608696,816.8321739130434,1564.5869565217392,7840.225217391304,46
640,1,29.1,5,309.30892857142857,549.5928571428572,1681.9614285714285,4198.050714285714,28
641,1,29.1,6,242.58956521739128,652.1,2014.2913043478259,4240.020869565217,23
654,1,29.9,5,2985.6512,629.812,1377.8728,7432.222,25
659,1,30.0,3,915.7463414634146,815.429756097561,1587.0568292682926,5837.166097560976,41
660,1,30.0,4,1006.8414285714285,935.532077922078,1713.41,6146.881818181819,77
661,1,30.0,5,936.9199115044247,862.4447787610619,1770.4185840707964,6161.228761061947,113
662,1,30.0,6,949.6081250000001,743.47125,1485.08625,5524.175416666666,48
690,1,33.2,4,70.76277777777779,6576.894444444444,2775.262037037037,15708.137777777776,54
691,1,33.2,5,438.5718584070797,5687.602654867256,2531.1484955752217,15041.24221238938,113
692,1,33.2,6,551.7232183908046,4962.296551724138,2685.5580459770117,13628.8591954023,87
693,1,33.2,8,450.84919354838706,5460.904838709677,2751.473870967742,14734.685645161291,62
700,1,34.0,6,1445.9793333333332,1829.1536666666666,4300.1286666666665,10174.054333333333,30
702,1,34.0,9,559.2565517241379,2795.565517241379,5216.837586206897,13031.480689655173,29
717,1,34.9,8,200.6496551724138,2449.220689655172,3123.786551724138,8512.792413793104,29
718,1,34.9,9,261.3958333333333,2563.4966666666664,5499.825833333333,14905.625,24
734,1,38.3,5,1548.671875,1128.7625,2781.6921875,11816.488125,32
739,1,38.5,3,1976.7875,1580.51,2659.4365000000003,17328.159,40
740,1,38.5,4,1908.4638738738738,1605.981981981982,2476.671891891892,15715.79837837838,111
741,1,38.5,5,2055.7125538461537,1659.9538461538461,2543.6355692307693,16038.951723076922,325
742,1,38.5,6,1994.4805529953915,1660.0306451612905,2582.139262672811,16198.80797235023,217
743,1,38.5,8,2381.173880597015,1781.9567164179105,2514.998880597015,14813.29776119403,134
760,1,38.9,3,3882.3030303030305,1779.0727272727272,4590.845151515152,25431.307272727274,33
761,1,38.9,4,5014.043461538462,1693.301923076923,4191.634038461539,24121.748653846153,52
762,1,38.9,5,2324.1997402597403,1797.9746753246752,3953.547922077922,18707.92922077922,77
763,1,38.9,6,1082.7086567164179,1671.2019402985075,4617.074179104478,14412.600447761193,67
764,1,38.9,8,849.1592307692307,2177.1034615384615,4315.383076923077,12055.968076923076,52
765,1,38.9,9,463.41366666666664,4202.683666666667,8417.279333333334,22093.284,30
769,1,39.2,5,1632.3329166666665,1281.5249999999999,1709.9266666666665,8770.885,24
788,1,39.5,4,5117.1147619047615,1271.6714285714286,570.1847619047619,9877.746190476191,21
789,1,39.5,5,6350.781463414634,1472.7414634146342,876.0870731707317,12245.827804878048,41
790,1,39.5,6,4091.1259999999997,1379.6008,915.4055999999999,12131.0196,25
797,1,39.7,5,7705.821612903226,2965.0387096774193,5529.907096774194,30409.980322580646,31
803,1,39.9,2,1889.8504,1820.4560000000001,4644.0572,17568.1156,25
804,1,39.9,3,1151.1259523809524,1271.8216666666667,3533.8780952380953,13676.286904761906,42
805,1,39.9,4,737.8351886792452,1315.5945283018866,3281.4748113207547,10905.926037735848,106
806,1,39.9,5,1485.6812765957447,1462.9841489361704,3119.8936170212764,10864.170585106383,188
807,1,39.9,6,857.9347967479674,1600.4724390243903,3434.2347967479677,11342.490975609755,123
808,1,39.9,8,735.6897826086957,1360.0707608695652,2076.412608695652,7667.6348913043485,92
809,1,39.9,9,1278.1296969696969,1731.8248484848484,2823.897878787879,11142.485757575758,33
847,1,43.4,2,472.39338235294116,552.4757352941176,4089.6632352941174,6286.5327941176465,68
848,1,43.4,3,362.5217808219178,766.082191780822,3003.47698630137,5467.326301369863,73
849,1,43.4,4,377.8351052631579,863.3747894736841,2531.3393157894734,5228.737578947368,190
850,1,43.4,5,356.82785074626867,910.5103582089552,2210.9278507462686,5038.322776119403,335
851,1,43.4,6,184.95167741935484,1123.3070967741935,2213.522129032258,5084.994774193548,155
