,basy_yljgid,basy_caption,basy_dept_adrresscode,basy_yydj
703,JG_510000003300,达州市达川区中医医院,511703,二级甲等
707,JG_510000195812,泸州纳溪康态中医医院,510503,一级乙等
711,JG_510000002958,宜宾市第二中医医院,511502,三级乙等
715,JG_510000003896,凉山彝族自治州中西医结合医院,513401,三级甲等
729,JG_510000202106,崇州民仁汾州医院,510184,二级未评等
738,JG_510000003382,宣汉县中医院,511722,三级乙等
739,JG_510000201158,广元万缘医院,510802,二级甲等
740,JG_510000002080,绵阳市骨科医院,510703,三级甲等
743,JG_510000001368,蒲江县中医医院,510131,二级甲等
746,JG_510000003992,会东县中医医院,513426,二级甲等
748,JG_510000001790,合江县中医医院,510522,三级乙等
751,JG_510000926678,南充市嘉陵区中医医院,511304,未评级未评等
759,JG_510000003166,珙县中医医院,511526,三级乙等
762,JG_510000001396,都江堰市骨伤专科医院,510181,二级乙等
766,JG_510000187688,龙马潭李时昌中医医院,510504,一级未评等
768,JG_510000915965,酒城全科中医医院,510502,二级未评等
769,JG_510000002162,梓潼县中医院,510725,三级乙等
774,JG_510000002634,井研县中医医院,511124,三级未评等
776,JG_510000002812,营山县中医医院,511322,二级甲等
777,JG_510000200358,成都双流城北中医医院,510116,一级未评等
779,JG_510000X32593,渠县乐康中医医院,511725,二级未评等
789,JG_510000021574,彭州段氏中医骨科医院,510182,二级乙等
805,JG_510000001638,攀枝花市中西医结合医院,510402,三级甲等
807,JG_510000003918,西昌市中医医院,513401,二级甲等
813,JG_510000203448,遂宁市安居区中医院,510904,二级未评等
817,JG_510000000682,成都市青羊区中医医院（青羊区第六人民医院）,510105,三级乙等
821,JG_510000004472,成都市郫都区骨科医院,510117,二级甲等
822,JG_510000190106,渠县康宁中西医结合医院,511725,二级甲等
824,JG_510000002640,夹江县中医医院,511126,三级乙等
833,JG_510000913019,资中福仁堂中医医院,511025,未评级未评等
840,JG_510000913852,成都西部痛风风湿医院（成都西部痛风风湿医院互联网医院）,510105,二级未评等
861,JG_510000183372,乐山肛康中医肛肠医院,511102,二级未评等
873,JG_510000002426,内江市中医医院,511002,三级甲等
879,JG_510000003274,通川区中医院,511702,二级甲等
881,JG_510000160052,威远王氏正骨中西医结合医院,511024,一级未评等
883,JG_510000002498,资中县中医医院,511025,三级乙等
892,JG_510000187646,泸州纳溪杉岭中医医院,510503,一级乙等
902,JG_510000002146,盐亭县中医医院,510723,二级甲等
906,JG_510000921632,成都高新中和中医医院,510199,未评级未评等
911,JG_510000931240,达州德仁中医医院,511702,未评级未评等
917,JG_510000190858,绵阳市游仙区中医医院,510704,二级甲等
918,JG_510000201976,甘洛县中彝医院,513435,未评级未评等
925,JG_511723106AAF,开江民升中医医院,511723,一级未评等
927,JG_510000942100,乐山市沙湾区中医医院,511111,未评级未评等
965,JG_510000001570,贡井区中医医院,510303,二级甲等
983,JG_510000001948,中江县中医医院,510623,三级未评等
986,JG_510000172662,南充市高坪区中医医院,511303,二级甲等
992,JG_510000003412,开江县中医院,511723,二级甲等
995,JG_5100001929917,江安立昌中医医院,511523,一级未评等
998,JG_510000003666,简阳国康中医医院,510185,一级甲等
1016,JG_510000200400,崇州蜀州颈腰病医院,510184,二级甲等
1028,JG_510000183676,巴中骨质增生医院,511902,一级甲等
1034,JG_510000147585,通江茹氏骨科医院,511921,二级乙等
1035,JG_510000187644,泸州纳溪康林中医医院,510503,一级未评等
1037,JG_510000003480,雅安市中医医院(雅安市中医医院互联网医院）,511802,三级甲等
1054,JG_510000904505,成都西南中医医院（成都西南中医医院互联网医院）,510106,二级未评等
1057,JG_510000001836,德阳市旌阳区中医院（旌阳区人民医院）,510603,三级乙等
1060,JG_510000931008,蓬溪县中医医院,510921,二级未评等
1067,JG_510000X80055,成都西部中西医结合医院,510199,三级未评等
1082,JG_510000000894,成都育才骨科医院,510106,二级未评等
1113,JG_510000007586,乐山市五通桥区中医医院,511112,二级甲等
1116,JG_510000002852,阆中市中医医院,511381,三级乙等
1124,JG_510000900008,筠连一一八中医医院,511527,一级乙等
1129,JG_510000002346,苍溪县中医医院,510824,三级甲等
1136,JG_510000003156,高县中医医院,511525,三级未评等
1164,JG_510000002138,三台县中医骨科医院,510722,二级甲等
1187,JG_510000004324,金堂县中西医结合医院（金堂县土桥中心卫生院、金堂县土桥镇公共卫生所）,510121,二级乙等
1197,JG_510000X45693,成都青白江泰平中西医结合医院,510113,一级未评等
1204,JG_510000003588,平昌县中医医院,511923,三级乙等
1206,JG_510000003686,汶川县中医医院,513221,二级甲等
1207,JG_510000003852,白玉县藏医院,513331,二级甲等
1208,JG_510000003176,筠连县中医医院,511527,二级甲等
1214,JG_510000002510,隆昌市中医医院,511083,三级乙等
1223,JG_510000907693,宣汉卫众中医医院,511722,一级未评等
1241,JG_510000003582,南江县中医医院,511922,三级乙等
1249,JG_510000904114,南充嘉陵济生中西医结合医院,511304,一级未评等
1264,JG_510000201962,雷波县中彝医院,513437,未评级未评等
1269,JG_510000148225,广元市朝天区中医医院,510812,二级甲等
1282,JG_510000000818,四川天祥骨科医院,510106,二级甲等
1316,JG_510000000688,成都第一骨科医院（青羊区医疗中心医院）,510105,三级乙等
1341,JG_510000002840,仪陇县中医医院,511324,三级乙等
1352,JG_510000924909,渠县德善中医医院,511725,一级未评等
1360,JG_510000002776,南充龙门中医院,511303,二级乙等
1376,JG_510000002036,绵竹市中医医院,510683,三级乙等
1389,JG_510000002668,峨边彝族自治县中医医院,511132,二级乙等
1397,JG_510000001810,叙永县中医医院,510524,三级乙等
1415,JG_510000000652,四川省医学科学院·四川省人民医院,510105,三级甲等
1416,JG_510000907066,四川天府新区第二人民医院（四川天府新区精神卫生中心）,510110,二级未评等
1417,JG_510000183910,蓬安康爱医院,511323,一级未评等
1418,JG_510000905517,四川锦欣西囡妇女儿童医院,510104,三级甲等
1419,JG_510000000598,成都市第二人民医院,510104,三级甲等
1420,JG_510000000850,成都西区医院,510106,三级甲等
1421,JG_510000003204,广安市广安区人民医院,511602,三级乙等
1423,JG_510000908127,广安民和安精神病医院,511602,二级未评等
1424,JG_510000005682,德阳市罗江区鄢家镇中心卫生院,510604,未评级未评等
1425,JG_510000002150,绵阳市安州区人民医院,510705,三级甲等
1426,JG_510000148391,成都市温江区第三人民医院,510115,三级乙等
1427,JG_510000202074,自贡名扬医院,510304,一级未评等
1428,JG_510000914073,渠县长久医院,511725,一级未评等
1429,JG_510000003198,屏山县人民医院,511529,三级乙等
1430,JG_510000011358,通江县至诚中心卫生院,511921,未评级未评等
1431,JG_510000001564,自贡市第三人民医院,510303,三级甲等
1432,JG_510000202132,眉山市彭山区精神卫生保健院,511403,未评级未评等
1433,JG_510000011758,安岳县龙台镇中心卫生院（安岳县第四人民医院）,512021,未评级未评等
1434,JG_510000003302,达州市达川区人民医院（达州市第三人民医院）,511703,三级甲等
1435,JG_510000009024,眉山市东坡区万胜镇卫生院,511402,未评级未评等
1436,JG_510000X40222,宜宾益馨精神病医院,511504,二级乙等
1437,JG_510000009198,洪雅县瓦屋山镇卫生院,511423,未评级未评等
1438,JG_510000001394,都江堰市人民医院,510181,三级甲等
1439,JG_510000009338,宜宾市叙州区双龙镇中心卫生院,511504,未评级未评等
1440,JG_510000001608,荣县人民医院,510321,三级乙等
1441,JG_510000005246,纳溪区上马中心卫生院（泸州市纳溪区第五人民医院）,510503,未评级未评等
1442,JG_510000009070,仁寿县第三人民医院（仁寿县汪洋镇卫生院）,511421,未评级未评等
1443,JG_510000148096,华康肾病医院,510321,二级未评等
1444,JG_510000004036,越西县第一人民医院,513434,二级甲等
1445,JG_510000203252,南溪仁爱医院,511503,一级未评等
1446,JG_510000002910,仁寿县人民医院,511421,三级甲等
1447,JG_510000002422,内江市第一人民医院,511002,三级甲等
1448,JG_510000001482,邛崃市医疗中心医院,510183,三级甲等
1449,JG_510000003590,平昌县人民医院,511923,三级甲等
1450,JG_510000000672,成都市妇女儿童中心医院,510105,三级甲等
1451,JG_510000003648,简阳市人民医院,510185,三级甲等
1452,JG_510000002350,苍溪县人民医院,510824,三级乙等
1453,JG_510000007352,威远县龙会镇卫生院,511024,未评级未评等
1454,JG_510000002746,南充格瑞尔医院,511302,未评级未评等
1455,JG_510000005306,泸县奇峰中心卫生院,510521,未评级未评等
