,basy_yydj,jbbm,ssbm,num,level_耗材费_mean,level_检查检验费_mean,level_药品费_mean,level_总费用_mean
156,一级乙等,H25.900,S13.1,29,2895.121379310344827586206897,494.9431034482758620689655172,1128.908275862068965517241379,5519.709310344827586206896552
157,一级乙等,H25.900,S13.6,55,2913.472545454545454545454545,525.0081818181818181818181818,1255.055818181818181818181818,5783.755636363636363636363636
158,一级乙等,H26.900,S,11,15.08272727272727272727272727,517.7909090909090909090909091,1319.645454545454545454545455,2088.087272727272727272727273
159,一级乙等,H26.900,S13.1,20,2850.5195,532.0625,975.1855,5353.134
160,一级乙等,H26.900,S13.6,41,2907.912195121951219512195122,521.5731707317073170731707317,1282.554146341463414634146341,5829.123170731707317073170732
161,一级乙等,H66.000,S,38,24.76026315789473684210526316,419.8036842105263157894736842,1215.232368421052631578947368,1961.630526315789473684210526
162,一级乙等,H66.400,S,118,17.75745762711864406779661017,287.1906779661016949152542373,997.8566101694915254237288136,1700.940762711864406779661017
163,一级乙等,H66.900,S,48,10.07666666666666666666666667,329.7972916666666666666666667,1216.315416666666666666666667,2032.017291666666666666666667
164,一级乙等,H81.000,S,844,15.82928909952606635071090047,523.8653080568720379146919431,1116.992950236966824644549763,2018.388495260663507109004739
165,一级乙等,H81.100,S,33,13.94424242424242424242424242,485.3363636363636363636363636,728.5593939393939393939393939,1682.132424242424242424242424
166,一级乙等,H81.302,S,49,17.60040816326530612244897959,730.9342857142857142857142857,1114.396530612244897959183673,2255.489387755102040816326531
167,一级乙等,H81.400,S,34,42.03970588235294117647058824,835.3788235294117647058823529,1819.526176470588235294117647,3216.862352941176470588235294
168,一级乙等,H81.901,S,1323,35.59560846560846560846560847,528.7008994708994708994708995,1092.546235827664399092970522,2091.115532879818594104308390
169,一级乙等,H81.904,S,52,37.06211538461538461538461538,105.5221153846153846153846154,1257.344230769230769230769231,2000.979423076923076923076923
170,一级乙等,I00.X00,S,21,88.37523809523809523809523810,266.5833333333333333333333333,972.4266666666666666666666667,1808.636190476190476190476190
171,一级乙等,I00.X01,S,213,57.07751173708920187793427230,345.7145070422535211267605634,1201.947793427230046948356808,2336.634882629107981220657277
172,一级乙等,I07.100,S,23,23.46086956521739130434782609,231.9173913043478260869565217,990.9326086956521739130434783,1713.971739130434782608695652
173,一级乙等,I08.100,S,12,24.83333333333333333333333333,235.3416666666666666666666667,915.8558333333333333333333333,1828.955833333333333333333333
174,一级乙等,I09.900,S,153,31.33856209150326797385620915,577.26,1322.770784313725490196078431,2440.092222222222222222222222
175,一级乙等,I10.X00,S,190,24.42189473684210526315789474,461.2374210526315789473684211,959.8677368421052631578947368,1915.032789473684210526315789
176,一级乙等,I10.X03,S,36,19.38,399.2352777777777777777777778,1310.398611111111111111111111,2276.760833333333333333333333
177,一级乙等,I10.X04,S,186,21.99134408602150537634408602,698.6068817204301075268817204,1023.224784946236559139784946,2108.399516129032258064516129
178,一级乙等,I10.X05,S,347,38.94077809798270893371757925,716.0314121037463976945244957,1140.293458213256484149855908,2364.368069164265129682997118
179,一级乙等,I10.X06,S,78,47.87589743589743589743589744,744.42,1295.402948717948717948717949,2604.557307692307692307692308
180,一级乙等,I10.X09,S,99,57.62393939393939393939393939,400.4985858585858585858585859,1870.402828282828282828282828,3093.767373737373737373737374
181,一级乙等,I10.X10,S,19,51.55263157894736842105263158,1279.535789473684210526315789,1704.797368421052631578947368,3694.926315789473684210526316
182,一级乙等,I11.000,S,14,25.33571428571428571428571429,572.1142857142857142857142857,1243.699285714285714285714286,2215.645
183,一级乙等,I11.002,S,20,26.55,624.19,1378.4165,2599.754
184,一级乙等,I11.901,S,174,21.00045977011494252873563218,660.6547701149425287356321839,1444.515919540229885057471264,2549.402471264367816091954023
185,一级乙等,I20.000,S,37,13.32432432432432432432432432,328.9840540540540540540540541,1089.601621621621621621621622,2009.822972972972972972972973
186,一级乙等,I20.900,S,35,38.36028571428571428571428571,596.2002857142857142857142857,993.8437142857142857142857143,1952.288857142857142857142857
187,一级乙等,I21.103,S,14,156.7557142857142857142857143,795.7014285714285714285714286,2677.020714285714285714285714,4351.812142857142857142857143
188,一级乙等,I21.900,S,67,61.13820895522388059701492537,809.8608955223880597014925373,1496.855223880597014925373134,2971.706268656716417910447761
189,一级乙等,I24.900,S,86,13.34953488372093023255813953,274.0523255813953488372093023,1106.236744186046511627906977,1980.214883720930232558139535
