,basy_zyzd_jbbm_for_str_8,basy_yydj,HAOCAI-8-only_disease-E,JCJY-8-only_disease-E,YP-8-only_disease-E,ZFY-8-only_disease-E,记录条数-8-only_disease
31553,O23.500x,6,545.7481578947369,1814.1044736842105,1216.13,8704.329210526315,38
31557,O23.501,6,1257.4806451612903,1626.7209677419355,1499.9879032258063,9843.884677419355,62
31563,O23.502,5,734.865,1076.035294117647,1069.7044117647058,7009.817647058823,34
31564,O23.502,6,1689.5976842105263,1815.4256842105262,1524.8116842105262,11359.589368421053,95
31571,O23.506,5,771.501935483871,864.8653225806452,1261.4593548387097,6290.934516129032,62
31572,O23.506,6,352.5322222222222,1133.648148148148,607.2751851851853,5827.72074074074,27
31587,O24.100x,6,436.3676744186047,1536.8555813953487,631.3251162790698,5267.750697674419,43
31598,O24.300x,3,69.32142857142857,989.3571428571429,234.3852380952381,2797.6338095238093,21
31600,O24.300x,5,403.57142857142856,1045.61,660.9274285714285,5005.861428571428,35
31601,O24.300x,6,675.1794047619047,1904.1863095238095,780.2084523809523,6446.926190476191,84
31603,O24.400,1,1002.2576388888889,2413.5694444444443,901.0027777777777,22081.57416666667,72
31604,O24.400,2,233.20181818181817,859.075,653.9420454545455,3849.2156818181816,44
31605,O24.400,3,333.3410546875,1128.766875,668.186796875,5401.7153124999995,256
31606,O24.400,4,760.1831666666666,1046.3546666666666,1001.4031666666667,9057.367166666667,60
31607,O24.400,5,447.1491553544495,1224.011809954751,704.1788235294117,5221.002051282051,663
31608,O24.400,6,687.9901734449761,1541.82226076555,903.8602811004785,7764.686842105263,1672
31610,O24.900,1,412.2545,859.2125,708.2925,5385.53175,40
31611,O24.900,2,318.0153846153846,964.8903846153846,714.6811538461538,4461.836153846154,52
31612,O24.900,3,368.50246511627904,930.7432093023256,555.3073488372094,4445.330930232558,215
31613,O24.900,4,694.2825,1289.2482692307692,926.9292307692308,10152.975576923076,52
31614,O24.900,5,407.54961864406783,1131.9224576271188,749.4045762711864,5556.312415254237,236
31615,O24.900,6,553.1166129032258,1314.2164516129033,700.8711290322581,5821.6900000000005,124
31616,O24.900,7,147.8060606060606,1315.4709090909091,482.75575757575757,6380.584848484848,33
31633,O26.600x,6,432.6218518518519,1419.9214814814814,1086.25,6681.231111111111,27
31639,O26.603,3,124.05333333333334,965.3620833333333,498.49541666666664,3038.0808333333334,24
31641,O26.603,5,237.4851851851852,1202.8472222222222,662.9066666666666,4162.253333333333,54
31642,O26.603,6,350.1102205882353,1370.166544117647,652.6323529411765,5323.602426470588,136
31646,O26.606,1,497.3879166666666,1337.6341666666667,1087.44875,14605.062916666668,24
31647,O26.606,2,259.17121212121214,931.0575757575758,860.8133333333334,4503.064545454546,33
31648,O26.606,3,307.6712429378531,1063.6114689265537,759.3580790960452,4974.948870056497,177
31649,O26.606,4,655.4350000000001,1107.5217647058823,1231.7405882352941,7577.485,34
31650,O26.606,5,466.9746460176991,1293.9548008849556,927.6375221238937,6016.900995575221,452
31651,O26.606,6,820.428264367816,1718.5403563218392,1165.5824482758621,8096.586609195402,870
31668,O26.803,5,365.2439393939394,1127.3196969696971,497.68939393939394,3953.7530303030303,33
31669,O26.803,6,598.9332608695652,1704.5128260869565,849.4365217391305,5145.70152173913,46
31676,O26.900,3,210.27142857142857,553.1509523809524,348.4188095238095,3111.745,42
