,basy_caption
260,彭州市龙门山镇卫生院
261,彭州罗万医院
262,德昌县中医医院
263,德昌县巴洞镇中心卫生院
264,德昌县茨达镇卫生院
265,德阳乐龄精神病医院
266,德阳市中西医结合医院
267,德阳市旌阳区八角井镇卫生院
268,德阳市旌阳区旌西社区卫生服务中心
269,德阳第五医院（德阳第五医院互联网医院）
270,德阳肿瘤医院
271,成都世博医院
272,成都东部新区三岔中心卫生院（成都东部新区第三人民医院）
273,成都东部新区周家卫生院
274,成都东部新区清风卫生院
275,成都东部新区高明卫生院
276,成都九如城康复医院
277,成都亲睦家爱立康老年病医院
278,成都体育学院附属体育医院
279,成都八大处医疗美容医院
280,成都军大整形外科医院
281,成都博仕胃肠病医院
282,成都双流仁港医院
283,成都双流柏林医院
284,成都天使之翼整形美容医院
285,成都天府新区希华医院
286,成都市双流区东升社区卫生服务中心
287,成都市双流区公兴社区卫生服务中心
288,成都市双流区金桥社区卫生服务中心
289,成都市双流区黄水镇卫生院
290,成都市成华区双水碾社区卫生服务中心
291,成都市新津区五津社区卫生服务中心
292,成都市新津区永商镇公立卫生院
293,成都市新津区花源街道中心卫生院
294,成都市新都区斑竹园街道社区卫生服务中心
295,成都市温江区中医医院
296,成都市温江区金马街道社区卫生服务中心
297,成都市金牛区沙河源社区卫生服务中心（成都市金牛区金建人民医院）
298,成都市青白江区福洪镇卫生院
299,成都市龙泉驿区大面公立卫生院
300,成都市龙泉驿区第一人民医院
301,成都市龙泉驿区龙泉平安社区卫生服务中心
302,成都康福肾脏病医院
303,成都成华南光医院
304,成都成华泰兴医院
305,成都成华龙港医院
306,成都新都桂湖医院
307,成都普瑞眼科医院
308,成都武侯九星肾病医院
309,成都武侯军盛医院
310,成都武侯华生铂悦美容医院
311,成都泰兴医院
312,成都温江仁安医院
313,成都珍君医院
314,成都神康癫痫医院
315,成都第一骨科医院（青羊区医疗中心医院）
316,成都郫都川电医院
317,成都郫都蜀馨医院
318,成都金沙医院（成都妇女儿童医院）
319,成都锦江安吉拉医疗美容医院
320,成都附大强直类凤湿骨科医院
321,成都青羊兴光明眼科医院
322,成都风湿医院（成都风湿医院互联网医院）
323,成都骨伤医院（成都市金牛区骨伤医院）
324,成都高新区中和社区卫生服务中心
325,成都高新区新北社区卫生服务中心
326,成都高新区肖家河社区卫生服务中心
327,成都高新区芳草社区卫生服务中心
328,成都黄再军医院
329,成都龙泉驿锦欣慢性病医院
330,攀枝花市仁和区大田医院（攀枝花市仁和区大田镇妇幼保健站）
331,新津岷江颐养居康复医疗中心
332,旺苍县三江镇中心卫生院
333,旺苍县五权镇中心卫生院
334,旺苍县嘉川镇中心卫生院
335,旺苍县黄洋镇卫生院
336,旺苍青林医院
337,昭觉县三岔河镇中心卫生院
338,昭觉县四开镇中心卫生院
339,普格县日都迪萨镇卫生院
340,普格县花山镇卫生院
341,木里博爱医院
342,木里县固增乡卫生院
343,梓潼县人民医院
344,梓潼县观义镇中心卫生院
345,梓潼鸣兴精神病医院
346,武胜县中心镇中心卫生院（武胜县第三人民医院）
347,武胜县清平镇卫生院
348,武胜县金牛镇卫生院
349,汉源县唐家镇卫生院
350,汉源县坭美乡卫生院
351,江安县五矿镇卫生院
352,江安县四面山镇中心卫生院
353,江安县大妙镇卫生院
354,江安县江安镇卫生院
355,江安县铁清镇卫生院
356,江油市三合镇卫生院
357,江油市双河镇卫生院
358,江油市妇幼保健计划生育服务中心
359,江油市雁门镇中心卫生院
360,江油让水医院
361,江阳区丹林镇卫生院
362,江阳区分水岭镇卫生院
363,江阳区南城街道社区卫生服务中心
364,江阳区黄舣中心卫生院（泸州市江阳区第二中医医院）
365,沐川县黄丹镇卫生院
366,泸县云龙中心卫生院
367,泸县曹市寿康医院
368,泸县潮河福康医院
369,泸县贵锋医院
370,泸县雨坛龙洞山医院
371,泸州东大肛肠医院
372,泸州丽人妇产医院
373,泸州川蓝康复专科医院
374,泸州市龙马潭区妇幼保建计划生育服务中心（泸州市龙马潭区妇幼保健院）
375,泸州爱尔眼科医院
376,泸州纳溪乐和医院
377,泸州纳溪护民医院
378,泸州骨康骨科医院
379,洪雅县槽渔滩中心卫生院（洪雅县槽渔滩镇妇幼保健计划生育服务站）
380,涪城加华护理院
381,渠县乐康中医医院
382,渠县博仁医院
383,渠县天星街道社区卫生服务中心
384,渠县崇康医院
385,渠县庆康医院
386,渠县康宁中西医结合医院
387,渠县德善中医医院
388,渠县涌兴镇中心卫生院
389,炉霍县妇幼保健计划生育服务中心
390,炉霍县藏医院
391,犍为新城医院
392,珙县妇幼保健计划生育服务中心
393,珙县底洞镇中心卫生院
394,甘孜州泸定县德威镇卫生院
395,甘洛博爱医院
396,甘洛县吉米镇卫生院
397,甘洛县新市坝镇卫生院
398,甘洛县田坝镇卫生院
399,甘洛县苏雄镇卫生院
400,电子科技大学医院
401,白玉县藏医院
402,盐亭县鹅溪镇卫生院
403,盐边县第二人民医院
404,眉山东坡博康医院
405,眉山东坡胜奥医院
406,眉山市东坡区大石桥街道社区卫生服务中心
407,眉山市东坡区妇幼保健计划生育服务中心
408,眉山市中医医院（眉山市东坡区人民医院）
409,眉山市彭山区公义镇卫生院
410,眉山市彭山区江口街道社区卫生服务中心
411,眉山德康健医院有限责任公司
412,眉山蕴缨妇产医院
413,石棉县中医医院
414,石棉县安顺场中心卫生院
415,石棉县栗子坪彝族乡卫生院
416,石棉县王岗坪彝族藏族乡卫生院
417,石棉县迎政乡卫生院
418,石棉容大医院
419,科学城医院航空城分院
420,筠连县团林苗族乡卫生院
421,筠连县妇幼保健计划生育服务中心
422,筠连现黛眼科医院
423,简阳家乐精神康复医院
424,简阳市平武镇卫生院
425,简阳市新市街道社区卫生服务中心
426,简阳康城中西医结合医院
427,简阳玛莉亚妇产医院
428,简阳绛溪医院
429,米易县丙谷镇中心卫生院
430,米易县中医医院
431,米易县妇幼保健服务中心
432,米易县得石镇中心卫生院
433,米易老年病医院
434,红原县瓦切镇中心卫生院
435,经开综合医院
436,绵竹川西医院
437,绵竹市九龙镇卫生院
438,绵竹市剑南街道社区卫生服务中心
439,绵竹市富新镇卫生院
440,绵竹市广济镇卫生院
441,绵竹市第二中医医院
442,绵竹市肛肠专科医院
443,绵竹市麓棠镇卫生院
444,绵阳市安州区界牌社区卫生服务中心
445,绵阳市游仙区富乐街道社区卫生服务中心
446,绵阳市骨科医院
447,绵阳肾病医院
448,罗江区万安镇景乐社区卫生服务站
449,美姑县候播乃拖镇中心卫生院
450,美姑县典补乡卫生院
451,美姑县拉马镇中心卫生院
452,自流井区第二人民医院
453,自贡云山骨科医院
454,自贡名扬医院
455,自贡市大安区回龙镇卫生院
456,自贡市大安区团结镇卫生院
457,自贡市沿滩区九洪乡卫生院
458,自贡市沿滩区升坪街社区卫生服务中心
459,自贡市沿滩区黄市镇卫生院
460,自贡市第三人民医院
461,自贡市第六人民医院
462,自贡市精神卫生中心
463,自贡市贡井区成佳中心卫生院
464,自贡市贡井区长土街道社区卫生服务中心
465,自贡康桥医院
466,色达县人民医院
467,芦山县芦阳街道卫生院
468,苍溪县云峰镇卫生院
469,苍溪县月山乡卫生院
470,苍溪县永宁镇卫生院
471,苍溪县河地镇卫生院
472,苍溪县高坡镇卫生院
473,苍溪康复医院
474,苍溪新友好医院
475,荣县东佳镇卫生院
476,荣县东兴镇卫生院
477,荣县中医医院（荣县第二人民医院、荣县老年病医院）
478,荣县河西中西医结合医院
479,荣州慧康精神病医院
480,营山博康肾病医院
481,营山县太蓬乡卫生院
482,营山县朗池街道西月湖社区卫生服务中心
