,basy_zyzd_jbbm_for_str_9,basy_yydj,HAOCAI-9-only_disease-E,JCJY-9-only_disease-E,YP-9-only_disease-E,ZFY-9-only_disease-E,记录条数-9-only_disease
1404,C25.100,6,6880.720454545455,8107.685454545454,7789.889999999999,38344.81363636364,22
1409,C25.200,6,4063.034137931035,6716.5420689655175,4805.860689655172,25180.295862068964,29
1420,C25.801,6,11589.403404255318,10001.76,9946.27744680851,48965.12340425532,47
1424,C25.900,1,4471.641666666666,1811.8916666666667,14329.44,25040.42916666667,24
1429,C25.900,6,2389.9154285714285,5655.614571428571,6936.878000000001,24126.922285714285,35
1433,C25.900x0,4,1059.8899999999999,3535.068518518519,7981.170740740741,16770.91777777778,27
1434,C25.900x0,5,1902.0543902439024,3257.6907317073174,3785.4797560975608,12967.494146341463,41
1435,C25.900x0,6,4263.770119047619,5850.335952380952,6389.233273809524,23809.600654761907,168
1464,C32.000,6,3523.5694444444443,5364.648055555555,2613.3058333333333,24049.804166666665,36
1468,C32.001,6,1703.815,4896.295555555556,2145.374444444444,17997.773055555554,36
1482,C32.900,6,2740.64171875,6229.14546875,4466.494375,24880.87171875,64
1493,C34.001,6,1961.3118181818181,6900.955227272728,3016.375681818182,15999.281590909091,44
1497,C34.100,6,11461.246212121212,6252.77196969697,3317.852575757576,28559.26090909091,66
1500,C34.100x0,3,5211.740434782609,4058.607391304348,3649.6313043478262,17785.474347826086,23
1501,C34.100x0,4,3629.6069543147205,6111.052791878172,3317.686345177665,41266.86517766498,197
1502,C34.100x0,5,8498.654237918216,5550.970185873606,2512.5030483271375,23149.373977695166,269
1503,C34.100x0,6,13962.110201598887,7543.688536670144,3059.6607229753217,35565.09914841849,2877
1508,C34.101,6,13430.754347826087,7160.647826086956,2753.0639130434784,33531.14913043479,23
1511,C34.200x0,4,4572.06125,6644.633333333334,3319.705,47214.24625,24
1512,C34.200x0,5,7947.9138095238095,5666.602857142857,2528.072857142857,23078.810476190476,21
1513,C34.200x0,6,15903.779584664537,7594.019744408946,3211.307571884984,38287.64501597444,313
1517,C34.201,6,12566.888620689655,5986.558275862069,2942.869655172414,29972.419310344827,29
1521,C34.300,6,12260.971249999999,5885.811250000001,3344.8059999999996,28713.0145,40
1524,C34.300x0,4,3098.9869811320755,6334.196226415095,3165.579905660377,38811.55273584906,106
1525,C34.300x0,5,9768.4043575419,5448.6734636871515,2439.4886592178773,24305.90089385475,179
