,basy_zyzd_jbbm_for_str_3,basy_yydj,age_group,AGE-HAOCAI-3-only_disease-E,AGE-JCJY-3-only_disease-E,AGE-YP-3-only_disease-E,AGE-ZFY-3-only_disease-E,记录条数-3-only_disease
28708,R10,6,9,109.62721649484536,2575.8031958762886,876.5351546391753,4624.675773195876,97
28709,R10,7,0,12.418166666666668,396.8643333333333,316.22383333333335,987.6498333333333,60
28710,R10,7,1,10.426384615384617,510.5352307692308,393.79115384615386,1222.505076923077,130
28711,R10,7,2,7.684117647058823,491.010294117647,456.79970588235295,1261.505294117647,34
28712,R10,7,3,13.196301369863015,582.1131506849315,401.94,1342.6712328767123,73
28713,R10,7,4,14.014788732394365,647.9733098591548,538.4011267605634,1562.0038028169015,142
28714,R10,7,5,16.833044619422573,634.2530183727034,535.0607611548556,1575.1862204724407,381
28715,R10,7,6,18.926386768447838,663.2574554707379,605.4230025445293,1763.6429770992368,393
28716,R10,7,8,18.421241685144125,712.928957871397,608.1088248337029,1801.3895565410198,451
28717,R10,7,9,25.342211055276383,761.1368844221105,571.8058291457287,1795.1154773869346,199
28895,R18,6,5,685.1489655172413,3385.324827586207,2030.7603448275863,8585.274137931036,29
28896,R18,6,6,616.3828125,3025.8284375,2309.1884375,8080.87,32
28936,R19,6,3,106.59130434782608,2043.8695652173913,285.9382608695652,3035.2508695652177,23
28937,R19,6,4,362.60535714285714,2623.7785714285715,449.9146428571429,4450.449285714286,28
28938,R19,6,5,423.878,3200.9995,828.482,5924.77975,40
28940,R19,6,8,359.4129629629629,3535.217777777778,624.5951851851852,5730.3848148148145,27
29022,R21,7,5,4.434814814814815,479.96074074074073,354.1585185185185,1183.2011111111112,27
29023,R21,7,6,7.80904761904762,617.8104761904763,502.35857142857145,1530.115238095238,21
29024,R21,7,8,15.566521739130433,508.69000000000005,604.6239130434783,1635.5456521739131,23
29036,R22,2,5,78.0062962962963,990.1851851851852,403.0166666666667,2182.9585185185183,27
29043,R22,3,3,118.8564,999.3992,173.09400000000002,2915.9108,25
29044,R22,3,4,145.08347826086955,955.6021739130434,246.13760869565218,2451.2984782608696,46
29045,R22,3,5,181.67140350877193,954.2121052631578,302.3394736842105,2525.454210526316,57
29046,R22,3,6,157.33033333333333,1051.56,329.1956666666667,2669.539333333333,30
29047,R22,3,8,135.7192,1022.942,347.24800000000005,2720.6976,25
29054,R22,4,5,162.3876,1619.2828,831.9259999999999,5923.8328,25
29060,R22,5,2,107.08043478260869,810.5130434782608,241.34434782608696,2044.3095652173913,23
29061,R22,5,3,91.02266666666667,1015.2333333333333,139.20133333333334,2240.3559999999998,30
29062,R22,5,4,119.71606060606061,972.6569696969697,184.2118181818182,2149.975151515151,33
29063,R22,5,5,154.62457627118644,1137.2071186440678,182.0893220338983,2434.511186440678,59
29064,R22,5,6,99.24204545454545,1267.4704545454545,255.91772727272726,2688.6697727272726,44
29065,R22,5,8,113.97483870967743,1312.4306451612904,157.82354838709676,2302.7670967741933,31
29067,R22,6,0,773.6268421052631,1271.7236842105262,391.89631578947365,5476.953157894737,38
29068,R22,6,1,382.23333333333335,1272.8933333333334,397.53133333333335,4237.217666666666,30
29069,R22,6,2,444.61679487179487,1598.1499999999999,347.16435897435895,4211.138461538461,78
