,口腔科,basy_zyzd_jbbm,耗材费,count
213,0,其他器官的结核,1964.7552984895708,4171
214,0,其他围生期的消化系统疾患,658.3567052631579,950
215,0,其他围生期血液疾患,317.45166666666665,234
216,0,其他坏死性血管病,1201.768754189944,1790
217,0,其他外因的效应,1199.9995816464236,741
218,0,其他外部物质引起的呼吸性情况,271.93802857142856,350
219,0,其他多神经病,103.79035724575051,3471
220,0,其他大疱性疾患,23.51496875,320
221,0,其他头痛综合征,111.4722874710893,17727
222,0,其他女性盆腔炎性疾病	,80.18202530469391,64573
223,0,其他局限性结缔组织疾患,180.82390243902438,82
224,0,其他幼年型骨软骨病,1015.1598795180723,83
225,0,其他异常的子宫和阴道出血	,190.4091143633072,26512
226,0,其他心境[情感]障碍,43.18090909090909,22
227,0,其他心律失常,12493.962145745898,13105
228,0,其他心理发育障碍,7.8187999999999995,25
229,0,其他必要的预防措施,91.5685,20
230,0,其他急性播散性脱髓鞘,636.4625,848
231,0,其他急性病毒性肝炎,509.4387837837838,296
232,0,其他急性缺血性心脏病,1844.5610950159587,8146
233,0,其他性传播的衣原体疾病,49.279310344827586,29
234,0,其他慢性阻塞性肺病,86.06111009318575,877602
235,0,其他手术后状态,268.19563597532033,4214
236,0,其他手术的随诊医疗,1847.6184644957032,4422
237,0,其他斜视,471.36026897568166,5428
238,0,其他无机物质的毒性效应,3264.134893617021,47
239,0,其他无机粉尘引起的肺尘埃沉着病,65.5227927927928,222
240,0,"其他染色体异常,不可归类在他处者",1521.4803448275861,29
241,0,其他梗阻性分娩	,340.4575260597637,1439
242,0,其他椎间盘疾患,301.24665964569374,507527
243,0,其他毛囊疾患,349.21557432432434,296
244,0,其他气体、烟雾和蒸气的毒性效应,867.0772284644195,267
245,0,其他氨基酸代谢紊乱,429.8624637681159,69
246,0,其他沙门菌感染,175.51873622336518,1361
247,0,其他流产	,116.25844444444445,225
248,0,其他浅部真菌病,41.23880530973451,226
249,0,其他炎性肝脏疾病,1302.512602303357,4081
250,0,其他炎性脊椎病,786.4310235969388,3136
251,0,其他焦虑障碍,60.78548172477683,11874
252,0,其他特指的关节病,1059.1060234346392,2731
253,0,其他特指的关节紊乱,1453.6490217998883,5367
254,0,其他特指的糖尿病,112.17240131578949,304
255,0,"其他猝死,原因不知",339.47298850574714,174
256,0,其他甲状腺功能减退症,81.56988122171946,1768
257,0,其他疾病和情况个人史,485.524358974359,39
258,0,其他疾病和疾患的特殊筛查,287.82153846153847,13
259,0,"其他病毒性出血热,不可归类在他处者",581.8546052631579,152
260,0,"其他病毒性疾病,不可归类在他处者",72.05720930232559,43
261,0,"其他病毒性脑炎,不可归类在他处者",408.566,20
262,0,其他病虫侵染,264.78499999999997,12
263,0,其他白内障,2328.157770610764,49610
264,0,其他白细胞疾患,256.393030927835,485
265,0,其他的一般症状和体征,447.1803924050633,790
266,0,其他的基底核变性疾病,194.3098936170213,188
267,0,"其他的性染色体异常,女性表型,不可归类在他处者",2764.29,1
268,0,"其他的性染色体异常,男性表型,不可归类在他处者",34.254999999999995,2
269,0,其他皮炎,28.010928536703936,14399
270,0,其他皮肤改变,162.14905511811023,127
271,0,其他皮肤棘层松解性疾患,195.985,8
272,0,"其他真菌病,不可归类在他处者",1047.7968,50
273,0,其他矫形外科的随诊医疗,705.1190305929092,76521
274,0,其他破伤风,1922.1856435643565,101
275,0,其他碳水化合物代谢紊乱,166.406953125,128
276,0,其他神经症性障碍,70.4141975308642,324
277,0,其他立克次体病,83.24142857142857,175
278,0,其他类风湿性关节炎,289.23843059434563,20409
279,0,其他粘液囊病,507.55888224235173,5851
280,0,其他精神发育迟缓,8.72888888888889,9
281,0,其他红斑性情况,122.65169230769231,260
282,0,"其他细菌性疾病,不可归类在他处者",721.8001863354037,322
283,0,其他细菌性肠道感染,80.77890078515347,2802
284,0,"其他细菌性食物中毒,不可归类在他处者",978.8572932330827,133
285,0,其他经寄生虫学证实的疟疾,25.655714285714286,7
286,0,其他结晶性关节病,335.3596296296296,27
287,0,其他结缔组织和软组织恶性肿瘤,3001.8580878859857,842
288,0,其他绦虫感染,1963.37,1
289,0,其他维生素缺乏病,36.34444444444445,9
290,0,其他缺乏的效应,171.00666666666666,3
291,0,其他肌病,92.82022527472527,1820
292,0,其他肌腱端病,350.1122453340932,7019
293,0,其他肺源性心脏病,114.27332961713364,34085
294,0,其他肾上腺疾患,1521.6312489728841,1217
295,0,其他肾小管-间质疾病	,562.3525127226463,1572
296,0,"其他背部病,不可归类在他处者",352.15031928617503,9302
297,0,其他胸膜情况,492.46303866666665,7500
298,0,其他脊椎病,928.4863420202455,92860
299,0,其他脑神经疾患,597.7181626506025,996
300,0,其他脑血管病,1050.8944148060684,223584
301,0,其他脓毒病,1044.2018117479051,47617
302,0,其他腹疝,3527.1290530846486,697
303,0,"其他节肢动物媒介的病毒性发热,不可归类在他处者",37.01947154471545,246
304,0,其他营养元素缺乏,63.346111111111114,36
305,0,其他营养性贫血,139.18165169315827,1447
306,0,其他营养缺乏,81.71062500000001,32
307,0,其他营养过度,26.075,2
308,0,其他蚊媒介的病毒性发热,0.53,1
309,0,其他螺旋体感染,51.68571428571429,14
310,0,其他蠕虫病,607.415,2
311,0,其他血清免疫学异常所见,170.36133333333333,30
312,0,其他表皮肥厚,313.94691131498473,327
313,0,其他装置的安装和调整,145.2140607486631,23375
314,0,其他视网膜疾患,998.8925755136214,15527
315,0,其他贫血,101.07558855943323,19055
316,0,其他身体结构诊断性影像检查的异常所见,555.1206678476527,11290
317,0,"其他软组织疾患,不可归类在他处者",251.3288666275463,11929
318,0,其他过度溶血引起的新生儿黄疸,138.04646907216494,388
319,0,其他遗传性溶血性贫血,472.08460704607046,369
320,0,其他部位的静脉曲张,1356.832097457627,4248
321,0,其他锥体束外和运动疾患,1844.9152101400932,1499
322,0,其他间质性肺疾病,741.7167434798142,16794
323,0,其他阑尾炎,693.9912360515021,3495
324,0,其他静脉栓塞和血栓形成,5655.808106666666,750
325,0,其他非创伤性颅内出血,2898.388090475458,6499
326,0,其他非器质性精神病性障碍,29.071559633027526,109
327,0,其他非感染性胃肠炎和结肠炎,49.39119227450921,66067
328,0,其他非毒性甲状腺肿,3684.953506743738,9861
329,0,其他非瘢痕性毛发缺失,400.04333333333335,6
330,0,其他风湿性心脏病,116.99297543472261,3623
331,0,其他骨软骨发育不良,1499.2007189542483,306
332,0,其他骨软骨病,909.361640625,384
333,0,其他麻痹[瘫痪]综合征,279.15539877300614,2445
334,0,具有与家族和个人史以及影响健康状态的某些情况有关的潜在健康危害的人,0.0,3
335,0,具有其他功能性植入物,904.9573964497041,169
336,0,具有其他装置,54.22411764705882,17
337,0,具有心脏和血管植入物和移植物,428.91,218
338,0,内分泌腺其他和未特指的良性肿瘤,5593.907546091925,3851
339,0,内分泌腺动态未定或动态未知的肿瘤,3688.962892670157,1528
340,0,内服物质引起的皮炎,82.57139980353634,2036
341,0,内耳的其他疾病,228.98983146067417,178
342,0,内部矫形外科假体装置、植入物和移植物的并发症,6424.460147389457,4003
343,0,再植和截断术所特有的并发症,759.5867021276596,658
344,0,冻伤伴有组织坏死,1108.96125,8
345,0,出生窒息,212.7603399668325,1206
346,0,"出血,不可归类在他处者",902.8064547677262,409
347,0,分娩时会阴裂伤	,252.38694718581343,25940
348,0,分娩的结局,80.596,30
349,0,分离[转换]性障碍,58.81596980255517,861
350,0,分类于他处的传染病和寄生虫病引起的关节的直接感染,16.55,1
351,0,分类于他处的慢性疾病引起的贫血,270.71,1
352,0,分类于他处的疾病引起的皮肤和皮下组织的其他疾患,0.0,1
353,0,分类于他处的疾病引起的肺炎,47.47,1
354,0,分类于他处的疾病引起的脑神经疾患,79.38333333333333,48
355,0,分裂型障碍,6.0325,8
356,0,分裂情感性障碍,182.42184615384616,65
357,0,创伤的某些早期并发症,983.7839726027397,4088
358,0,利什曼病,2310.4152631578945,19
359,0,利尿剂和其他及未特指的药物、药剂和生物制品中毒,328.8865143964563,3612
360,0,利斯特菌病,1404.059705882353,34
361,0,刺激性接触性皮炎,28.515084033613444,238
362,0,前列腺增生	,1322.241861420596,41377
363,0,前列腺恶性肿瘤,2160.551924069296,8139
364,0,前列腺炎性疾病	,31.445129934756164,9043
365,0,前列腺的其他疾患	,498.4575879396985,995
366,0,前庭功能疾患,33.64906405634625,95978
