,ICU,basy_zyzd_jbbm,检查检验费,count
292,0,其他血清免疫学异常所见,1591.1,35
293,0,其他表皮肥厚,1452.4712068965518,406
294,0,其他装置的安装和调整,511.1688949843261,26796
295,0,其他视网膜疾患,797.5223991935484,17360
296,0,其他贫血,2035.4850920679885,19768
297,0,其他身体结构诊断性影像检查的异常所见,2331.973686746988,11620
298,0,"其他软组织疾患,不可归类在他处者",1015.1902685950413,13552
299,0,其他过度溶血引起的新生儿黄疸,1850.713818181818,385
300,0,其他遗传性溶血性贫血,3294.062156862745,357
301,0,其他部位的静脉曲张,1434.2895857988167,4732
302,0,其他锥体束外和运动疾患,2325.7816872427984,1701
303,0,其他间质性肺疾病,2277.8596093377796,14693
304,0,其他阑尾炎,1359.6616349809885,3682
305,0,其他静脉栓塞和血栓形成,2606.617777777778,693
306,0,其他非创伤性颅内出血,3752.279892156863,7140
307,0,其他非器质性精神病性障碍,3353.556666666667,105
308,0,其他非感染性胃肠炎和结肠炎,1070.5027911879413,66409
309,0,其他非毒性甲状腺肿,2594.1576639600253,11207
310,0,其他风湿性心脏病,1682.8732618025751,3262
311,0,其他骨软骨发育不良,1877.0167901234568,567
312,0,其他骨软骨病,1312.004918032787,427
313,0,其他麻痹[瘫痪]综合征,2032.8396992481205,2793
314,0,具有其他功能性植入物,979.9428571428572,245
315,0,具有其他装置,565.2,14
316,0,具有心脏和血管植入物和移植物,1001.2745238095239,294
317,0,内分泌腺其他和未特指的良性肿瘤,6351.023500866551,4039
318,0,内分泌腺动态未定或动态未知的肿瘤,3926.579195402299,1827
319,0,内服物质引起的皮炎,1254.9878996865204,2233
320,0,内耳的其他疾病,1457.9924999999998,140
321,0,内部矫形外科假体装置、植入物和移植物的并发症,2552.1059657320875,4494
322,0,再植和截断术所特有的并发症,1118.9665094339623,742
323,0,出生窒息,2404.5073410404625,1211
324,0,"出血,不可归类在他处者",2439.873472222222,504
325,0,分娩时会阴裂伤	,1049.6815916575192,25508
326,0,分娩的结局,1071.3333333333333,21
327,0,分离[转换]性障碍,1736.7962162162162,777
328,0,分类于他处的疾病引起的脑神经疾患,894.15,14
329,0,分裂型障碍,2989.0,7
330,0,分裂情感性障碍,5737.675,56
331,0,创伤的某些早期并发症,1492.7758863328822,5173
332,0,利什曼病,7657.240000000001,35
333,0,利尿剂和其他及未特指的药物、药剂和生物制品中毒,1119.1325607064018,3171
334,0,利斯特菌病,10232.816,70
335,0,刺激性接触性皮炎,770.1973770491804,427
336,0,前列腺增生	,2503.263732323232,41580
337,0,前列腺恶性肿瘤,4940.398815580286,8806
338,0,前列腺炎性疾病	,730.1968624641834,9772
339,0,前列腺的其他疾患	,1830.5770212765958,987
340,0,前庭功能疾患,1157.3849020475227,110768
341,0,前庭大腺[巴多林腺]疾病	,1042.5623350253807,5516
342,0,前置胎盘	,1758.175127118644,4956
343,0,前臂其他和未特指的损伤,1074.43,280
344,0,前臂创伤性切断,7729.17,42
345,0,前臂开放性伤口,1204.582733564014,2023
346,0,前臂挤压伤,1722.0766666666666,84
347,0,前臂浅表损伤,1066.510593607306,1533
348,0,前臂骨折,1414.0470861655338,70028
349,0,剥脱性皮炎,692.1076923076923,91
350,0,副银屑病[类银屑病],960.6142857142856,98
351,0,功能检查的异常结果,1680.6678861788619,1722
352,0,动脉和小动脉的其他疾患,3840.127186588921,4802
353,0,动脉栓塞和血栓形成,4617.615591836735,3430
354,0,动脉粥样硬化,3272.0672958257715,11571
355,0,包皮过长、包茎和嵌顿包茎	,305.3154149659864,36015
356,0,化脓性关节炎,1315.0114389989571,6713
357,0,化脓性和未特指的中耳炎,879.0916613290632,17486
358,0,医疗个人史,311.5111111111111,63
359,0,医疗性流产	,668.5447973960408,52689
360,0,十二指肠溃疡,2296.90982126899,15666
361,0,单核细胞白血病,6858.755641025641,273
362,0,单纯性和粘液脓性慢性支气管炎,796.4596380090499,3094
363,0,单胎顺产	,738.9095562130177,9464
364,0,卟啉和胆红素代谢紊乱,2455.4453333333336,420
365,0,卡波西肉瘤,2909.6666666666665,21
366,0,卵巢、输卵管和阔韧带先天性畸形,2615.8507142857143,98
367,0,卵巢、输卵管和阔韧带的非炎性疾患	,1905.5234256816184,15918
368,0,卵巢功能障碍,1725.3052173913045,161
369,0,卵巢恶性肿瘤,7174.805225375626,4193
370,0,卵巢良性肿瘤,2879.6537679083094,9772
371,0,原位黑色素瘤,1914.7783333333334,42
372,0,原有的高血压并发于妊娠、分娩和产褥期	,1746.4406923076924,910
373,0,"原有高血压性疾患,并发蛋白尿	",2456.5423762376236,707
374,0,双相情感障碍,5100.292923976608,1197
375,0,反应性关节病,2636.32,49
376,0,受压区褥疮,2272.780296735905,2359
377,0,受孕的其他异常产物	,859.965369261477,17535
378,0,变应性接触性皮炎,514.378220338983,15694
379,0,口其他和未特指部位的恶性肿瘤,5750.186627906977,602
380,0,"口区囊肿,不可归类在他处者",1465.8671824104235,4298
381,0,口和咽良性肿瘤,1593.6100000000001,3990
382,0,口咽恶性肿瘤,4925.608787878788,231
383,0,口底恶性肿瘤,6460.576111111111,126
384,0,口炎和有关损害,788.4567863984674,14616
385,0,口腔、食管和胃原位癌,3651.5422040816325,1715
386,0,口腔和消化器官动态未定或动态未知的肿瘤,2746.389823462415,12292
387,0,可归类在他处的孕产妇的传染病和寄生虫病并发于妊娠、分娩和产褥期	,1244.438656462585,4116
388,0,可归类在他处的孕产妇的其他疾病并发于妊娠、分娩和产褥期	,1232.0915993707395,40047
389,0,叶酸盐缺乏性贫血,3145.7695918367344,343
390,0,后天性溶血性贫血,4006.2397727272723,924
391,0,后天性纯红细胞再生障碍[幼红细胞减少症],2784.575909090909,616
392,0,吞咽困难,1461.5556428571429,980
393,0,含硅[矽]粉尘引起的肺尘埃沉着病,1046.9229090909091,5005
394,0,吸入化学制剂、气体、烟雾和蒸气引起的呼吸性情况,1520.6666666666667,84
395,0,周围循环系统的其他先天性畸形,1900.9235582822084,1141
396,0,周围神经和自主神经系统恶性肿瘤,6555.916,35
397,0,呼吸和消化器官的继发性恶性肿瘤,4678.270063829787,9870
398,0,呼吸器官和胸腔标本的异常所见,2598.87,7
399,0,呼吸异常,1360.3606134969325,2282
400,0,呼吸系统和胸腔内器官其他和不明确部位的恶性肿瘤,5271.16,70
401,0,"呼吸衰竭,不可归类在他处者",2898.53325326101,54201
402,0,呼吸道内异物,2175.597090909091,770
403,0,呼吸道出血,1258.6898093058735,9177
404,0,呼吸道烧伤和腐蚀伤,23405.138333333336,42
405,0,"呼吸道结核,未经细菌学或组织学所证实",3680.1197117619713,15057
406,0,"呼吸道结核,经细菌学和组织学证实",4241.468670236502,15687
407,0,咳嗽,1159.4875073313783,2387
408,0,咽下部恶性肿瘤,4823.981833333333,420
409,0,咽痛和胸痛,1341.47874617737,4578
410,0,咽鼓管炎和阻塞,704.35,42
411,0,咽鼓管的其他疾患,972.025,28
412,0,哮喘,1226.4724114796868,18781
413,0,哮喘持续状态,1449.9560456942004,3983
414,0,唇、口腔和咽其他和部位不明的恶性肿瘤,5157.317123287671,511
415,0,唇及口腔粘膜的其他疾病,1174.0269473684211,2660
416,0,唇恶性肿瘤,2869.112,140
417,0,唇裂,824.7273170731708,287
418,0,唐氏综合征[先天愚型],84.46923076923076,182
419,0,喉先天性畸形,1131.02,14
420,0,喉恶性肿瘤,4825.2278504672895,1498
421,0,嗅觉和味觉障碍,17.2,7
422,0,嗜眠、木僵和昏迷,3448.6928684210525,2660
423,0,嘌呤和嘧啶代谢紊乱,757.8981914893617,658
424,0,"器官后天性缺失,不可归类在他处者",1962.3613636363639,154
425,0,器官和组织的供者,1957.280909090909,924
426,0,器官和组织移植状态,693.1833333333334,42
427,0,"器质性遗忘综合征,非由酒精和其他精神活性物质所致",1719.0,7
428,0,囊性肾病,2022.5314545454546,385
429,0,囊虫病[囊尾蚴病],3826.590909090909,77
430,0,四肢其他后天性变形,2284.5380534351143,1834
431,0,四肢后天性缺失,1517.5187999999998,175
432,0,四肢的其他先天性畸形,1505.6866666666667,147
433,0,四肢骨和关节软骨恶性肿瘤,4424.701578947369,266
434,0,固体和液体引起的肺炎,4356.123151515152,1155
435,0,在其他情况下与保健机构接触的人,101.91971830985915,497
436,0,在前臂水平的神经损伤,1192.4651428571428,490
437,0,在前臂水平的肌肉和肌腱损伤,867.8164390243903,1435
438,0,在前臂水平的血管损伤,1281.4983443708609,1057
439,0,在小腿水平的神经损伤,1585.7968253968254,441
440,0,在小腿水平的肌肉和肌腱损伤,1509.352729468599,2898
441,0,在小腿水平的血管损伤,3210.2738532110093,763
442,0,在肩和上臂水平的神经损伤,1185.9717777777778,315
443,0,在肩和上臂水平的肌肉和肌腱损伤,1633.8049734684032,14511
444,0,在肩和上臂水平的血管损伤,1879.9840000000002,175
445,0,在胸水平的神经和脊髓损伤,2869.5358333333334,84
446,0,在腕和手水平的关节和韧带脱位、扭伤和劳损,1107.7550662251656,2114
447,0,在腕和手水平的神经损伤,986.8829999999999,1330
448,0,在腕和手水平的肌肉和肌腱损伤,952.938309859155,6461
449,0,在腕和手水平的血管损伤,1091.1602828618968,4207
450,0,在腕和手水平的骨折,1184.486220971147,19894
451,0,在腹、下背和骨盆水平的神经和腰部脊髓损伤,2289.1730188679244,371
452,0,在腹、下背和骨盆水平的血管损伤,7723.341666666666,84
453,0,在踝和足水平的关节和韧带脱位、扭伤和劳损,1288.2393023255813,7525
454,0,在踝和足水平的神经损伤,1369.5633333333333,126
455,0,在踝和足水平的肌肉和肌腱损伤,1119.4478632478633,1638
456,0,在踝和足水平的血管损伤,1430.0813846153846,910
457,0,在颈水平的关节和韧带脱位、扭伤和劳损,1846.8391891891893,1554
458,0,在颈水平的神经和脊髓损伤,5186.852296650718,1463
459,0,在颈水平的肌肉和肌腱损伤,1112.4199999999998,140
460,0,在颈水平的血管损伤,6424.5,28
461,0,在髋和大腿水平的神经损伤,1686.557619047619,147
