,basy_zyzd_jbbm_for_str_6,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-6-6-E,AGE-JCJY-6-6-E,AGE-YP-6-6-E,AGE-ZFY-6-6-E,记录条数-6-6
10166,C34.30,6,32.200,4,15794.647555555555,6112.1393333333335,2405.4655555555555,36871.54555555556,45
10167,C34.30,6,32.200,5,13855.89309859155,6489.887323943662,2559.5164788732395,36949.785211267605,71
10168,C34.30,6,32.200,6,15931.938548387097,6746.116129032258,2728.5249999999996,39027.9420967742,62
10169,C34.30,6,32.200,8,17150.35871794872,8023.964358974358,3514.8976923076925,42263.902564102566,39
10183,C34.30,6,32.300,3,19701.24272727273,6121.870606060606,3530.170909090909,45465.06636363636,33
10184,C34.30,6,32.300,4,18731.6456,6167.1004,2591.415,43540.9062,50
10185,C34.30,6,32.300,5,19608.9568503937,6904.895275590551,2809.843464566929,43116.58976377953,127
10186,C34.30,6,32.300,6,22035.174925373132,8412.489104477612,3312.2337313432836,47469.170000000006,67
10187,C34.30,6,32.300,8,21920.88775,8197.6805,3207.6395,47234.0325,40
10194,C34.30,6,32.410,4,19653.46,8290.249787234043,3296.4485106382976,46201.51531914894,47
10195,C34.30,6,32.410,5,21204.650430107526,8952.52069892473,3663.0398924731185,48686.530913978495,186
10196,C34.30,6,32.410,6,21257.52955882353,8520.84080882353,3532.7116911764706,48612.70404411765,136
10197,C34.30,6,32.410,8,22391.047714285716,9769.355857142858,4392.353,51645.25371428571,70
10216,C34.30,6,33.240,5,726.9546428571429,7558.136785714285,2288.2985714285714,13275.392857142857,28
10217,C34.30,6,33.240,6,874.3962499999999,6525.129166666667,2808.1825000000003,13778.97125,24
10218,C34.30,6,33.240,8,1162.1557692307692,7114.163461538462,2305.242307692308,14388.579615384615,26
10222,C34.30,6,33.260,5,1243.5342500000002,6984.638000000001,1671.5520000000001,12251.611,40
10223,C34.30,6,33.260,6,1364.7363529411764,8602.260470588235,2247.4315294117646,15545.235647058824,85
10224,C34.30,6,33.260,8,1265.6676136363637,6920.8010227272725,2064.1626136363634,12722.143068181818,88
10227,C34.30,6,33.270,5,1142.684347826087,10476.106086956523,2442.2334782608696,18196.750869565218,23
