,医院名称,平均OE值
1182,安岳县石羊镇中心卫生院,0.837386483
1945,成都中医药大学附属医院（四川省中医医院  成都中医药大学附属医院（四川省中医医院）互联网医院）,0.836643759
3846,阆中明康医院,0.836487605
4045,龙马潭区胡市中心卫生院(泸州市龙马潭区第三人民医院）,0.83607461
174,乐山市市中区妇幼保健计划生育服务中心,0.835136753
3391,资中县发轮镇卫生院,0.834915807
2152,成都新都西桥医院,0.834645312
2022,成都市新津区人民医院（成都市新津区急救指挥分中心）,0.834051732
385,仪陇县第二人民医院,0.834026472
3879,隆昌通康医院,0.832259014
1463,峨眉山佛光医院,0.831261522
169,乐山市市中区人民医院（乐山市第二人民医院）,0.831225718
2162,成都温江圣母妇产医院,0.830132411
1781,广汉市人民医院,0.829610174
2168,成都玛丽亚妇产儿童医院,0.829468042
975,四川省第四人民医院,0.829140166
187,乐山市市中区茅桥镇中心卫生院,0.829129024
1693,广元市利州区第二人民医院,0.827888617
3619,遂宁市安居区拦江镇中心卫生院,0.827470985
1339,宣汉县黄石乡卫生院,0.827308897
2910,米易县人民医院,0.826252958
1955,成都京东方医院,0.825193379
1729,广元市精神卫生中心,0.824699821
3860,阿坝藏族羌族自治州人民医院,0.82416673
1767,广安恒德医院,0.823892497
2231,成都高新海尔森医院,0.823835075
1676,广元宝轮二医院,0.823500427
502,内江市第二人民医院,0.823427552
1184,安岳县通贤镇中心卫生院,0.822078114
567,剑阁县开封镇中心卫生院,0.821726012
2596,渠县中医院,0.821241674
3858,阿坝州林业中心医院,0.821137784
1957,成都仁品耳鼻喉专科医院,0.819191996
3884,雅安市人民医院（雅安市人民医院互联网医院）,0.819151009
2968,绵阳市人民医院,0.818353515
1551,巴中市恩阳区文治社区卫生服务中心,0.817337627
2612,渠县宝城镇中心卫生院,0.816950034
295,什邡第二医院,0.81659446
1907,德阳第五医院（德阳第五医院互联网医院）,0.816530048
853,叙永民康医院,0.816016174
3163,苍溪康复医院,0.81537324
1497,崇州寿康老年病医院,0.815134364
