,basy_zyzd_jbbm_3,count,耗材费
723,723,86,482.68918604651157
724,724,140,399.1775714285714
725,725,141,609.4598581560283
726,726,92,512.4639130434782
727,727,174,401.9785057471264
728,728,99,785.1132323232324
729,729,65,852.2956923076923
730,730,155,609.9994193548388
731,731,548,621.6733759124088
732,732,509,665.3279371316306
733,733,46,2173.413695652174
734,734,99,720.5156565656566
735,735,197,798.3468527918781
736,736,918,588.3427777777778
737,737,60,1759.651
738,738,414,591.1054830917875
739,739,157,713.7807643312102
740,740,869,631.1074223245109
741,741,664,1169.9424548192771
742,742,790,942.0759746835444
743,743,397,1766.946095717884
744,744,758,850.7861741424803
745,745,394,717.1581218274112
746,746,219,635.8609589041096
747,747,277,2949.2037906137184
748,748,594,2761.4154545454544
749,749,434,1960.4736405529954
750,750,212,2038.0978301886792
751,751,966,1587.6172774327122
752,752,479,2803.726701461378
753,753,342,2379.1183918128654
754,754,659,1912.351153262519
755,755,1169,2687.3997091531223
756,756,623,2869.318988764045
757,757,1119,1734.004218051832
758,758,306,2308.098366013072
759,759,860,3492.2271395348835
760,760,842,3011.744536817102
761,761,1318,3422.28375569044
762,762,2850,7348.66650877193
763,763,4841,7386.014067341459
764,764,959,4428.932314911366
765,765,874,4026.9963501144166
766,766,1412,4926.023151558074
767,767,4857,7307.948575252212
768,768,4977,6689.991032750653
769,769,4768,7236.243611577181
770,770,1453,4465.0478940123885
771,771,1185,5373.297299578059
772,772,3146,7202.461567069295
773,773,6980,8268.277425501432
774,774,4232,6769.26084120983
775,775,2389,5270.633260778568
776,776,3217,7387.336381722102
777,777,1197,3570.662681704261
778,778,1787,5070.485551203134
779,779,2970,5261.447717171717
780,780,2507,6422.124654966095
781,781,1713,7558.874611792178
782,782,1990,4855.634929648241
783,783,3449,6792.278460423311
784,784,3081,7302.218192145408
785,785,2620,8064.2157022900765
786,786,4663,5164.383825863179
787,787,7451,5070.053166017984
788,788,2119,8808.181250589902
789,789,2828,5088.263352192362
790,790,7966,6062.45125910118
791,791,3203,9521.100821105214
792,792,5784,4227.701047717842
793,793,6623,4760.355814585535
794,794,4143,5490.293050929278
795,795,3484,7669.673714121699
796,796,6379,3827.83918168992
797,797,11472,4867.645499476987
798,798,2602,7135.001087624904
799,799,6418,5177.083200373949
800,800,4872,4765.557748357965
801,801,1386,1447.2646753246754
802,802,3711,2804.1216195095662
803,803,5953,3911.070181421132
804,804,2484,7288.340813204508
805,805,2039,2526.0758116723887
806,806,6397,4626.70796467094
807,807,4954,2694.24400484457
808,808,4896,4870.6312990196075
