,max_depth,num_leaves,learning_rate,MODEL_VAL_RMSE,MODEL_TRAIN_RMSE,MODEL_TRAIN_MAX,MODEL_VAL_MOE,MODEL_VAL_STD,MODEL_VAL_MAX,MODEL_TRAIN_MOE,MODEL_TRAIN_STD
16,7,32,0.1,1992.4559352848198,1982.1162524712493,125.4384664265254,0.9966289776141577,0.6880878762965241,180.72482685075104,0.9968060757446633,0.6762312512228849
17,7,32,0.1,1992.1296097507804,1981.7599343798997,3125.283760214302,0.9964311391971896,0.6925020758909056,180.94170047619255,0.9973898695462968,1.6881264315758395
18,7,32,0.2,1988.8584682709807,1969.2962373260425,112.81934765758231,0.9971569509174772,0.7598037049499856,175.0791455786602,0.9953469726220809,1.523499871697274
19,7,32,0.2,1988.591040580572,1968.8336087788487,352.3808712337614,0.9987376320229192,0.7273441128090792,172.52174220157497,0.9988438966701181,0.7633627890852948
20,7,32,0.4,1989.8357723461454,1956.1553218460608,5639.967105884832,1.0058639814357324,5.923510999054077,5965.932946681939,1.0018440967755586,3.475932079824396
21,7,32,0.4,1989.6391390274223,1956.8572664100973,127.81423055192865,1.0008927483765842,1.8881699974348438,178.59649384947474,0.9997980766032492,2.396442973988858
22,7,32,0.8,2000.481539954381,1950.1623785704496,2099.791159972669,0.8640577712224389,148.00799402024805,368.7090483235244,0.9010848820797286,142.32096649756457
23,7,32,0.8,1999.661324611069,1949.1647504781101,37516.34234907578,1.0117002303999647,2.054247949191133,853.2008338727557,1.0308007774661032,25.60614147294295
24,7,64,0.1,1988.8759695397268,1972.0485713120318,275.3612772230949,0.9968063273971058,0.6873621730194939,179.27793787236627,0.9967286093408338,0.6845596873955379
25,7,64,0.1,1988.6479014842196,1971.9177425363248,63.27863216816258,0.9935511513040687,1.0922836321409701,179.64903546752873,0.9945738932542356,0.669443603946816
26,7,64,0.2,1985.524288340195,1960.5803921874021,308.679289541757,0.9900063993077473,5.323063742150374,183.10832685865412,0.9948199100224954,2.616374978542068
27,7,64,0.2,1985.3366038157135,1960.172258203341,165.28188544812843,0.9974288747324677,0.7428009801905984,183.10093545591474,0.9973067265568928,0.6953620666540271
28,7,64,0.4,1990.5055056628794,1946.9793127885432,1957.8150669633678,1.0040853199988362,1.0145255985594963,373.0933314714124,1.00334208903866,1.6847907457961218
29,7,64,0.4,1989.641011948214,1945.9022723215871,655.376958058533,0.9993720613740792,2.1048658188065836,185.78114729463587,1.0016320585264387,0.8697511680306049
30,7,64,0.8,2007.3892032511862,1936.7888810920915,2771.0986103479295,0.997895257635412,6.701626691927956,726.580354079827,1.0015396775726486,6.102665676807177
31,7,64,0.8,2004.6869351178245,1937.2860058874162,6057.783071314144,1.0123826524933826,1.8179606713668204,1236.4301671122644,1.0075179892917572,3.7126657489466357
32,7,128,0.1,1987.9176981029673,1968.402215860902,63.61620925381104,0.9964286513475269,0.6836140376673877,185.1201981591599,0.9960262344183245,0.6576134700863094
