,basy_zyzd_jbbm_for_str_4,basy_yydj,age_group,AGE-HAOCAI-4-only_disease-E,AGE-JCJY-4-only_disease-E,AGE-YP-4-only_disease-E,AGE-ZFY-4-only_disease-E,记录条数-4-only_disease
718,B44.,6,6,1225.3519008264461,8292.499669421488,8983.950247933884,25700.895867768595,121
719,B44.,6,8,993.3872340425532,7162.411276595744,7906.147730496455,23129.383475177303,141
720,B44.,6,9,1138.8621739130435,8280.803913043477,9360.938152173914,26705.860760869564,92
761,B49.,5,5,978.1746153846154,2845.503076923077,2909.7069230769234,18226.85923076923,26
763,B49.,5,8,876.3067647058824,3672.122058823529,3901.65,15423.13882352941,34
769,B49.,6,4,2541.7570149253734,4739.800447761194,5515.41552238806,20502.31776119403,67
770,B49.,6,5,2062.6193548387096,6107.959838709678,6884.934516129032,24123.85241935484,124
771,B49.,6,6,1782.8842372881356,6518.561016949152,5980.767203389831,22588.255169491524,118
772,B49.,6,8,1384.3394736842106,7818.585263157895,9259.112763157895,27008.387236842103,152
773,B49.,6,9,1627.0089320388352,9974.130873786407,8914.737378640777,31808.514660194178,103
801,B67.,6,3,18284.966399999998,9853.68,14812.174,66655.8848,25
802,B67.,6,4,10441.312352941177,7114.659411764706,7546.094411764706,38331.92764705882,34
803,B67.,6,5,10498.779130434783,6551.772173913044,6673.043913043479,34438.883043478265,23
873,C02.,6,5,6442.888214285714,6325.228928571429,3909.5814285714287,30453.483214285716,28
905,C06.,6,8,10523.216818181818,7091.817272727273,3041.1163636363635,36805.69909090909,22
964,C11.,6,4,1242.4206666666666,6261.236666666667,3925.333,14852.988000000001,30
965,C11.,6,5,1613.7010344827586,6746.597931034483,3081.021206896552,14955.812413793103,58
966,C11.,6,6,2114.9733333333334,7665.451111111111,5064.952592592593,21396.8862962963,27
1010,C15.,3,8,2847.158695652174,3504.614782608696,3720.506086956522,15107.71956521739,23
1018,C15.,5,5,9759.35,6527.40724137931,5398.766206896552,30861.42724137931,29
1019,C15.,5,6,7050.404941176471,5576.785294117647,4864.183294117647,26228.307764705885,85
1020,C15.,5,8,5027.688349514563,4503.0702912621355,3056.7174757281555,18281.69077669903,103
1021,C15.,5,9,2894.3426086956524,5332.528260869565,3298.0965217391304,19987.32173913043,23
1023,C15.,6,4,12575.167826086956,8364.544347826086,8160.960869565218,42570.07608695652,23
1024,C15.,6,5,11625.512131782945,7543.671666666667,6650.058217054264,37935.42744186046,258
1025,C15.,6,6,11454.550388888889,7469.360361111111,6633.9636666666665,36794.660833333335,360
1026,C15.,6,8,10274.567636887608,7915.320778097983,7082.009481268012,36642.885072046105,347
1027,C15.,6,9,5756.368695652174,5612.230724637681,4405.046086956521,22206.11347826087,69
1043,C16.,3,8,5194.927666666667,5151.679,4706.670666666667,22661.862,30
1048,C16.,4,5,1454.8639583333334,4324.5512499999995,6475.569583333334,19653.305208333335,48
1049,C16.,4,6,2178.322631578947,4220.925789473684,5993.6889473684205,18840.59105263158,38
1050,C16.,4,8,3760.6814285714286,4838.037142857143,5175.981071428571,21245.49857142857,28
1056,C16.,5,5,7091.247222222222,6034.243055555556,4867.568611111111,26525.698055555556,36
1057,C16.,5,6,6915.762615384616,5521.002,3840.955692307692,22991.08630769231,65
1058,C16.,5,8,7945.67367816092,6132.567816091954,4813.20275862069,27511.83620689655,87
1059,C16.,5,9,3749.5967647058824,5642.042647058824,3548.7767647058827,18925.615882352944,34
1061,C16.,6,3,15350.675161290323,8344.444516129031,6994.972258064517,41880.03709677419,31
1062,C16.,6,4,14161.872183908044,8298.736436781608,6046.597126436781,42421.41701149425,87
1063,C16.,6,5,14147.643535911602,8738.494337016575,6805.518287292818,43098.72494475138,362
1064,C16.,6,6,12470.543954545454,8769.269522727272,6805.52175,40792.07718181818,440
1065,C16.,6,8,9874.842377450981,8395.445857843137,6446.164019607843,35496.58931372549,408
1066,C16.,6,9,7238.363295454546,7702.11875,6928.036136363637,31694.69136363636,88
1087,C17.,6,5,6879.39794117647,6914.577941176471,5856.896176470588,30707.144411764708,34
1088,C17.,6,6,11722.723333333335,11000.23259259259,8358.74074074074,43993.34666666667,27
1089,C17.,6,8,9690.728,9795.840400000001,6945.003199999999,40263.387200000005,25
1102,C18.,3,8,4137.487857142857,5769.131428571428,6185.562857142858,24467.746071428573,28
1108,C18.,4,5,1952.1365853658538,4917.922439024391,5800.841951219512,23850.353658536584,41
1109,C18.,4,6,2355.5753999999997,5082.9076000000005,5898.5498,23478.1128,50
1110,C18.,4,8,4648.487826086956,6914.236739130435,9786.185,34639.68695652174,46
1111,C18.,4,9,3003.39652173913,9086.246956521738,8866.818260869566,36719.11608695652,23
1115,C18.,5,5,8304.528863636364,6828.882045454546,4140.0993181818185,29008.021363636362,44
1116,C18.,5,6,8353.51455882353,7214.276764705883,4975.8261764705885,30511.005294117647,68
1117,C18.,5,8,7442.530275229358,6959.522935779816,4476.0132110091745,28546.65963302752,109
1118,C18.,5,9,7513.241499999999,8149.74475,6760.3455,33513.184499999996,40
1121,C18.,6,3,8344.506774193547,5453.714193548388,4391.557096774193,26054.10193548387,31
1122,C18.,6,4,10825.563148148149,6926.2155555555555,5955.64537037037,35005.5637037037,108
1123,C18.,6,5,9822.332165605096,7754.649585987262,5703.188280254777,35115.6325477707,314
1124,C18.,6,6,10090.56356545961,8390.90704735376,6352.499526462396,37355.89646239554,359
1125,C18.,6,8,10863.38870879121,9235.810302197802,6890.0459065934065,40540.76980769231,364
1126,C18.,6,9,9493.176453900709,10462.528014184396,8329.711418439716,43937.19680851064,141
1148,C19.,6,8,6014.515238095238,7928.969523809523,9779.307142857142,41521.03619047619,21
1163,C20.,3,5,4462.093181818182,4180.190909090909,3984.010454545454,20380.129545454543,22
1164,C20.,3,6,4981.769090909091,4805.948636363636,4593.589545454545,22755.760000000002,22
1165,C20.,3,8,5281.7552173913045,5011.329565217391,4184.169130434782,21870.785652173912,23
1170,C20.,4,5,1779.295303030303,4292.050303030303,5728.4610606060605,20009.117121212123,66
1171,C20.,4,6,2396.586129032258,4961.311129032258,5274.066451612903,22425.43887096774,62
1172,C20.,4,8,3062.8398529411766,5228.237205882353,5784.63044117647,23077.737352941178,68
1176,C20.,5,5,7595.640800000001,5965.2552000000005,3332.8804,25950.732999999997,50
1177,C20.,5,6,6874.702894736842,6379.559868421053,4160.355131578947,26092.06236842105,76
1178,C20.,5,8,7340.417325581396,6626.278255813954,3816.665,27288.781511627905,86
1179,C20.,5,9,5586.54,6293.1016666666665,3668.395,23403.242000000002,30
1182,C20.,6,3,7901.563529411764,6328.684411764705,3529.5082352941176,27221.83323529412,34
1183,C20.,6,4,9895.751403508772,6988.626140350877,5471.236315789473,33622.677894736844,114
1184,C20.,6,5,9902.518687664042,7561.332204724409,5387.913228346457,34971.69,381
1185,C20.,6,6,9598.407131578948,7738.183684210526,5242.313026315789,34970.975868421054,380
1186,C20.,6,8,11164.290046948356,8699.854976525821,6251.568122065728,39287.774882629106,426
1187,C20.,6,9,9226.089837398375,9177.374715447155,5890.916178861789,37296.43569105691,123
1203,C22.,1,4,9924.171363636364,1921.0136363636366,5990.445000000001,22834.421363636364,22
1222,C22.,4,5,2609.4194444444443,4362.663888888888,5084.354722222222,17428.881388888887,36
1223,C22.,4,6,1401.375,4295.644545454546,5972.317272727273,19595.253636363635,22
1228,C22.,5,4,2401.61,4010.790909090909,5698.503636363636,18566.385454545452,22
1229,C22.,5,5,3576.603125,4773.13953125,4881.34265625,19373.2671875,64
1230,C22.,5,6,4017.2259999999997,4338.8452727272725,3116.7736363636363,17150.446545454546,55
1231,C22.,5,8,4592.413043478261,5419.361739130435,3319.5893478260873,19855.631739130436,46
1236,C22.,6,3,8241.130303030302,5511.397575757575,6527.4037878787885,38414.83833333333,66
1237,C22.,6,4,7968.979082125604,5930.472028985507,6361.159033816425,36099.48492753623,207
1238,C22.,6,5,8108.661509433962,5857.766006289308,6243.1518081761005,31394.8948427673,636
1239,C22.,6,6,6772.11092920354,5849.265575221239,5567.221814159293,28463.43650442478,452
1240,C22.,6,8,6492.208520710059,6281.280443786983,5881.639852071006,28532.492514792903,338
1241,C22.,6,9,6521.471571428571,5796.301571428571,6565.723142857143,26701.418714285715,70
1261,C23.,6,5,6189.251333333334,6085.080333333333,6197.995333333333,30890.025333333335,30
1262,C23.,6,6,7838.191481481481,7326.265925925925,7603.36925925926,35136.11592592593,27
1263,C23.,6,8,4681.0072413793105,7471.944137931035,6994.856551724138,30893.971724137933,29
1286,C24.,6,5,12624.154117647058,11163.836323529411,10991.062205882352,53487.907647058826,68
1287,C24.,6,6,12856.598021978021,9018.008131868131,9687.481318681319,47139.8456043956,91
1288,C24.,6,8,10889.639772727272,9239.546136363637,10402.86,46639.70090909091,88
1289,C24.,6,9,6149.448333333334,6633.168333333334,4191.480833333334,24721.337499999998,24
1307,C25.,4,6,1962.828695652174,4331.55,11625.225217391304,24338.611739130432,23
1314,C25.,5,8,2089.772,4840.846,4072.4051999999997,16289.715599999998,25
1319,C25.,6,4,11802.088055555556,7947.924722222222,10799.759444444446,48249.46472222222,36
1320,C25.,6,5,8401.448263473054,7843.473592814372,7965.985389221557,38642.51508982036,167
1321,C25.,6,6,9605.209430379748,9085.994620253165,9938.041265822785,45396.097025316456,158
1322,C25.,6,8,6441.002894736842,7800.903508771929,8294.220175438597,35159.73973684211,114
1323,C25.,6,9,6941.700303030302,9908.221818181819,9617.885757575757,39596.81363636364,33
1376,C32.,6,5,3393.3694444444445,6888.576296296296,4612.010370370371,29985.43240740741,54
1377,C32.,6,6,2842.2655,5823.938166666666,4127.022833333333,25034.91933333333,60
