,医院名称,检查检验费均值
1219,宜宾市中医医院,2004.976636
1947,成都中山骨科医院,2004.838542
923,四川友好医院,2000.161458
948,四川泌尿外科医院,1990.412903
3488,达州南方医院,1979.270335
1937,成都东部新区第二人民医院,1978.070047
1980,成都城东康复医院,1974.23343
2184,成都西南脑科医院,1967.023256
85,中国十九冶集团有限公司职工医院,1963.341408
2971,绵阳市安州区人民医院,1954.905802
3676,邻水县中医医院,1941.840536
616,华蓥市人民医院,1940.102961
1959,成都保髋股骨头骨科医院（成都保髋股骨头骨科医院互联网医院）,1937.387809
185,乐山市市中区肿瘤医院（乐山市市中区第二人民医院）,1935.228448
545,凉山彝族自治州中西医结合医院,1934.889608
2494,汶川县人民医院,1934.636293
1531,巴中市中心医院(巴中市人民医院),1932.307925
3744,金堂县第二人民医院,1926.891176
1256,宜宾市第三人民医院,1926.565314
3184,荣县新城医院,1918.786579
75,三台县西平镇中心卫生院,1913.587065
962,四川省地矿局四0五医院,1910.048256
3427,资阳市雁江区人民医院,1908.925948
820,南部骨科医院,1906.614242
825,叙永县人民医院,1904.591049
3743,金堂县第三人民医院,1897.399001
1781,广汉市人民医院,1894.499211
1998,成都市双流区中医医院,1893.594671
2813,眉山市彭山区人民医院,1890.298177
2966,绵阳市中医医院,1887.332537
2463,江油市第二人民医院,1887.205055
2720,电子科技大学医院（清水河校区）,1880.089404
3105,自贡高新肿瘤医院,1875.93501
2022,成都市新津区人民医院（成都市新津区急救指挥分中心）,1873.692185
2189,成都金沙医院（成都妇女儿童医院）,1873.435802
467,内江市东兴区人民医院,1871.418192
2047,成都市新都区石板滩街道社区卫生服务中心,1871.203991
3902,雅安市雨城区人民医院.雅安市第二人民医院,1866.859693
3301,蓬溪县人民医院,1862.783081
1949,成都中科甲状腺医院,1856.111494
300,仁寿县人民医院,1855.716724
2968,绵阳市人民医院,1844.879564
2253,攀枝花市第二人民医院,1844.532569
3131,苍溪县人民医院,1841.639601
3716,都江堰市第二人民医院,1841.609137
859,古蔺县人民医院,1839.218478
1516,崇州恒德医院,1837.385321
2810,眉山市人民医院（眉山市传染病医院）,1835.787573
727,南江县人民医院,1834.787984
1892,德阳市第二人民医院,1833.886416
1918,成都东区医院,1830.12724
2048,成都市新都区第三人民医院,1828.242832
1765,广安市广安区花桥中心卫生院,1827.037097
1795,广汉骨科医院,1826.940363
2197,成都锦欣中医医院,1825.843655
2906,简阳空分医院,1824.678241
953,四川省中西医结合医院（四川省中医药科学院附属医院）,1818.984211
3492,达州市中西医结合医院,1818.263272
44,三台县中医院,1818.107782
1802,开江县人民医院,1810.671456
1544,巴中市恩阳区人民医院,1806.082117
2196,成都锦力骨科医院,1805.022654
3812,阆中市中医医院,1797.503407
943,四川奥斯迪康骨医院,1796.044628
1822,彭州同一医院,1792.745142
3649,邛崃东华医院,1792.291457
3695,邻水县第二人民医院,1791.16448
646,南充市中医医院,1787.897487
2051,成都市武侯区第三人民医院,1781.179283
3175,荣县中医医院（荣县第二人民医院、荣县老年病医院）,1779.595416
547,凉山彝族自治州第七人民医院,1778.760274
3703,都江堰宏惠医院,1778.555887
1464,峨眉山市中医医院峨眉山市骨科医院,1768.598942
1520,崇州蜀州颈腰病医院,1767.98503
485,内江市中医医院,1764.828668
3127,苍溪县中医医院,1758.43274
2402,汉源县人民医院,1756.210944
2809,眉山市中医医院（眉山市东坡区人民医院）,1753.159791
1084,夹江县人民医院,1752.958676
1953,成都五块石医院,1752.716
1564,巴中骨科医院,1749.741698
2719,电子科技大学医院,1743.303571
955,四川省交通医院,1740.921699
1183,安岳县第三人民医院,1729.20871
3863,隆昌市人民医院,1725.115407
2939,绵竹仁爱医院,1724.033497
2910,米易县人民医院,1722.533925
2262,新津仁爱医院,1721.917513
1728,广元市第二人民医院,1720.437584
2198,成都锦欣妇产科医院,1718.571429
1429,岳池县中医医院,1706.266968
174,乐山市市中区妇幼保健计划生育服务中心,1705.700279
2615,渠县康宁中西医结合医院,1701.539272
3815,阆中市人民医院,1701.380554
1699,广元市昭化区人民医院,1700.737701
979,四川结石病医院,1699.194558
1967,成都冬雷脑科医院,1698.725217
3566,通江县人民医院,1694.643041
1298,宣汉县人民医院,1694.442354
973,四川省第二退役军人医院,1694.378049
1992,成都宝石花医院,1690.418333
1740,广安市中医医院,1688.985327
1873,德阳市中西医结合医院,1684.112648
1376,射洪市中医院,1674.993427
421,会理市人民医院,1671.281448
1037,大英县人民医院,1669.586432
1601,平昌县中医医院,1668.00367
2147,成都新世纪妇女儿童医院（成都新世纪妇女儿童医院互联网医院）,1666.109589
971,四川省第一退役军人医院,1661.027019
952,四川电力医院,1659.361033
1524,川投西昌医院,1654.393029
1096,威远县人民医院,1653.154399
889,合江县中医医院,1652.604506
3731,金堂县中医医院,1648.407865
3212,营山县人民医院,1647.888915
1245,宜宾市叙州区精神病医院,1646.586364
1034,大竹慈卫医院,1646.494966
2565,泸州王氏骨科医院,1642.096475
3727,都江堰鹏程疼痛医院,1639.961613
1894,德阳市精神卫生中心（德阳市安康医院，德阳市第七人民医院）,1635.082353
1048,大英康成精神病专科医院,1627.833333
1956,成都亲睦家爱立康老年病医院,1621.942857
1742,广安市前锋区人民医院,1616.516404
84,中国人民解放军第五七O一工厂医院,1615.034921
2261,攀钢集团成都钢铁有限责任公司青白江医院,1614.034145
2551,泸州市妇幼保健院(泸州市第二人民医院）,1612.5685
2349,梓潼县人民医院,1611.562887
1118,宁南县人民医院,1611.436104
1459,岳池爱康精神病专科医院,1606.164344
966,四川省武胜县中医医院,1605.677168
1328,宣汉县第二人民医院,1596.679194
291,什邡市第四人民医院,1596.456066
2207,成都阴氏骨科医院,1594.62069
1072,天全县人民医院,1589.715025
1259,宜宾市第五人民医院、宜宾市南溪区人民医院,1589.07576
2848,石渠县人民医院,1588.586081
1957,成都仁品耳鼻喉专科医院,1583.844444
155,乐山市五通桥区人民医院,1583.431562
2541,泸县第二人民医院,1583.414282
3211,营山县中医医院,1578.052532
2446,江油市传染病医院（江油市老年病医院）,1575.219588
1260,宜宾市第六人民医院,1562.397179
1346,富顺县中医医院,1559.305175
1463,峨眉山佛光医院,1559.27058
2753,盐源县人民医院,1553.729221
1823,彭州四方医院,1552.074106
2787,眉山东坡骨科医院,1549.665391
3330,西充县人民医院,1547.53314
295,什邡第二医院,1546.751106
3483,达州元达联合医院,1546.507477
3064,自贡市大安区妇幼保健院（大安区红十字博爱妇幼保健院）,1544.088889
2674,珙县人民医院,1541.964886
1961,成都八一骨科医院,1541.912563
963,四川省妇幼保健院,1541.750574
1966,成都军研糖尿病医院,1534.342857
1095,威远县中医医院,1532.049002
1912,志辉医院,1531.826382
3386,资中县中医医院,1530.713711
1893,德阳市第六人民医院(东汽医院）,1529.660277
2553,泸州市精神病医院,1528.445455
694,南充市高坪区中医医院,1523.878955
2555,泸州市纳溪区人民医院,1520.875685
1419,屏山县人民医院,1513.798025
2115,成都市青羊区新华少城社区卫生服务中心,1511.86
258,井研县人民医院,1509.364213
3565,通江县中医医院,1509.270206
1372,富顺西区老年病医院,1506.802111
3059,自贡市大安区人民医院（自贡市肿瘤医院）,1503.513672
3268,蒲江通康中西医结合医院,1503.084694
1220,宜宾市中西医结合医院,1492.664961
771,南部县中医医院,1491.995512
2994,绵阳市游仙区中医医院,1487.480265
2097,成都市锦江区妇幼保健院,1486.962917
2862,筠连县人民医院,1486.027907
3858,阿坝州林业中心医院,1485.173529
1067,大邑志昌骨科医院,1479.616346
1952,成都二零四医院,1478.55991
2236,成都龙泉驿锦欣老年病医院,1478.266667
3632,遂宁市第三人民医院,1477.642907
2091,成都市金牛区妇幼保健院（成都市金牛区妇幼保健院互联网医院）,1475.563213
1909,德阳肿瘤医院,1475.019055
2163,成都满地可医院（四川国济甲亢病医院）,1468.114583
168,乐山市市中区中医医院,1467.176374
2225,成都高新博力医院,1466.761104
2442,江油市中医医院,1464.148079
2342,木里藏族自治县人民医院,1463.843562
2596,渠县中医院,1462.175993
2942,绵竹市中医医院,1460.39171
974,四川省第五人民医院,1457.257521
385,仪陇县第二人民医院,1455.868552
558,剑阁县中医医院,1454.017798
3728,酒城全科中医医院,1452.444583
1878,德阳市旌阳区中医院（旌阳区人民医院）,1452.117088
1636,平昌县第二人民医院,1450.200572
1678,广元市中医医院,1448.303721
2177,成都肛肠专科医院,1444.960583
3025,绵阳高新区医院,1441.026646
968,四川省生殖健康研究中心附属生殖专科医院（四川省生殖健康研究中心附属生殖专科医院互宜达互联网医院）,1440.698364
1355,富顺县晨光医院（富顺县第三人民医院）,1440.181437
1826,彭州市中西医结合医院,1435.641304
2234,成都高新锦欣老年病医院,1435.486076
2050,成都市武侯区人民医院,1435.310479
2058,成都市温江区妇幼保健院（成都市温江区妇幼保健计划生育服务中心）,1431.564011
1327,宣汉县第三人民医院,1428.803125
882,古蔺康兴妇产医院,1427.046667
3650,邛崃任氏骨科医院,1424.454876
3496,达州市达川区中医医院,1416.476604
3272,蓬安县中医医院,1415.977482
1818,开江复康医院有限公司,1413.853175
2637,渠县第二人民医院,1408.435294
3067,自贡市沿滩区人民医院,1403.486936
2807,眉山市东坡区血吸虫病防治站,1400.404762
2965,绵阳富临医院,1397.796292
3165,苍溪瑞祥医院,1393.021622
2140,成都成华南光医院,1389.643478
2399,汉源县中医医院,1387.923781
3262,蒲江县第二人民医院（蒲江县寿安公立中心卫生院）,1383.396362
1819,开江康仁骨科医院,1382.93806
916,喜德县人民医院,1382.87542
4003,高县中医医院,1381.754446
888,合江健欣兴康医院,1379.545546
1342,宣汉同盛医院,1372.361607
2165,成都爱迪眼科医院,1371.350084
959,四川省南充卫生学校附属医院,1367.303226
1157,安岳县妇幼保健计划生育服务中心,1367.273989
765,南部仁爱胃肠医院,1366.840741
725,南江县中医医院,1366.672968
1065,大邑希尔医院,1366.357171
1584,巴州华龙医院,1365.059398
2567,泸州福欣医院,1364.983033
1670,广元九龙骨科医院,1361.473684
3486,达州华康医院,1361.411963
2673,珙县中医医院,1356.498683
1756,广安市广安区妇幼保健计划生育服务中心,1355.848485
2160,成都武侯西南医院,1355.831897
678,南充市顺庆区人民医院,1355.005137
2103,成都市青白江区妇幼保健院,1354.515432
3911,雅安德仁医院,1352.186916
2168,成都玛丽亚妇产儿童医院,1352.134531
1934,成都东部新区石板中心卫生院,1351.993827
3604,遂宁嘉慧妇产医院,1350.094937
2086,成都市郫都区骨科医院,1346.293519
824,叙永县中医医院,1345.401813
592,北城医院,1342.293893
2144,成都成华时友东区医院,1341.798658
819,南部良骨医院,1339.424609
985,四川锦欣西囡妇女儿童医院,1339.289985
1717,广元市朝天区人民医院,1337.322946
1968,成都北新医院,1336.671132
954,四川省乐至县中医医院,1335.971267
2979,绵阳市安州区第二人民医院,1334.3
2723,百草堂骨科医院,1332.974684
852,叙永安民医院,1332.375266
2934,纳溪区护国中心卫生院（泸州市纳溪区第二人民医院）,1328.657659
2635,渠县福善中医医院,1327.429032
1560,巴中市精神卫生中心（巴中市巴州区第二人民医院）,1325.056866
352,仪陇县中医医院,1321.400696
257,井研县中医医院,1320.934978
1565,巴中鸿福妇产科医院,1318.384173
1171,安岳县李家镇中心卫生院,1314.262927
3669,邛崃市第二人民医院（成都市第三人民医院邛崃医院）,1313.133978
2995,绵阳市游仙区人民医院,1311.557582
