,basy_caption,OE
240,北川羌族自治县妇幼保健计划生育服务中心,0.34215654085077335
241,北川羌族自治县小坝镇中心卫生院,0.1618906572945568
242,北川羌族自治县擂鼓镇中心卫生院,0.3713155105744047
243,北川羌族自治县桂溪镇卫生院,0.3484757003487196
244,北川羌族自治县永安镇中心卫生院,0.137952202681502
245,北川羌族自治县片口乡卫生院,0.3388599910119357
246,北川羌族自治县禹里镇中心卫生院,0.2390474720612299
247,北川羌族自治县第三人民医院,0.6397968711486021
248,北川羌族自治县陈家坝镇中心卫生院,0.08159980810051538
249,华康肾病医院,0.34004504152017284
250,华蓥市人民医院,0.5923873449191179
251,华蓥市高兴镇中心卫生院,0.14301338217341933
252,南充东大肛肠医院,1.1927534016790005
253,南充东方医院,0.7714695635606923
254,南充东江医院,0.26135825423134235
255,南充临江医院,0.5418127165484963
256,南充佑安医院,0.4609260497786977
257,南充博视眼耳鼻喉专科医院,0.9158363959157472
258,南充友谊医院,0.130824417064157
259,南充同星医院,0.4942979884276927
260,南充地调处医院,0.3722483997456684
261,南充姜氏医院,0.6409559248906025
262,南充市中医医院,0.8582604006795702
263,南充市中心医院,1.2561890497641282
264,南充市嘉陵区中医医院,0.2586009602381721
265,南充市嘉陵区人民医院,0.7845808233522684
266,南充市嘉陵区妇幼保健计划生育服务中心,0.6426207638227507
267,南充市嘉陵区李渡镇中心卫生院（南充市嘉陵区第二人民医院）,0.22595494602967062
268,南充市嘉陵区金凤镇中心卫生院,0.6246300382872115
269,南充市妇幼保健计划生育服务中心（南充市妇幼保健院）,0.37945573186982257
270,南充市第四人民医院,0.5331386286868448
271,南充市身心医院,0.7123438392096691
272,南充市顺庆区人民医院,0.4704078636668301
273,南充市顺庆区北城社区卫生服务中心,0.36271102283454154
274,南充市顺庆区妇幼保健计划生育服务中心(南充市顺庆区妇幼保健院),0.24746128842509224
275,南充市顺庆区李家镇中心卫生院,0.2289699638986066
276,南充市顺庆区潆溪街道社区卫生服务中心,1.08951238251384
277,南充市高坪区中医医院,0.5262118105748886
278,南充市高坪区人民医院,0.8493856194012517
279,南充市高坪区妇幼保健计划生育服务中心（南充市高坪区妇幼保健院）,0.3171729001416288
280,南充市高坪区第三人民医院(南充市高坪区东观中心卫生院),0.3784666879494234
281,南充市高坪区长乐中心卫生院（高坪区人民医院长乐分院）,0.2565192180463361
282,南充市高坪区龙门社区卫生服务中心,0.11753235041609751
283,南充康健医院,1.0693622169955617
284,南充康顺医院,0.7568458905140558
285,南充明镜新视眼科医院,0.7722909112970078
286,南充果城骨科医院,0.340983113643562
287,南充永康医院,0.4905032495404176
288,南充海圣堂医院,0.16499773122568362
289,南充爱尔麦格眼科医院,0.7754171383828082
290,南充现代妇产医院,0.24177006311426177
291,南充百姓医院,0.16328714713257342
292,南充罾康医院,0.18951439712207313
293,南充龙医官医院,0.5880905121633254
294,南充龙门中医院,0.11979231703434719
295,南江云山骨科医院,1.0775431533200919
296,南江县下两镇中心卫生院,0.15893159524873113
297,南江县中医医院,0.5502656082277435
298,南江县人民医院,0.6926428313789745
299,南江县大河镇中心卫生院,0.5665471835944212
300,南江县妇幼保健院,0.2812413024459385
301,南江县正直镇中心卫生院,0.2924193818697054
302,南江县沙河镇中心卫生院,0.1905014864861824
303,南江县红光镇卫生院,0.1749887897366837
304,南江县长赤镇中心卫生院,0.45256915926426167
305,南江镇阳医院,0.2346313301282661
306,南部中仁医院,0.567504993220334
307,南部仁爱胃肠医院,0.1272239782832204
308,南部县东风社区卫生服务中心,0.3846202532911506
309,南部县中医医院,0.7579487970799164
310,南部县人民医院,0.7390727343784712
311,南部县伏虎中心卫生院,0.2916681365339586
312,南部县妇幼保健计划生育服务中心（南部县妇幼保健院、南部县妇女儿童医院）,0.3830380631885276
313,南部县建兴中心卫生院（南部县第三人民医院）,0.27500694169122386
314,南部县河东中心卫生院,0.5403344269208353
315,南部嘉伦医院,0.4184434255574828
316,南部瑞康医院,0.47274990036041564
317,南部精诚眼科医院,1.3877495701232492
318,南部良骨医院,0.8938392943059434
319,南部骨科医院,0.9132698833618746
320,叙永县两河中心卫生院,0.7874368709934135
321,叙永县中医医院,0.49955035841563056
322,叙永县人民医院,0.4459292286367372
323,叙永县叙永镇中心卫生院,0.7327503368418309
324,叙永县向林镇卫生院,0.44933380199819534
325,叙永县妇幼保健计划生育服务中心（叙永县妇幼保健院）,0.38614663213515293
326,叙永县摩尼中心卫生院,1.9477296975636467
327,叙永县水尾中心卫生院,0.4245066076287193
328,叙永县江门镇卫生院,0.3804914950405489
329,叙永县马岭中心卫生院,0.7527906170902521
330,叙永县黄坭镇卫生院,0.7459864539638341
331,叙永安民医院,0.8010099562971906
332,叙永民康医院,1.1161130035095184
333,古蔺县中医医院,0.6963227902452657
334,古蔺县人民医院,0.6643197265807602
335,古蔺县双沙中心卫生院,0.5699090606328427
336,古蔺县妇幼保健计划生育服务中心（古蔺县妇幼保健院）,0.2690533384626259
337,古蔺县石宝中心卫生院,0.12615440588493443
338,古蔺县茅溪中心卫生院,0.7578546680363645
339,古蔺县金兰街道社区卫生服务中心,0.29967093345081863
340,古蔺县龙山中心卫生院,0.3846695119856689
341,古蔺康兴妇产医院,0.789388189258018
342,古蔺德康医院,0.9688736569544665
343,古蔺树强骨科医院,1.789389318109294
344,合江健欣兴康医院,0.7491369279174008
345,合江县中医医院,0.9298865007607405
346,合江县九支中心卫生院(合江县第二人民医院),1.280565397960717
347,合江县人民医院,0.8565534377339507
348,合江县大桥中心卫生院（合江县第四人民医院）,0.3976143723280154
349,合江县妇幼保健院,0.232289778280393
350,合江县符阳街道社区卫生服务中心(合江县符阳街道卫生院),0.3152410640482734
351,合江康城肾病专科医院,0.3681493448199919
352,合江张氏骨科医院,0.05397184997549984
353,喜德县人民医院,0.5242466656202845
354,四川何氏骨科医院,0.7416292968845248
355,四川华美紫馨医学美容医院,2.6024032867233906
356,四川华蓥山广能（集团）有限责任公司总医院,0.12784623246078936
357,四川友好医院,0.1416189628962429
358,四川友谊医院,0.8851619731753514
359,四川地质医院,0.307956561087979
360,四川大学华西医院,1.0832124142908686
361,四川大学华西口腔医院,2.558821874012337
362,四川大学华西天府医院,0.20738846440656644
363,四川大学华西第二医院,1.2570000433108472
364,四川大学华西第四医院,1.1378864362538268
365,四川天府新区万安社区卫生服务中心,0.23627884939887273
366,四川天府新区人民医院,0.7649893377481813
367,四川天府新区太平中心卫生院,0.27441752312398876
368,四川天府新区新兴卫生院,0.20458266014042942
369,四川天府新区永兴卫生院,0.18799236777215766
370,四川天府新区籍田中心卫生院,0.7023232582324955
371,四川奥斯迪康骨医院,0.938866529668121
372,四川宝石花医院,1.049594701049823
373,四川巴中经济开发区人民医院（四川巴中经济开发区兴文中心卫生院）,0.47613329344683936
374,四川护理职业学院附属医院（四川省第三人民医院）,0.680385142207933
375,四川泌尿外科医院,0.8134863443629852
376,四川泰康医院,0.9566904206112994
377,四川现代医院,1.017707442402822
378,四川电力医院,0.578464557312024
379,四川省中西医结合医院（四川省中医药科学院附属医院）,0.5627861131422847
380,四川省乐至县中医医院,0.7807779097744655
381,四川省交通医院,0.5521454118056593
382,四川省儿童医院（四川省儿童医学中心）,0.32543060924143125
383,四川省八一康复中心（四川省康复医院）,1.9291595760889757
384,四川省医学科学院·四川省人民医院,1.9384651069465626
385,四川省南充卫生学校附属医院,0.24822750015591008
386,四川省南充精神卫生中心,0.5768294722347275
387,四川省司法警官总医院,0.5129847106990362
388,四川省地矿局四0五医院,0.6369295654628758
389,四川省妇幼保健院,0.5895882014785487
390,四川省建筑医院,1.1110605660509816
391,四川省林业中心医院,0.6899672972266305
392,四川省武胜县中医医院,0.8592982059107399
393,四川省民政康复医院,0.4821303003018578
394,四川省生殖健康研究中心附属生殖专科医院（四川省生殖健康研究中心附属生殖专科医院互宜达互联网医院）,0.31366651114232835
395,四川省监狱管理局中心医院,0.6201267333167402
396,四川省科学城医院,0.788851694201388
397,四川省第一退役军人医院,0.6045200745810957
398,四川省第二中医医院,0.8479313108852029
399,四川省第二退役军人医院,0.1448997267963496
400,四川省第五人民医院,1.111608020180915
401,四川省第四人民医院,1.2094028432095494
402,四川省肿瘤医院,1.6005361689682724
403,四川省骨科医院,1.2118013661972722
404,四川眼科医院,1.0025574369640238
405,四川结石病医院,1.1713349368370403
406,四川绵阳四0四医院,0.8503074862267287
407,四川肛肠医院,2.879108845791215
408,四川蓝生脑科医院,1.1755042419368915
409,四川西婵泛亚整形美容医院,4.357973825476603
410,四川赫尔森康复医院,0.9582594799802847
411,四川锦欣西囡妇女儿童医院,0.8768268375359595
412,壤塘县人民医院,0.8232537924499881
413,大安区何市中心卫生院,0.2572157331851297
414,大安区牛佛中心卫生院,0.34275291192602314
415,大安区老年病医院,0.3032777535715073
416,大竹仁爱医院,0.38234826549062373
417,大竹众幸医院,1.8454784007462335
418,大竹县东柳街道社区卫生服务中心,0.2613003601869003
419,大竹县中医院,0.6284677044713504
420,大竹县人民医院,0.7116895291112264
421,大竹县八渡乡卫生院,0.11348756494650035
422,大竹县四合镇卫生院,0.4433846394489348
423,大竹县妇幼保健计划生育服务中心,0.2910171462331747
424,大竹县安吉乡卫生院,0.2839381743542319
425,大竹县川主乡卫生院,0.15205946149922378
426,大竹县文星中心卫生院,0.2576709634153782
427,大竹县杨家中心卫生院,0.18493731917256326
428,大竹县清水中心卫生院,0.46695689539981805
429,大竹县清河中心卫生院,0.27937581633361275
430,大竹县石子中心卫生院,0.6028963618644805
431,大竹县童家镇卫生院,0.2905800311154086
432,大竹县第三人民医院,0.274056381251616
433,大竹县第二人民医院,0.4298590960525906
434,大竹县第四人民医院,0.6495231055552521
435,大竹县观音中心卫生院,0.25652244485040143
