,basy_zyzd_jbbm_3,basy_ssjczbm1_3,count,耗材费
342,12,59,22,2709.8545454545456
343,12,60,2,1046.135
344,12,61,2,1318.54
345,12,62,32,1152.9115625
346,12,63,20,1111.5994999999998
347,12,65,5,1553.942
348,12,66,16,2200.0412499999998
349,12,67,1,918.89
350,12,68,4,2876.9975
351,12,69,3,381.1233333333333
352,12,77,157,9722.726560509554
353,12,78,25,2295.7960000000003
354,12,79,1,3419.21
355,12,80,118,5686.069745762712
356,12,81,179,12872.306145251396
357,12,82,2,1062.5
358,12,83,46,2736.2852173913047
359,12,84,5,4849.656
360,12,85,3,2270.8333333333335
361,12,86,87,1496.1677011494253
362,12,88,1,264.96
363,12,89,4,411.635
364,12,90,10,553.327
365,12,93,17,830.6570588235294
366,12,96,12,2912.9475
367,12,97,1,356.01
368,12,99,12,1629.7741666666668
369,12,100,242,535.9868181818182
370,13,3,91,1215.2596703296704
371,13,6,2,1658.0700000000002
372,13,7,1,12186.52
373,13,17,9,5935.135555555556
374,13,20,1,1376.39
375,13,26,2,1694.7900000000002
376,13,27,4,1163.7075
377,13,29,1,477.21
378,13,31,2,347.655
379,13,32,1,551.4000000000001
380,13,33,134,568.7227611940299
381,13,34,59,1073.0335593220339
382,13,37,36,621.6636111111111
383,13,38,18,1707.937777777778
384,13,39,1,1352.5
385,13,40,171,1101.8709356725146
386,13,41,10,1680.39
387,13,43,2,3424.59
388,13,44,11,736.9963636363636
389,13,45,39,1279.7171794871795
390,13,48,2,599.5550000000001
391,13,50,7,4681.174285714286
392,13,52,2,12409.300000000001
393,13,54,113,1330.015663716814
394,13,55,48,5344.794375
395,13,56,3,3329.5766666666664
396,13,57,5,3411.004
397,13,59,15,1814.4233333333334
398,13,62,14,739.6064285714285
399,13,63,6,678.1883333333334
400,13,65,6,3710.9216666666666
401,13,66,7,1580.9228571428573
402,13,68,2,2386.115
403,13,77,76,11350.510921052632
404,13,78,20,9146.835
405,13,80,52,6461.449807692308
406,13,81,122,9035.766721311476
407,13,82,1,817.64
408,13,83,16,1707.151875
409,13,85,1,777.87
410,13,86,36,1551.746111111111
411,13,87,1,305.12
412,13,88,3,1813.0966666666666
413,13,89,4,321.60749999999996
414,13,90,3,267.83
415,13,93,15,990.7686666666667
416,13,96,6,798.92
417,13,97,1,287.65
418,13,99,9,841.1211111111111
419,13,100,228,506.9347368421052
420,14,3,36,557.0158333333334
421,14,32,1,481.25
422,14,33,43,757.4062790697675
423,14,34,13,623.8369230769231
424,14,37,1,490.05
425,14,38,2,1017.24
426,14,39,1,1205.06
427,14,40,2,761.25
428,14,41,1,363.68
429,14,45,1,818.47
430,14,54,5,401.96200000000005
431,14,57,3,457.06
432,14,67,1,338.6
433,14,81,2,12573.645
434,14,86,2,673.8499999999999
435,14,90,7,474.2557142857143
436,14,93,3,1959.57
437,14,96,1,780.65
438,14,99,3,1534.83
439,14,100,51,429.6113725490196
440,15,3,3,840.8633333333333
441,15,4,1,253.81
442,15,33,1,622.39
443,15,38,1,2473.95
444,15,40,2,714.825
445,15,41,3,723.7599999999999
446,15,45,1,200.67
447,15,77,5,8047.360000000001
448,15,78,1,8705.09
449,15,80,3,15440.563333333334
450,15,81,5,18190.11
451,15,100,25,373.5988
452,16,3,4,1447.0075
453,16,17,2,358.775
454,16,33,2,355.275
455,16,38,1,203.73
456,16,39,1,2050.43
457,16,41,2,1577.21
458,16,64,1,433.21
459,16,77,4,11408.6325
460,16,80,1,6726.0
461,16,81,3,9195.596666666666
462,16,86,1,346.72
463,16,100,20,563.6815
464,17,3,1,904.99
465,17,33,1,1010.85
466,17,40,29,962.8168965517241
467,17,41,1,1104.27
468,17,44,1,272.12
469,17,54,2,299.055
470,17,83,4,1930.0900000000001
471,17,86,3,2648.24
472,17,99,2,436.66499999999996
473,17,100,5,738.152
474,18,3,1,497.45
475,18,22,1,400.7
476,18,27,1,3397.67
477,18,33,20,704.3399999999999
478,18,34,1,856.3199999999999
479,18,40,13,644.9515384615383
480,18,41,3,1311.2533333333333
481,18,54,1,453.63
482,18,83,2,877.875
483,18,86,4,947.89
484,18,89,2,965.9850000000001
485,18,99,1,535.67
486,18,100,23,505.4430434782609
487,19,3,4,1059.6975
488,19,17,1,210.72
489,19,31,2,356.8
490,19,33,32,1096.6853125
491,19,34,1,1292.34
492,19,38,3,1503.5900000000001
493,19,39,2,3387.6449999999995
494,19,40,14,860.4257142857142
495,19,41,1,1416.91
496,19,45,1,1129.4
497,19,54,1,1055.67
498,19,74,1,470.8
499,19,83,1,1322.49
500,19,86,5,458.78000000000003
501,19,89,1,253.55
502,19,96,1,2134.9700000000003
503,19,98,1,278.47
504,19,100,19,552.718947368421
505,20,3,3,793.1466666666666
506,20,26,1,1297.93
507,20,30,1,4296.51
508,20,31,2,1198.265
509,20,32,1,1997.1
510,20,33,27,720.0914814814815
511,20,34,4,873.9449999999999
512,20,38,2,3306.2999999999997
513,20,40,33,962.520606060606
514,20,54,1,734.38
515,20,57,1,215.9
516,20,83,4,800.3075000000001
517,20,86,8,599.5274999999999
518,20,89,1,499.55
519,20,90,3,417.2866666666667
520,20,93,1,371.94
521,20,96,12,3240.1866666666665
522,20,98,1,11160.78
523,20,99,1,354.17
524,20,100,21,487.8266666666667
525,21,3,6,1060.8416666666667
526,21,17,16,337.82875
527,21,21,2,260.625
528,21,29,1,202.3
529,21,31,1,3587.04
530,21,33,14,468.11285714285714
531,21,34,1,632.42
532,21,38,1,343.79999999999995
533,21,40,1,930.2
534,21,41,1,482.04
535,21,45,1,5112.03
536,21,57,1,351.24
537,21,86,2,18723.93
538,21,89,3,232.28666666666666
539,21,93,28,691.2535714285714
540,21,96,16,4564.065
541,21,99,9,854.1933333333334
542,21,100,84,354.63916666666665
543,22,3,3,2383.8966666666665
544,22,17,1,210.1
545,22,31,4,3053.4425
546,22,33,31,591.1464516129032
547,22,34,1,964.64
548,22,38,3,962.54
549,22,39,1,8654.04
550,22,86,7,1005.9628571428572
551,22,89,9,643.0822222222222
552,22,93,24,490.9791666666667
553,22,96,22,3149.142272727273
554,22,97,1,1576.36
555,22,99,5,464.992
556,22,100,73,416.44342465753425
557,23,1,1,694.04
558,23,3,8,2000.58125
559,23,33,2,1400.19
560,23,34,2,2962.75
561,23,38,3,2433.0433333333335
562,23,50,1,1583.09
563,23,54,3,3621.373333333333
564,23,55,1,4619.51
565,23,57,1,906.98
566,23,59,1,2902.19
567,23,84,1,4965.97
568,23,86,1,521.89
569,23,88,1,757.38
570,23,89,1,313.92
571,23,93,7,1099.4457142857143
572,23,96,14,4769.573571428571
573,23,99,1,286.3
574,23,100,19,750.4252631578947
575,24,0,8,1779.2075
576,24,3,49,1631.3771428571429
