,basy_zyzd_jbbm_3,basy_ssjczbm1_3,count,耗材费
577,24,6,2,1211.535
578,24,14,1,13956.48
579,24,17,39,545.6274358974359
580,24,21,1,429.86
581,24,23,1,324.55
582,24,26,1,1942.19
583,24,27,3,1632.0266666666666
584,24,29,2,324.98
585,24,31,8,9107.48625
586,24,32,4,483.4425
587,24,33,190,870.1503157894737
588,24,34,76,1849.830657894737
589,24,37,1,9330.0
590,24,38,282,1619.5337234042554
591,24,39,100,8317.207900000001
592,24,40,5,3270.606
593,24,41,30,1248.5456666666666
594,24,43,3,2144.0533333333337
595,24,44,26,2692.6569230769232
596,24,45,16,3360.2075000000004
597,24,46,9,6742.032222222222
598,24,47,4,2081.2799999999997
599,24,48,4,5165.62
600,24,49,5,1761.534
601,24,50,13,5295.943076923077
602,24,51,28,6300.626428571429
603,24,53,3,8970.536666666667
604,24,54,41,1899.9778048780488
605,24,55,16,2355.735625
606,24,56,22,4294.298181818182
607,24,57,72,770.485
608,24,58,1,1166.35
609,24,59,70,1914.774
610,24,60,1,4361.81
611,24,62,1,2848.42
612,24,65,2,5303.85
613,24,66,1,2697.76
614,24,67,1,530.5699999999999
615,24,69,2,394.38500000000005
616,24,74,2,1196.76
617,24,77,2,6296.395
618,24,78,1,28426.23
619,24,79,2,12371.33
620,24,81,4,1086.8125
621,24,82,1,1293.71
622,24,83,8,18478.42375
623,24,84,2,10666.960000000001
624,24,86,26,2928.8603846153846
625,24,87,5,316.73800000000006
626,24,88,22,1608.37
627,24,89,86,599.4824418604651
628,24,90,1,948.14
629,24,92,1,224.66
630,24,93,388,1122.1779639175256
631,24,96,584,4252.713784246575
632,24,97,5,2558.772
633,24,98,1,1508.22
634,24,99,141,544.8741134751773
635,24,100,765,466.6671895424837
636,25,0,6,1285.8916666666667
637,25,1,2,13386.285
638,25,3,78,1127.7583333333332
639,25,4,1,236.46
640,25,14,2,387.06999999999994
641,25,17,82,563.210243902439
642,25,18,1,353.59000000000003
643,25,21,4,958.335
644,25,27,7,1664.9757142857143
645,25,29,5,1495.204
646,25,31,17,5163.5023529411765
647,25,32,2,2201.995
648,25,33,389,942.8474293059127
649,25,34,128,2052.318515625
650,25,37,1,424.22
651,25,38,539,1911.6861410018553
652,25,39,200,6703.61245
653,25,40,11,1144.5118181818182
654,25,41,55,893.6412727272728
655,25,42,5,8554.742
656,25,43,3,12934.789999999999
657,25,44,52,2572.6284615384616
658,25,45,41,4521.81243902439
659,25,46,12,9757.255833333335
660,25,47,9,3955.4022222222225
661,25,48,3,3996.1800000000003
662,25,49,6,755.6483333333334
663,25,50,47,2535.272340425532
664,25,51,31,3998.587741935484
665,25,52,2,1506.3500000000001
666,25,53,2,5316.79
667,25,54,70,2405.0964285714285
668,25,55,28,2719.1078571428575
669,25,56,28,4925.2414285714285
670,25,57,152,784.7323684210527
671,25,58,3,2085.5266666666666
672,25,59,138,1819.3954347826088
673,25,60,6,2024.63
674,25,65,1,3259.94
675,25,68,1,4072.96
676,25,70,1,5816.549999999999
677,25,71,1,357.04
678,25,76,1,319.8
679,25,77,1,1491.51
680,25,78,3,4116.2300000000005
681,25,79,1,341.82
682,25,81,6,997.4366666666666
683,25,83,11,2052.3327272727274
684,25,84,2,983.44
685,25,85,1,2403.45
686,25,86,53,5996.123396226415
687,25,87,23,1101.408695652174
688,25,88,24,2362.6520833333334
689,25,89,140,853.2305714285715
690,25,90,4,532.0675
691,25,93,720,1271.302986111111
692,25,94,2,1145.7849999999999
693,25,95,1,422.51
694,25,96,1352,4582.734785502958
695,25,97,13,855.8476923076923
696,25,98,3,615.8333333333334
697,25,99,221,676.9642081447963
698,25,100,1575,497.3753015873016
699,26,0,11,4118.007272727274
700,26,1,4,13742.0025
701,26,3,109,1234.52
702,26,6,1,5396.35
703,26,14,2,6843.9
704,26,16,3,553.5833333333334
705,26,17,78,858.9485897435898
706,26,18,2,330.245
707,26,21,2,2322.99
708,26,22,1,1343.94
709,26,27,20,4114.1975
710,26,28,1,1824.01
711,26,29,7,900.79
712,26,31,16,2549.7331249999997
713,26,32,6,1147.0033333333333
714,26,33,462,966.0746103896104
715,26,34,162,1597.3094444444446
716,26,36,1,18503.7
717,26,37,5,5920.5019999999995
718,26,38,602,1772.5675083056476
719,26,39,202,7723.030247524753
720,26,40,7,2245.6314285714284
721,26,41,63,907.9519047619048
722,26,42,3,4676.71
723,26,43,5,3876.208
724,26,44,64,4594.1709375
725,26,45,54,4270.665555555555
726,26,46,18,7701.972777777778
727,26,47,12,3460.4266666666667
728,26,48,4,8237.93
729,26,49,14,2404.566428571429
730,26,50,39,2587.9353846153845
731,26,51,53,6132.997547169811
732,26,52,2,53303.03999999999
733,26,53,4,5877.6575
734,26,54,77,2318.328571428571
735,26,55,31,4120.072580645161
736,26,56,37,4894.757567567567
737,26,57,142,898.7821126760563
738,26,58,2,3049.53
739,26,59,149,2004.7461744966442
740,26,60,4,1771.175
741,26,61,1,5006.05
742,26,65,1,2617.38
743,26,66,2,5039.7
744,26,68,1,6824.290000000001
745,26,69,1,526.75
746,26,71,1,682.25
747,26,74,1,1848.64
748,26,76,1,1107.21
749,26,77,3,1632.1566666666668
750,26,78,1,648.7
751,26,79,1,23880.65
752,26,80,4,5709.365
753,26,81,5,2934.098
754,26,82,1,6892.72
755,26,83,14,1325.9378571428572
756,26,84,3,1693.86
757,26,85,1,752.4
758,26,86,37,3547.103513513513
759,26,87,24,500.42041666666665
760,26,88,20,1044.9785
761,26,89,186,621.6017741935484
762,26,90,7,588.9357142857143
763,26,91,1,468.72
764,26,93,859,1053.494190919674
765,26,94,1,520.11
766,26,96,1424,4599.1656952247195
767,26,97,16,850.45875
768,26,98,1,547.42
769,26,99,221,654.541040723982
770,26,100,1649,506.7219284414797
771,27,0,10,11398.588
772,27,1,3,8957.68
773,27,2,1,17841.28
774,27,3,104,953.3802884615385
775,27,6,2,1462.43
776,27,14,2,422.14
777,27,17,90,478.79866666666663
778,27,18,1,209.87
779,27,21,4,794.9675
780,27,23,1,1072.8
781,27,27,9,1547.0700000000002
782,27,28,1,2945.24
