,疾病,ICU检查检验均值,ICU次数,非ICU检查检验均值,非ICU次数
169,尿道狭窄	,7829.0,7,1939.1876923076923,1820
170,尿道的其他疾患	,4501.0,7,1462.0696857142857,2450
171,帕金森病,2947.15,7,2889.679311957248,10479
172,带状疱疹,4341.666666666667,21,847.8954759898904,83090
173,异位妊娠	,2014.3333333333333,21,1304.1196937856498,23317
174,循环系统的其他先天性畸形,6220.25,14,4469.192614840989,1981
175,心力衰竭,6850.923963414634,1148,2118.4438899591223,148981
176,心包的其他疾病,7847.216,35,4875.245963855421,1162
177,心房纤颤和扑动,8495.066666666666,21,3646.690461236506,14266
178,心绞痛,3368.8,35,2811.343018090222,91707
179,心肌病,7662.141,140,2983.4740632911394,11060
180,心脏停搏,5700.758163265306,343,2132.0694240837697,1337
181,心脏损伤,8388.18,28,5434.875,28
182,心脏病的并发症和不明确表述,31888.63333333333,21,1604.8744221879815,4543
183,心间隔先天性畸形,7383.75,14,4493.2901696712615,6601
184,念珠菌病,19337.51421052632,133,6669.257259100643,3269
185,急性和亚急性心内膜炎,3513.1666666666665,21,3510.495241935484,868
186,急性咽炎,1843.0833333333333,42,511.5393217535153,16926
187,急性喉炎和气管炎,1889.7733333333333,21,641.570696044066,13979
188,急性心包炎,6051.95,7,3835.47358974359,273
189,急性心肌梗死,7305.314266666666,1050,4139.322386934674,27860
190,急性心肌炎,25055.57125,56,3500.2871489361705,1645
191,急性扁桃体炎,2113.0,35,567.9410202464788,159040
192,急性支气管炎,2048.6125,112,612.8228817050946,265041
193,急性梗阻性喉炎[哮吼]和会厌炎,4513.58,14,1021.1215374331551,5236
194,急性肾小管-间质肾炎	,6653.447999999999,35,1736.855395377129,11508
195,急性肾炎综合征,3383.0,7,1216.0578761061947,791
196,急性肾衰竭	,7143.994736842105,133,4129.727253968254,4410
197,急性胰腺炎,13982.956470588237,595,2760.9805913589184,58002
198,急性阑尾炎,16607.0,14,1814.5152194503735,104944
199,恢复期,4723.883333333333,42,1346.8965351812367,6566
200,"惊厥,不可归类在他处者",3274.28875,56,1392.2759814528592,9058
201,慢性缺血性心脏病,5649.033170731707,287,1956.3156267099864,245616
