,疾病,ICU检查检验均值,ICU次数,非ICU检查检验均值,非ICU次数
393,部位未特指的消化性溃疡,6040.847368421052,133,1437.8833548850575,19488
394,酒精性肝病,8966.772500000001,112,2788.396507936508,4851
395,酒精的毒性效应,1691.65,70,558.8000787401575,889
396,重症肌无力和其他肌神经疾患,2805.1,14,3518.5158620689654,1624
397,链球菌性肺炎,5625.5599999999995,77,1636.0077458659705,8043
398,链球菌性败血症,26004.286666666667,21,9508.020784313725,357
399,镇癫痫药、镇静催眠药和抗帕金森病药中毒,2641.147142857143,196,1190.9724550898204,1169
400,阵发性心动过速,6297.85,98,2602.885632267442,9632
401,阿尔茨海默病,4712.6,7,3334.5567812500003,8960
402,静脉炎和血栓性静脉炎,10335.1,28,2952.19845096242,7637
403,非滤泡性淋巴瘤,23306.149999999998,14,7784.789405940594,2828
404,非糖尿病低血糖性昏迷,6467.1,49,1738.6505732484077,1099
405,非胰岛素依赖型糖尿病,6326.794468085106,658,2486.438907467294,190484
406,非阿片样镇痛药、解热药和抗风湿药中毒,3294.0,7,778.8002702702702,259
407,非风湿性二尖瓣疾患,9402.8,7,7519.48094059406,1414
408,颅内和椎管内脓肿及肉芽肿,13154.284615384617,91,4580.646174698794,2324
409,颅内损伤,10815.173755215577,5033,3329.351294391379,57162
410,颅骨和面骨骨折,9038.21052631579,133,1552.208638320775,13006
411,颈部其他和未特指的损伤,2693.4249999999997,14,1265.394366197183,497
412,颈部开放性伤口,2706.2000000000003,14,2609.025277777778,252
413,颈部骨折,9417.105555555556,63,4025.4074789915967,3332
414,风湿性三尖瓣疾病,3823.0,7,9453.417647058823,238
415,风湿性二尖瓣疾病,6224.5,7,4377.861791044776,938
416,食管恶性肿瘤,7638.699999999999,42,4385.546317657498,15778
417,食管炎,17643.5,7,1206.9422839506174,2268
418,食管的其他疾病,5343.056,70,2164.1187629688748,8771
419,食管静脉曲张,4477.0,7,2825.7148780487805,287
420,骨髓增生异常综合征,768.5,7,3851.8188183807442,3199
421,"髋和下肢烧伤和腐蚀伤,除外踝和足",30624.050000000003,21,1103.059720670391,3759
422,髋和大腿创伤性切断,8704.3,14,3131.5,7
423,髋和大腿开放性伤口,4463.75,14,1458.3402654867255,791
424,髓样白血病,11999.75,28,7284.515252225519,4718
425,高血压心脏和肾脏病,4521.0,7,3029.0946899224805,1806
426,高血压心脏病,4264.242857142857,49,2286.1672450175847,23884
427,高血压肾脏病,8210.0,7,3612.2317171717173,2079
428,麻痹性肠梗阻和不伴有疝的肠梗阻,5959.670999999999,140,1842.7520360763972,59374
429,鼻和鼻窦的其他疾患,7635.5,7,1294.0891754874651,12565
430,鼻咽恶性肿瘤,8763.45,14,4345.504788732394,1988
