,疾病,口腔科耗材费均值,口腔科次数,非口腔科耗材费均值,非口腔科次数
164,皮肤脓肿、疖和痈,388.61384615384617,26,206.02348835563106,14127
165,皮肤萎缩性疾患,2437.09,7,1145.4540013917883,1437
166,眼眶疾患,12679.9,2,287.7498810703667,2018
167,眼睑的其他疾患,13.0,2,139.6556844899507,13185
168,睾丸炎和附睾炎	,0.0,1,75.14777039848197,9486
169,短暂性大脑缺血性发作和相关的综合征,0.0,3,117.29182851259367,157341
170,神经疾患,60.28888888888888,9,388.73710870075354,38353
171,移植器官和组织的失败和排斥,21.013333333333335,3,1452.2857350565428,619
172,类丹毒,31.26,1,56.45473684210526,57
173,粒细胞缺乏,9.945,2,137.78228552717746,1527
174,紫癜和其他出血性情况,202.94666666666663,3,137.76897745078003,14679
175,累及身体多个部位的开放性伤口,0.0,1,921.3669030154849,1227
176,"细菌性肺炎,不可归类在他处者",10.744117647058824,51,128.07053147818374,559308
177,结缔组织和其他软组织的其他良性肿瘤,1556.75,6,592.7516922234392,1826
178,结缔组织的其他系统性受累,362.62399999999997,5,240.37002643005476,5297
179,结膜炎,0.0,3,15.143173489278752,2565
180,缺铁性贫血,32.795,2,109.20733301220295,6228
181,老年性白内障,2002.0,1,2003.2048485031585,182050
182,耳的其他先天性畸形,470.03,2,1425.7277497575171,1031
183,肋骨、胸骨和胸部脊柱骨折,5658.41,2,1256.6583927036684,88428
184,肌炎,349.875,2,139.11473795534664,4255
185,肌肉其他疾患,0.0,1,369.0906473214286,2240
186,肌肉骨骼系统和结缔组织的其他后天性变形,1728.6527397260274,73,4553.499528301887,424
187,肛门及直肠区的裂和瘘,197.0,1,469.6125200019164,20873
188,股骨骨折,30418.4575,4,5461.517098162126,53921
189,肩和上臂骨折,6505.22,3,2877.0369511368167,50140
190,肩损害,4589.35,4,705.2597197083962,55692
191,肺栓塞,415.99,1,2192.668989378822,6214
192,"肺炎,病原体未特指",87.38647058823528,34,113.61553973371738,462441
193,肾和输尿管结石	,0.0,1,1048.5825287649625,43108
194,胃和十二指肠的其他疾病,2372.68,1,447.17046376389027,61734
195,胃溃疡,0.0,1,362.9147402965924,40527
196,胃炎和十二指肠炎,14.238260869565218,46,35.98067825176313,183339
197,胆囊炎,0.0,2,97.67108545253514,31655
198,胆石症,1369.9450000000002,2,1783.1339486936497,181498
199,胆道的其他疾病,0.0,2,1462.959651026622,12809
200,背痛,0.0,1,20.312464936959465,47985
201,脂溢性角化病,139.92000000000002,1,197.84301089918256,734
202,脂蛋白代谢紊乱和其他脂血症,0.0,1,88.1707859922179,2570
203,"脊柱和躯干的其他损伤,水平未特指",986.05,1,1405.1415394566623,773
204,脊椎关节强硬,0.6863157894736842,95,80.43381022043617,340416
205,"脑卒中,未特指为出血或梗死",0.0,1,201.69031144781144,1188
206,脑和中枢神经系统其他部位的良性肿瘤,4923.1145,20,9413.46173816568,1352
207,脑和中枢神经系统动态未定或动态未知的肿瘤,1607.6999999999998,1,3341.075280453258,1765
208,脑恶性肿瘤,11658.883749999999,16,8336.585490580846,2548
209,脑梗死,212.84,3,1094.4261096314067,351797
210,脑的其他疾患,8.45,1,1261.3932869959579,10143
211,脑神经损伤,633.59,1,315.2820743034056,323
212,脑血管病后遗症,0.0,1,109.55707119778712,43021
213,脓胸,7962.62,1,2058.7657599053814,1691
214,腭恶性肿瘤,6146.489684210526,95,1182.9808219178083,73
215,腭裂,883.7070212765957,470,458.05677777777777,90
216,腭裂伴唇裂,1055.6,1,486.7709523809524,21
217,腮腺恶性肿瘤,3863.2786363636365,88,2215.3870967741937,217
218,腹内器官损伤,179.39999999999998,1,5171.83625753012,3984
219,腹膜炎,0.0,1,406.4288011449739,11878
220,腹部和盆腔痛,6.943396226415095,53,44.13628650137741,23595
221,膀胱炎	,0.0,1,176.6503499820981,11172
222,膝关节病,0.0,2,1203.6388684776382,134403
223,舌、口和咽的其他先天性畸形,354.55434285714284,175,345.17026706231457,337
224,舌其他和未特指部位的恶性肿瘤,8573.74329113924,316,1734.7514171122996,374
225,舌根恶性肿瘤,13192.639268292682,41,1640.8609183673468,98
226,舌疾病,803.2293922651933,181,416.96658436213994,1458
227,良性脂肪瘤样肿瘤,980.0689361702127,47,659.43484375,15104
228,蜂窝织炎,232.715,8,64.61512705640423,13616
229,血液和造血器官的其他疾病,176.39,1,688.192542759407,877
230,"血管瘤和淋巴管瘤,任何部位",741.8685430463576,302,2419.9672663448882,9116
231,血管舒缩性和变应性鼻炎,0.0,1,938.3470304975922,1246
232,"足骨折,除外踝",14467.283333333333,3,1442.6508006920415,28900
233,身体未特指部位的损伤,495.75333333333333,9,125.76417388292344,17322
234,部位未特指的恶性肿瘤,181.79,2,409.4318669527897,932
235,霍奇金[何杰金]淋巴瘤,471.47,1,1080.5837549407115,253
236,静脉炎和血栓性静脉炎,4.35,1,8415.881805119536,8282
237,非以改善健康状况为目的的操作,8685.439999999999,2,10972.816717892425,911
238,非滤泡性淋巴瘤,860.7268750000001,16,2041.0738229825213,2689
239,非特异性淋巴结炎,1050.091111111111,36,48.703970422441806,15079
240,非胰岛素依赖型糖尿病,13.633846153846154,13,255.8196037056099,190414
241,非霍奇金淋巴瘤的其他和未特指类型,1693.4635294117647,17,1717.7898283649504,2214
242,面和颈部的其他先天性畸形,796.435,50,611.8211488095238,1680
243,颅内损伤,1083.855,8,1813.5082482739715,58371
244,颅骨和面骨骨折,13576.919685641462,1177,1506.8755579289134,11704
245,颈椎间盘疾患,4.548333333333333,30,175.31143430794327,79690
246,颈部开放性伤口,680.6,1,1094.941469387755,245
247,颈部浅表损伤,604.8900000000001,2,98.15139393939394,660
248,颌的其他疾病,1835.3106675749318,734,566.5949166666667,360
249,骨和关节软骨其他和未特指部位的恶性肿瘤,16173.772982456141,57,4147.658844339623,424
250,骨和关节软骨良性肿瘤,7125.259659442725,323,2675.1621471652593,1658
251,骨坏死,69.32714285714286,7,7388.727502492523,14042
252,骨密度和结构的其他疾患,2929.325,2,1150.5314623857512,4267
253,骨的其他疾患,12184.80875,16,966.7693972818595,5077
254,骨质疏松伴有病理性骨折,18254.15,1,1364.8280925689035,42995
255,骨连续性疾患,9159.05,2,3887.148230277185,2814
256,髋和大腿浅表损伤,98.85,1,140.34784248841825,1511
257,髓样白血病,2265.2233333333334,3,1084.49742114237,4692
258,麻痹性肠梗阻和不伴有疝的肠梗阻,26.8,1,364.32274115831575,63506
259,黑素细胞痣,59.565,2,362.9054156296665,2009
260,鼻先天性畸形,3753.19,1,451.48957831325305,166
261,鼻和鼻窦的其他疾患,1006.5150000000001,4,923.1323565573771,11712
262,鼻咽恶性肿瘤,703.0949999999999,6,811.951762513312,1878
263,鼻旁窦恶性肿瘤,7357.424444444444,9,1865.5007643312101,157
264,龈炎和牙周疾病,141.04726618705035,139,8.32335309141728,20751
265,龋(牙),304.0815384615385,13,33.975,30
