,basy_caption,耗材费
324,叙永县向林镇卫生院,752.2466666666666
325,叙永县妇幼保健计划生育服务中心（叙永县妇幼保健院）,567.1444444444445
326,叙永县摩尼中心卫生院,8316.095
327,叙永县水尾中心卫生院,665.124
328,叙永县江门镇卫生院,561.415
329,叙永县马岭中心卫生院,1492.49
330,叙永县黄坭镇卫生院,1479.0
331,叙永安民医院,2457.377571669477
332,叙永民康医院,3910.1668316831688
333,古蔺县中医医院,2564.63301458671
334,古蔺县人民医院,2654.1640916736756
335,古蔺县双沙中心卫生院,1339.4675
336,古蔺县妇幼保健计划生育服务中心（古蔺县妇幼保健院）,340.9
337,古蔺县石宝中心卫生院,272.46666666666664
338,古蔺县茅溪中心卫生院,2479.958
339,古蔺县金兰街道社区卫生服务中心,1114.4666666666665
340,古蔺县龙山中心卫生院,1489.59
341,古蔺康兴妇产医院,2743.360507246377
342,古蔺德康医院,3963.7797209302325
343,古蔺树强骨科医院,4852.728947368421
344,合江健欣兴康医院,2235.434251626898
345,合江县中医医院,2924.1001479750776
346,合江县九支中心卫生院(合江县第二人民医院),3491.2194690265487
347,合江县人民医院,2923.4732519280205
348,合江县大桥中心卫生院（合江县第四人民医院）,868.22
349,合江县妇幼保健院,291.0594117647059
350,合江县符阳街道社区卫生服务中心(合江县符阳街道卫生院),625.0
351,合江康城肾病专科医院,1707.8380000000002
352,合江张氏骨科医院,209.0
353,喜德县人民医院,1130.8292024539878
354,四川何氏骨科医院,4728.335641025641
355,四川华美紫馨医学美容医院,5532.35294117647
356,四川华蓥山广能（集团）有限责任公司总医院,282.17391304347825
357,四川友好医院,427.8966666666667
358,四川友谊医院,3350.2281322094054
359,四川地质医院,421.945
360,四川大学华西医院,4458.350663068147
361,四川大学华西口腔医院,6508.925185185185
362,四川大学华西天府医院,675.062866414278
363,四川大学华西第二医院,2442.7900011909014
364,四川大学华西第四医院,3861.916992864424
365,四川天府新区万安社区卫生服务中心,292.775
366,四川天府新区人民医院,2195.5380256622516
367,四川天府新区太平中心卫生院,541.5539130434782
368,四川天府新区新兴卫生院,253.5
369,四川天府新区永兴卫生院,294.45
370,四川天府新区籍田中心卫生院,1608.2457142857143
371,四川奥斯迪康骨医院,3891.1373770491805
372,四川宝石花医院,2548.613721533583
373,四川巴中经济开发区人民医院（四川巴中经济开发区兴文中心卫生院）,1530.13203125
374,四川护理职业学院附属医院（四川省第三人民医院）,2329.9336471321694
375,四川泌尿外科医院,2210.476046511628
376,四川泰康医院,2308.235168408827
377,四川现代医院,3496.2009271112947
378,四川电力医院,1655.931777777778
379,四川省中西医结合医院（四川省中医药科学院附属医院）,990.1033774834436
380,四川省乐至县中医医院,2038.6975257731958
381,四川省交通医院,1556.23875
382,四川省儿童医院（四川省儿童医学中心）,526.6082921348315
383,四川省八一康复中心（四川省康复医院）,5393.970955223881
384,四川省医学科学院·四川省人民医院,8499.81194653214
385,四川省南充卫生学校附属医院,374.6914285714286
386,四川省南充精神卫生中心,1188.7257391304347
387,四川省司法警官总医院,1411.8272037914692
388,四川省地矿局四0五医院,2054.6521617418352
389,四川省妇幼保健院,1038.6568000851607
390,四川省建筑医院,4742.00365953109
391,四川省林业中心医院,2376.455
392,四川省武胜县中医医院,1808.5863772455089
393,四川省民政康复医院,771.4321428571428
394,四川省生殖健康研究中心附属生殖专科医院（四川省生殖健康研究中心附属生殖专科医院互宜达互联网医院）,388.6666666666667
395,四川省监狱管理局中心医院,1180.5303886925794
396,四川省科学城医院,3545.933454189123
397,四川省第一退役军人医院,1531.7758062234795
398,四川省第二中医医院,1908.864035460993
399,四川省第二退役军人医院,203.2
400,四川省第五人民医院,2490.5273301737757
401,四川省第四人民医院,4666.553867924528
402,四川省肿瘤医院,5266.161600073482
403,四川省骨科医院,5287.888913287386
404,四川眼科医院,1872.4564210526314
405,四川结石病医院,3834.7396919917865
406,四川绵阳四0四医院,4944.948266640254
407,四川肛肠医院,4013.7080563380287
408,四川蓝生脑科医院,4219.117121559633
409,四川西婵泛亚整形美容医院,5400.0
410,四川赫尔森康复医院,1885.0402325581395
411,四川锦欣西囡妇女儿童医院,1153.3289686237963
412,壤塘县人民医院,3479.7980263157897
413,大安区何市中心卫生院,334.63714285714286
414,大安区牛佛中心卫生院,836.968947368421
415,大安区老年病医院,475.02
416,大竹仁爱医院,750.5205128205127
417,大竹众幸医院,2384.7
418,大竹县东柳街道社区卫生服务中心,356.1455555555556
419,大竹县中医院,2191.238195302843
420,大竹县人民医院,2655.2067726240675
421,大竹县八渡乡卫生院,1213.92
422,大竹县四合镇卫生院,1016.5
423,大竹县妇幼保健计划生育服务中心,362.1209411764706
424,大竹县安吉乡卫生院,556.5333333333333
425,大竹县川主乡卫生院,277.5
426,大竹县文星中心卫生院,333.30029850746274
427,大竹县杨家中心卫生院,512.0833333333334
428,大竹县清水中心卫生院,578.61
429,大竹县清河中心卫生院,489.39
430,大竹县石子中心卫生院,934.5
431,大竹县童家镇卫生院,560.9
432,大竹县第三人民医院,1171.75
433,大竹县第二人民医院,2343.6985714285715
434,大竹县第四人民医院,936.3333333333334
435,大竹县观音中心卫生院,317.85900000000004
436,大竹县高穴中心卫生院,1177.6
437,大竹慈卫医院,2457.2188815789473
438,大竹骨科医院,3263.185100671141
439,大英县中医医院,923.1856617647059
440,大英县人民医院,1291.7266353677621
441,大英县回马镇卫生院,316.92
442,大英县河边中心卫生院,840.3957894736842
443,大英君珉骨科医院,5090.468142857143
444,大邑元兴卫生院,1396.1942857142858
445,大邑县人民医院,2679.599761459308
446,大邑县出江镇公立卫生院,238.29814285714284
447,大邑县妇幼保健计划生育服务中心,416.9864122137405
448,大邑县安仁镇公立卫生院,328.85
449,大邑县悦来镇公立卫生院（大邑县第六人民医院）,530.2894444444445
450,大邑县新场镇公立卫生院,310.8009090909091
451,大邑县沙渠街道社区卫生服务中心(大邑县第三人民医院）,322.95244897959185
452,大邑县王泗镇公立卫生院（大邑县第五人民医院）,356.55598870056497
453,大邑县第二人民医院,782.8711801242235
454,大邑县西岭镇公立卫生院,229.99
455,大邑宁康医院,810.2915789473685
456,大邑希尔医院,470.9850574712643
457,大邑志昌骨科医院,2320.639768976898
458,大邑望县中医医院（大邑望县中医医院互联网医院）,1269.138223583461
459,天全县中医医院,3201.30120020429
460,天全县人民医院,2099.929903846154
461,天全天愿医院,1117.8376868327402
462,夹江县中医医院,2918.1486534216338
463,夹江县人民医院,3124.4520399113085
464,夹江县木城镇中心卫生院,1376.7
465,威远县严陵镇卫生院(威远县第二人民医院）,872.8095959595959
466,威远县中医医院,1237.8704663212436
467,威远县人民医院,2195.8072584147667
468,威远县新场镇卫生院,492.34
469,威远县新店镇卫生院,354.4052941176471
470,威远县第三人民医院,1012.1783333333334
471,威远县连界镇卫生院,602.7479999999999
472,威远县镇西镇卫生院,1276.5994117647058
473,威远县龙会镇卫生院,2056.97
474,威远同心医院,922.8515463917524
475,威远大生医院,1124.182894736842
476,威远正和医院,1048.1471428571429
477,娇点医学美容医院,1436.3636363636363
478,宁南县中医医院,1518.1322319474837
479,宁南县人民医院,1201.2900434404867
480,宁南县妇幼保健计划生育服务中心（宁南县妇幼保健院）,423.009898989899
481,安岳仁良医院有限公司,1662.0939999999998
482,安岳县中医医院,2027.1075927687916
483,安岳县人民医院,2010.600902797808
484,安岳县兴隆镇中心卫生院,314.20838983050845
485,安岳县华严镇卫生院,1264.6666666666667
486,安岳县南薰镇卫生院,236.01857142857145
487,安岳县周礼镇中心卫生院,423.0309523809524
488,安岳县妇幼保健计划生育服务中心,612.064222972973
489,安岳县岳阳镇中心卫生院（安岳县第五人民医院）,610.75
490,安岳县思贤镇卫生院,234.99846153846153
491,安岳县拱桥乡卫生院,241.5675
492,安岳县李家镇中心卫生院,1220.4068181818182
493,安岳县林凤镇卫生院,244.3275
494,安岳县毛家镇卫生院,208.44
495,安岳县永清镇中心卫生院,410.82
496,安岳县石羊镇中心卫生院,682.5395614035087
497,安岳县第三人民医院,1772.3696296296296
498,安岳县通贤镇中心卫生院,2718.9656250000003
499,安岳县镇子镇中心卫生院,1396.705
500,安岳县龙台镇中心卫生院（安岳县第四人民医院）,1198.177818181818
501,安岳川中医院,4758.904347826087
502,安岳易视眼科医院有限公司,1326.9696594427246
503,安岳锦民妇女儿童医院,453.2025
504,安州仁晨医院,1505.26
505,安州民生医院,2101.3777777777777
506,宜宾三松医院,1470.8020000000001
507,宜宾三江新区沙坪社区卫生服务中心,764.7642857142857
508,宜宾三江新区白沙湾社区卫生服务中心,654.6075
509,宜宾中山医院,3491.6476923076925
510,宜宾利民医院,2087.3526617375232
511,宜宾协同医院,1452.3866666666665
512,宜宾和康白花骨科医院,3258.583982683983
513,宜宾和康骨科医院,4033.949708029197
514,宜宾国康骨科医院,4232.330488145049
515,宜宾大欣妇产医院,729.8297872340426
516,宜宾川南体育骨科医院,2499.1466025641025
517,宜宾市中医医院,2403.0485878962536
518,宜宾市中西医结合医院,1978.5591568047337
519,宜宾市南溪区大观镇中心卫生院,1179.405
520,宜宾市南溪区妇幼保健计划生育服务中心、宜宾市南溪区妇幼保健院,351.595
521,宜宾市叙州区双龙镇中心卫生院,262.5953125
522,宜宾市叙州区妇幼保健计划生育服务中心,744.3691240875913
523,宜宾市叙州区柳嘉镇中心卫生院,1317.4341379310345
524,宜宾市叙州区横江镇中心卫生院,243.18
525,宜宾市叙州区泥溪镇中心卫生院,704.18
526,宜宾市叙州区蕨溪镇中心卫生院,987.5675
527,宜宾市叙州区观音镇中心卫生院,1301.3480466472304
528,宜宾市叙州区高场镇中心卫生院,576.23
529,宜宾市妇幼保健计划生育服务中心,1032.423773006135
530,宜宾市工人医院,2110.113492063492
531,宜宾市矿山急救医院,1067.1388771929826
532,宜宾市第一人民医院,4062.2388210427434
533,宜宾市第三中医医院,1357.0135802469138
534,宜宾市第三人民医院,2229.600145267104
535,宜宾市第二中医医院,1341.9339562624255
536,宜宾市第二人民医院,3853.834095121029
537,宜宾市第五人民医院、宜宾市南溪区人民医院,1903.5511004431314
538,宜宾市第六人民医院,2048.4411754176613
539,宜宾市第四人民医院,3195.1527272727276
540,宜宾市翠屏区妇幼保健计划生育服务中心,488.33278820375335
541,宜宾戎南骨科医院,4268.368272727273
