,basy_yydj,basy_ssjczbm1_for_str_7,age_group,AGE-HAOCAI-only_operation-7-E,AGE-JCJY-only_operation-7-E,AGE-YP-only_operation-7-E,AGE-ZFY-only_operation-7-E,记录条数-only_operation-7
18542,5,56.0x03,6,5026.682592592592,2424.9755555555553,1487.4725925925927,12862.41814814815,27
18546,5,56.0x06,2,3166.3688,1876.576,1310.1936,10689.44,25
18547,5,56.0x06,3,3178.1924489795915,1537.6861224489794,1084.513469387755,9412.781632653061,49
18548,5,56.0x06,4,3711.0714864864863,1702.3567567567566,1338.1745945945945,10914.918108108108,74
18549,5,56.0x06,5,4737.821615384616,1975.1992307692308,1428.3953076923078,12615.459230769231,130
18550,5,56.0x06,6,4207.1876923076925,2295.982,1425.8564615384614,12436.788,65
18551,5,56.0x06,8,4075.062608695652,2189.449565217391,1433.6499999999999,12054.753260869566,46
18600,5,57.0x00,5,807.2825,1963.1681818181817,1273.3518181818183,7368.121818181818,44
18601,5,57.0x00,6,781.871,1783.4366666666667,1281.1623333333332,7337.361,30
18602,5,57.0x00,8,931.6864285714286,2313.4188095238096,1506.594523809524,8560.790714285715,42
18603,5,57.0x00,9,911.5612,2403.552,1238.1336000000001,8610.662,25
18650,5,57.4900,5,2671.055,3180.6309090909094,2375.1386363636366,14204.047727272728,22
18651,5,57.4900,6,2095.2923333333333,3375.5846666666666,1959.7596666666666,12417.955333333333,30
18652,5,57.4900,8,2290.3041463414634,3787.989512195122,2465.1239024390243,13979.024878048782,41
18701,5,57.9400,5,420.74216666666666,4578.355833333333,3435.5190000000002,13196.148666666668,60
18702,5,57.9400,6,563.4565333333333,5242.102133333334,3457.0441333333333,14943.664133333334,75
18703,5,57.9400,8,513.2712418300654,4645.8741176470585,4128.10294117647,14886.260588235295,153
18704,5,57.9400,9,631.818670886076,5240.996518987342,3668.8822151898735,15907.267594936708,158
18786,5,59.8x03,2,1947.8206666666667,1785.219,694.8803333333333,6221.760333333334,30
18787,5,59.8x03,3,1532.6393846153846,1657.1621538461538,636.5421538461538,5482.335384615384,65
18788,5,59.8x03,4,1670.7111340206186,1789.4795876288658,814.1715463917526,6065.21237113402,97
18789,5,59.8x03,5,2251.3952132701424,1966.6209952606637,907.3716587677726,6960.556113744076,211
18790,5,59.8x03,6,1528.5846456692914,2654.590157480315,1130.5106299212598,7585.385511811023,127
18791,5,59.8x03,8,1624.4132467532468,2762.611948051948,1263.901038961039,8337.910000000002,77
18792,5,59.8x03,9,1511.4231818181818,2706.215909090909,1377.7027272727273,7723.5654545454545,22
18814,5,60.1100,6,765.4131034482758,3362.868965517241,1045.5748275862068,6890.945172413793,29
18815,5,60.1100,8,878.7098113207547,4618.939622641509,1419.3347169811323,8922.945283018867,53
18826,5,60.2100,8,2879.7413636363635,3381.175,1312.2413636363638,12896.972272727273,22
18828,5,60.2900,5,2434.625277777778,2607.724166666667,1921.305833333333,12016.066666666668,36
18829,5,60.2900,6,2387.0572361809045,2453.4361809045226,2054.9209547738697,12438.508944723617,199
18830,5,60.2900,8,2352.869358108108,2755.067972972973,2095.637939189189,12831.911013513514,296
18831,5,60.2900,9,2477.2869135802466,3204.516049382716,2470.580864197531,13952.521234567901,81
18833,5,60.2901,6,2108.469761904762,2839.6190476190477,2183.0228571428574,12977.960952380952,42
18834,5,60.2901,8,2422.0959677419355,2857.7129032258067,2324.7098387096776,13371.826612903225,62
18835,5,60.2901,9,2296.215833333333,3767.905,2768.6720833333334,15671.797916666668,24
18837,5,60.2902,6,1971.2334065934065,2875.141208791209,2037.1425274725275,12625.042307692309,91
18838,5,60.2902,8,1951.655480769231,3106.5775,2015.3321153846155,13156.504903846155,104
18839,5,60.2902,9,2342.418064516129,3987.6196774193545,2594.235161290323,15479.979677419355,31
18849,5,60.6100,8,2439.1732142857145,4271.275,2624.882857142857,17180.6825,28
18994,5,65.2501,1,1482.2545714285716,1603.3014285714287,796.4974285714286,8126.277714285715,35
18995,5,65.2501,2,1513.5561061946903,1769.879292035398,898.1202654867257,8474.944778761062,113
18996,5,65.2501,3,1342.5582170542637,2150.8500000000004,1042.7948062015503,9557.19992248062,129
18997,5,65.2501,4,1397.992564102564,2413.951153846154,1241.9950000000001,10448.494743589743,78
19027,5,65.4100,4,1153.7610256410258,2479.7489743589745,1135.1215384615384,9688.299487179487,39
19028,5,65.4100,5,1010.2629032258066,2709.3664516129033,993.7487096774194,9702.071935483871,31
19045,5,65.6300,5,1444.0382352941178,3187.840588235294,1075.2450000000001,11320.74382352941,34
19066,5,66.0103,2,996.3073076923077,1247.2038461538461,905.2907692307692,7216.405769230769,26
19067,5,66.0103,3,1468.0033333333333,1188.4616666666666,1011.7746666666667,7953.931333333333,30
19084,5,66.4x02,2,1076.7758823529412,1265.8254901960784,851.8043137254901,7105.637843137255,51
19085,5,66.4x02,3,853.5560256410256,1377.3989743589743,885.5783333333334,7165.484871794871,78
19092,5,66.5102,3,1510.8791666666666,2171.5625,1149.145,9627.66375,24
19093,5,66.5102,4,1143.5455172413792,2140.2672413793102,1485.5082758620688,9945.587931034483,29
19111,5,66.6200,3,1005.8296428571429,1461.8875,1134.1200000000001,7636.7132142857145,28
19114,5,66.6201,2,1081.2359302325583,1228.8773255813953,912.0733720930232,7144.124418604651,86
19115,5,66.6201,3,1019.0523417721519,1311.0168987341774,845.006329113924,7191.739493670887,158
19141,5,67.2x00,3,445.94066666666663,1897.1033333333332,625.9753333333333,5381.225333333334,30
19142,5,67.2x00,4,364.23962962962963,1407.2748148148148,446.5,4671.980740740741,27
19169,5,67.3902,4,555.888695652174,1435.6200000000001,462.8004347826087,4843.82347826087,23
19201,5,68.1200,2,580.1241379310344,922.0289655172414,510.06172413793104,3969.5389655172416,29
19202,5,68.1200,3,498.13186046511623,1001.4111627906976,478.2676744186047,3722.357674418605,43
19203,5,68.1200,4,530.5391836734693,1502.9561224489796,488.1642857142857,4371.723469387755,49
19204,5,68.1200,5,519.5311538461539,1666.0588461538462,611.3326923076922,4647.386923076923,26
19212,5,68.2101,2,648.2815789473684,987.0268421052631,495.0843859649123,4313.316315789473,57
19213,5,68.2101,3,708.8364516129031,965.4129032258064,535.5115053763441,4477.346666666666,93
19214,5,68.2101,4,567.3105882352942,1226.1691176470588,546.1894117647058,4673.980882352941,34
19222,5,68.2302,4,680.7064,1531.9823999999999,590.5876000000001,6303.6431999999995,25
19234,5,68.2901,4,918.8527586206897,2350.355,1350.1625862068963,9980.931379310345,58
19251,5,68.2912,3,1687.364406779661,2034.76406779661,1328.9201694915253,11067.258813559323,59
