,最小样本数量,费用类型,记录总数,统计特征长度,原始训练数据量,原始验证数据量,训练数据可预测数据量,测试数据可预测数据量,训练数据可预测数据的均方差,测试数据可预测数据的均方差,训练数据可预测数据的O/E标准差,测试数据可预测数据的O/E标准差,训练数据可预测数据O/E均值,测试数据可预测数据O/E均值
28,5###10,耗材费,4266194,7,3412955,853239,152248,34179,6321.901095878899,6833.738516439933,0.6699494846867425,1.6893963661740066,1.0000000000000002,1.1354991332306872
29,10###15,耗材费,4266194,7,3412955,853239,100252,23857,6905.311127951324,7811.441251300298,0.7774135053613467,2.021679688736594,1.0,1.1213507863265375
30,15###20,耗材费,4266194,7,3412955,853239,76779,18385,7489.806741510188,8214.696543103079,0.8303799953856396,1.730446997929263,1.0,1.0734664592363252
31,20###30,耗材费,4266194,7,3412955,853239,119374,29349,6854.4757908682,7442.830875773046,0.8567152126364355,1.659986617248834,1.0,1.0497122514087895
32,30###50,耗材费,4266194,7,3412955,853239,170666,41874,7136.577284180204,7375.60485899694,0.9091247780850283,1.0615588921810317,1.0,1.015929910973325
33,50###100,耗材费,4266194,7,3412955,853239,258589,64291,6164.360329659312,6191.367067748718,0.9593746721756029,1.2070921325078778,1.0000000000000004,1.0213488221203062
34,100###1000000,耗材费,4266194,7,3412955,853239,2184635,544341,4572.179011575497,4625.463948152328,0.9736831152989873,1.0192317925707661,1.0000000000000007,1.0034132671784646
35,5###10,耗材费,4266194,8,3412955,853239,165006,37067,6740.267224187576,7142.811583731152,0.6637169250374394,1.662727052569384,1.0,1.127935761811243
36,10###15,耗材费,4266194,8,3412955,853239,108389,25864,6972.177818262748,8324.632873828079,0.7678665722165715,1.9113530771179879,1.0000000000000002,1.1028904399572312
37,15###20,耗材费,4266194,8,3412955,853239,80924,19448,6948.067310379853,8120.536487335001,0.8009019675231469,1.642821888691023,1.0,1.0776839441313897
38,20###30,耗材费,4266194,8,3412955,853239,126455,31002,6468.335942610801,6930.348302535609,0.8404403345025934,1.6162721758551224,1.0000000000000002,1.0481290082214
39,30###50,耗材费,4266194,8,3412955,853239,180829,44189,7020.602607262297,7383.693622147501,0.9038930546013002,1.053800677928743,0.9999999999999999,1.0146698769804887
40,50###100,耗材费,4266194,8,3412955,853239,266337,66172,6350.394428022466,6184.620860138784,0.9484706576872167,1.1737703765973144,0.9999999999999998,1.0179051854883556
41,100###1000000,耗材费,4266194,8,3412955,853239,2092689,521293,4361.166711372437,4399.608615405498,0.956660197112995,1.0126130455856746,1.0000000000000004,1.0040113993854094
