,basy_yydj,basy_ssjczbm1_for_str_4,HAOCAI-only_operation-4-E,JCJY-only_operation-4-E,YP-only_operation-4-E,ZFY-only_operation-4-E,记录条数-only_operation-4
2016,5,38.9,1172.864068589244,4123.471995323461,3640.874653156664,14315.401613406078,1283
2018,5,39.2,1276.8946,3425.393066666667,2547.1316,13856.787533333332,150
2019,5,39.3,1993.1088095238097,2024.4995238095237,3761.4595238095244,20699.867142857143,42
2020,5,39.4,6746.928392857143,2085.707142857143,1306.4557142857143,16423.31839285714,56
2021,5,39.5,13404.514174757282,3765.1564563106795,3317.4450485436896,31402.231844660193,206
2022,5,39.7,38876.75375586854,5012.0817840375585,5107.543028169014,61166.28892018779,426
2023,5,39.9,3712.527111670865,3965.5564903442487,5382.165323257767,29053.014366078925,1191
2025,5,40.1,701.3159420289855,3791.835507246377,1116.338115942029,7374.141884057971,69
2026,5,40.2,587.7275000000001,2815.3663636363635,919.4104545454545,7237.7243181818185,44
2030,5,41.3,590.8468965517242,4707.630344827586,2766.4520689655174,13197.390172413794,58
2032,5,41.5,7141.969292929292,8115.41595959596,6309.391313131313,36459.2596969697,99
2034,5,42.2,416.84826086956525,3888.148695652174,1238.925652173913,7160.935652173913,23
2035,5,42.3,3111.3927868852456,3062.5218032786884,2312.7168032786885,13691.575245901638,122
2036,5,42.4,22877.73865384615,9859.179038461538,7640.899230769231,58227.77192307693,52
2038,5,42.8,5299.298260869566,4283.873913043479,2669.649130434783,16074.778260869567,23
2039,5,42.9,2519.293939393939,2169.7833333333333,1518.3666666666666,8918.81303030303,33
2041,5,43.4,918.6541590214067,2100.2319673802244,778.0574617737003,6487.9554332313965,981
2044,5,43.7,18133.907499999998,8708.796875,7418.889999999999,50254.445,48
2046,5,43.9,17734.802894736844,9909.169736842106,7678.73,50517.515,38
2047,5,44.1,411.25932322053677,3223.5972812135356,1732.2188681446908,8251.143675612602,857
2049,5,44.4,2263.33125,4630.168428571428,4627.109642857143,18970.730142857145,280
2051,5,44.6,2121.825714285714,4595.033650793651,4448.682380952381,19278.11,63
2054,5,45.1,534.5420163487739,3479.2286103542233,1862.761771117166,8359.217901907357,367
2055,5,45.2,416.24536082474225,3430.358178694158,1383.2207903780068,7232.883058419245,291
2056,5,45.3,2173.656285714286,3089.4697142857144,2001.4265714285716,13363.238857142856,35
2057,5,45.4,859.0613655705996,1991.7604796905223,608.8935009671179,5449.9498452611215,2585
2058,5,45.6,6252.441063829787,6102.0493617021275,4826.442553191489,27648.817978723404,94
2059,5,45.7,8338.466593406592,8111.35043956044,6647.438021978021,35775.78989010989,91
2063,5,46.1,3277.9992857142856,5727.881428571428,5632.668928571429,23620.42392857143,28
2067,5,46.5,6421.619354838709,4441.948548387097,3578.4127419354836,22609.718387096775,62
2068,5,46.7,2524.469718309859,6184.781126760564,5539.7616901408455,23439.680845070423,71
2069,5,46.8,3479.496956521739,3568.3413043478263,2754.667391304348,15901.059130434782,23
2071,5,47.0,1464.0267727442906,1906.6415499812804,1376.1586184949456,8366.490453013852,2671
2074,5,48.2,609.8420000000001,3355.0133333333333,1133.1053333333334,7629.062999999999,30
2075,5,48.3,906.0882832618026,1956.3655536480687,657.5144721030043,6069.435854077253,1165
2076,5,48.4,1114.6767741935485,2125.1516129032257,2961.101935483871,11335.295161290323,31
2077,5,48.5,10877.604761904762,8127.321904761905,4618.584285714286,36301.70904761905,21
2078,5,48.6,11323.180666666665,7766.097777777777,4695.263703703704,36658.758074074074,135
2079,5,48.7,1434.624700854701,1771.8341880341882,1225.062905982906,10188.644529914529,117
2081,5,48.9,551.1674074074074,1414.6785185185186,1494.6033333333335,7373.013703703704,27
2082,5,49.0,511.31733333333335,1485.0635384615384,1451.7958974358976,7215.034230769231,390
2083,5,49.1,454.4735483870968,1389.5564516129032,1296.7560215053763,6335.545161290322,93
2085,5,49.3,430.55,1414.2376271186442,1293.2379661016948,6559.547457627118,59
2086,5,49.4,1023.1323407482305,1295.3963953488371,1225.4144691607685,6986.950520728008,1978
2088,5,49.7,491.9342857142857,1573.36125,1312.8351785714287,7374.8889285714295,112
2090,5,50.0,1522.8330555555556,2924.856388888889,1917.1875,12005.340277777777,36
2091,5,50.1,1030.431111111111,4563.423888888889,2175.5533333333333,11105.41388888889,36
2092,5,50.2,6703.809811320754,6810.104528301887,4696.019811320754,29950.639056603777,53
2093,5,50.3,10815.539736842105,6809.9710526315785,5206.9642105263165,35408.91815789474,38
2095,5,50.9,4554.412222222222,5585.559333333333,3770.287333333333,20193.8,45
2096,5,51.0,1998.3803703703702,5291.862962962964,3070.6833333333334,14201.51148148148,27
2097,5,51.1,7486.411111111111,4605.813611111112,3047.801111111111,22485.317222222224,36
2098,5,51.2,1614.1336408683342,2179.1590608777724,1342.645828220859,9374.342036337894,4238
2100,5,51.4,2408.6428571428573,4330.034285714286,3651.933142857143,18345.776571428574,35
2104,5,51.8,5685.7845,4338.1599,3228.148675,20973.59565,400
2105,5,51.9,4221.869264705882,4143.520441176471,3711.7298529411764,16558.493088235293,68
2114,5,53.0,2014.4979865016871,1526.3068503937009,700.8397412823398,7495.757367829021,889
2115,5,53.1,3078.0144615384615,1649.763,733.9552307692308,9868.213692307692,130
2116,5,53.2,2342.335294117647,1860.9203529411766,1132.4156470588237,9207.000235294117,85
2120,5,53.6,4957.267462686567,2194.810895522388,1020.3067164179105,12605.625970149254,67
2123,5,53.9,3053.5109090909095,2854.6122727272727,2018.325,14179.77,22
2125,5,54.1,2486.269677419355,5332.437741935484,5546.8932258064515,23328.507096774192,31
2126,5,54.2,1424.1908108108107,2900.4621621621623,1440.6240540540539,9463.583783783784,37
2127,5,54.3,947.0878787878788,1771.300606060606,894.6436363636365,6741.5254545454545,33
2128,5,54.4,4437.0884375,5023.239375,3170.6909375,21623.2428125,32
2129,5,54.5,1992.1062068965518,3122.541120689655,2394.8628448275863,13610.13681034483,116
2131,5,54.9,714.8657215189874,3491.848556962025,3462.937873417721,11798.214987341771,395
2132,5,55.0,3442.5120833333335,2840.9437166666667,1778.9142,14398.009066666666,600
2134,5,55.2,625.9925,3558.320833333333,1109.64,7332.155833333333,24
2137,5,55.5,4398.263620689655,5093.529137931035,3035.3562068965516,22675.65655172414,58
2139,5,55.9,1332.5880555555555,3538.636388888889,1869.1236111111111,9562.462500000001,36
2140,5,56.0,3542.7648777692893,1872.9575286478225,1202.7150572956455,10519.07202444614,2618
2142,5,56.2,3437.2944444444443,2328.4598148148148,1504.427962962963,13308.421296296296,54
2143,5,56.3,1692.4054347826086,2395.7110869565217,1007.835,7489.788043478261,46
2147,5,57.0,895.033743315508,2026.2375935828877,1311.7414438502674,7808.811818181818,187
2148,5,57.1,1401.5693939393939,2590.6960606060607,2020.7439393939394,11719.65,33
2150,5,57.3,573.7370689655172,2774.199655172414,1214.003448275862,6368.003275862069,58
2151,5,57.4,2336.2074534161493,3325.743291925466,2158.5003105590063,13091.406335403726,161
2155,5,57.9,600.0707128712871,5167.457841584158,3934.713524752475,16084.068396039604,505
2159,5,58.3,602.7291428571428,2016.9408571428573,1390.7392857142856,8484.42042857143,70
2162,5,58.6,775.8722222222221,1749.5766666666666,1146.8266666666666,6199.6840740740745,27
2168,5,59.8,1858.5568316831682,2159.3324893917966,964.0629561527581,7033.494752475248,707
2169,5,59.9,1882.948076923077,1552.252564102564,740.7005128205128,6093.618461538462,78
2171,5,60.1,858.9347101449275,4104.282536231884,1412.7031884057972,8662.218188405797,138
2172,5,60.2,2310.611345595353,2872.334056147144,2102.1949370764764,13002.889757986446,1033
2176,5,60.6,2375.296451612903,4093.671774193548,2801.038548387097,16904.858870967742,62
2179,5,61.2,387.66249999999997,1485.0617857142859,628.6750000000001,5118.821785714286,28
2181,5,61.4,511.63277777777773,1425.717222222222,550.9661111111111,5027.507777777778,54
2187,5,63.1,795.0691666666667,1132.3072916666667,736.080625,5848.272291666667,48
2193,5,64.0,987.2448148148148,754.9592592592592,278.6487037037037,2840.806111111111,54
2199,5,65.2,1377.2464200477327,2043.5843675417661,1026.9266587112172,9185.707589498807,419
2201,5,65.4,1118.6615887850467,2663.075046728972,1042.024018691589,9678.218037383178,107
2203,5,65.6,1368.504081632653,3178.1651020408162,1121.823163265306,11055.740204081632,98
2207,5,66.0,1314.296862745098,1236.6632352941176,992.725588235294,7812.722156862746,102
2210,5,66.4,938.6962580645162,1422.2601290322582,913.2812903225807,7423.715999999999,155
2211,5,66.5,1299.5225316455696,2068.574936708861,1276.0851898734177,9626.962405063292,79
2212,5,66.6,1043.9942690058479,1307.9854385964913,898.995730994152,7248.356198830409,342
2213,5,66.7,986.4604166666667,1568.8354166666668,933.58875,9824.575416666667,24
2218,5,67.2,416.8473563218391,1620.1410344827584,553.5035632183908,5109.373218390804,87
2219,5,67.3,556.3336082474227,1600.8457216494846,440.24974226804125,4762.824175257732,194
2224,5,68.1,513.8439444444444,1328.4145555555556,516.5450000000001,4248.258611111111,180
2225,5,68.2,930.5469345430978,1597.947278029812,704.6670641607259,6859.3258781594295,1543
2226,5,68.3,1414.690769230769,2069.93,1382.615,10668.171730769232,52
2227,5,68.4,1835.2045665634673,3526.6445820433437,1563.5800464396284,14654.705758513932,646
2228,5,68.5,878.6108720930233,2734.467034883721,1270.9538372093023,11112.414709302326,172
2229,5,68.6,3126.6734146341464,5910.186829268293,2579.3965853658538,22629.185853658535,41
2231,5,69.0,444.7535406698565,1165.7197129186604,542.9049043062201,3986.4636602870814,418
2233,5,69.2,1912.5947826086956,2461.336956521739,1207.1039130434783,12467.342608695652,23
2235,5,69.5,578.4411111111111,835.9060000000001,442.25826666666666,3402.1725777777774,225
2240,5,70.3,350.80227272727274,1423.749090909091,405.68636363636364,4268.2531818181815,22
2242,5,70.5,1998.622393162393,1862.1109401709402,914.1816239316239,8936.074615384616,117
2243,5,70.7,1432.0359090909092,1175.0,672.5040909090909,6687.928181818183,22
2246,5,71.2,402.6591489361702,1504.3202127659574,607.0502127659574,4385.526595744681,47
2247,5,71.3,421.06703703703704,1837.9222222222222,484.57666666666665,5555.545185185185,27
2249,5,71.7,2521.623661971831,1538.5487323943662,786.4847887323943,9711.812957746479,71
2255,5,73.0,451.20753846153843,984.51,459.6956923076923,4306.757692307692,65
2257,5,73.4,517.5479166666667,1078.3374999999999,686.36,5279.6329166666665,24
2258,5,73.5,399.21772321428574,1223.610357142857,620.8291071428572,5377.692008928571,224
2259,5,73.6,459.0042574257426,1208.3624045261668,579.4673408769448,5230.152560113154,707
2263,5,74.1,740.6548205525432,1244.8962522592306,1134.528413374645,7300.43711980377,7746
2265,5,74.3,739.4833663366337,1404.3385148514851,773.199207920792,6557.515049504951,101
2266,5,74.4,859.7409302325582,1497.6918604651162,1116.396046511628,7509.411627906977,43
2267,5,74.9,853.3993181818182,2020.2931818181817,1668.4575000000002,9283.242954545454,44
2268,5,75.0,334.7413043478261,1049.5295652173913,708.1221739130434,4139.335652173913,46
2269,5,75.3,550.8102564102563,1058.8935897435897,896.1805128205128,6085.489743589744,39
2271,5,75.5,419.1735483870968,1157.18,706.0390322580645,5783.357419354838,31
2272,5,75.6,415.3114599686029,1203.040361067504,572.2073155416012,5302.459238618525,1274
2276,5,76.2,480.39,1461.1523076923077,560.2065384615385,5809.902692307693,26
2278,5,76.7,13176.514285714286,5587.065714285714,5294.369523809523,37844.27333333333,21
2282,5,77.2,3092.1876923076925,2470.686923076923,1673.3125641025642,14130.17641025641,39
2286,5,77.6,1982.3165,2583.6995,1866.017,12364.6528,100
2291,5,78.1,10666.285,4836.766333333333,3655.860666666667,34212.40066666667,30
2294,5,78.5,4736.393085106383,2738.766914893617,2698.271489361702,18659.330638297874,94
2295,5,78.6,662.5812094513416,1215.8612815378456,778.1976491790148,5865.209979975972,2497
2298,5,79.0,902.437962962963,2266.4194444444443,1571.3972222222221,9254.008518518518,54
2299,5,79.1,2894.150325732899,3708.8709446254074,2429.9107328990226,16955.167785016285,614
2300,5,79.2,5875.66625,3240.0281250000003,3403.4703125,21884.6540625,32
2301,5,79.3,4418.513560289918,3024.9128464748514,2534.3181792224905,18157.334118163846,4553
2304,5,79.6,2000.9306593406593,1732.9351648351649,2047.051868131868,11106.933846153846,91
2306,5,79.8,4000.370833333333,3084.7332291666667,2261.5438541666667,16639.726145833334,96
2309,5,80.1,1751.3495833333334,2190.40625,1147.8270833333333,10060.137916666667,24
2311,5,80.4,695.2576666666666,1075.3416666666667,1059.599,8345.236666666668,30
2312,5,80.5,3886.625922551253,3053.7644191343966,1629.3189066059226,15120.578041002278,439
2313,5,80.6,2675.647340425532,1984.2160638297871,1382.7252127659574,13014.53425531915,94
2314,5,80.7,2790.311466666667,2487.3793333333333,1461.4678666666666,13491.3388,75
2315,5,80.8,1695.1737288135594,2205.275593220339,1539.1525423728813,11111.880508474576,59
2317,5,81.0,9186.100965250966,4651.175675675676,2964.728416988417,28925.545444015446,259
2321,5,81.4,7195.695921568627,2240.221294117647,1464.8650980392156,18422.857098039214,255
2322,5,81.5,10153.529731136166,4038.213668690373,2894.2234692107545,27283.68830875976,1153
2323,5,81.6,2917.768401102688,3447.6690627153685,1279.400434183322,11833.030978635423,1451
2325,5,81.8,11823.495838926176,2513.08355704698,1824.6836241610738,25186.252483221477,149
