,basy_yydj,basy_ssjczbm1_for_str_4,HAOCAI-only_operation-4-E,JCJY-only_operation-4-E,YP-only_operation-4-E,ZFY-only_operation-4-E,记录条数-only_operation-4
2866,6,00.7,33200.932628205126,6796.9792307692305,6072.701282051282,69664.58198717948,156
2867,6,00.8,23796.03108843537,5087.123197278912,3136.6802721088434,45738.10537414966,147
2868,6,01.0,10284.1796875,15292.200416666667,21211.857812500002,66530.8653125,96
2869,6,01.1,2711.4101176470585,9178.707176470589,11111.088352941177,34959.52647058824,85
2870,6,01.2,18253.389690265485,13691.327577433629,18027.526670353982,76931.21006637168,904
2871,6,01.3,14975.39089159466,12765.52675569521,17427.522615868027,71670.85561665357,2546
2873,6,01.5,18910.95393216746,11810.118892421835,13133.792538420774,72065.45692103868,1887
2874,6,01.6,6954.925434782609,4022.595434782609,3692.0465217391306,23232.090434782607,92
2875,6,02.0,20184.48079155673,5638.400369393141,8361.847519788918,47548.56092348285,379
2876,6,02.1,11618.765111111112,9530.325777777778,12659.750444444446,55366.47177777778,45
2877,6,02.2,11990.424210526317,13369.196315789473,17116.812192982456,64334.45377192982,114
2878,6,02.3,31509.314311926606,11479.293486238532,19617.434036697246,96117.3066055046,109
2880,6,02.9,143623.51330827066,6699.177142857143,3366.245413533835,171217.7490225564,133
2881,6,03.0,24499.19254789272,7172.881781609195,6049.170785440613,56285.16459770115,522
2883,6,03.3,840.7647645356485,7288.383696395686,5565.859160747173,20059.26962115233,3801
2884,6,03.4,23378.84075892857,9626.582321428572,8278.242410714285,65040.32316964286,224
2885,6,03.5,29938.033299457995,6191.620955284552,6316.730508130082,57563.075216802165,1476
2886,6,03.6,2506.682537313433,3942.770671641791,1116.979104477612,18659.37089552239,134
2888,6,03.9,1151.2696978851964,3647.3635347432028,2920.4424269889223,12586.000775427996,993
2889,6,04.0,7237.764604166668,3695.5162291666666,2920.431145833333,22768.69277083333,480
2891,6,04.2,1917.2131025641024,3889.6362307692307,1480.5356666666667,13801.014153846152,390
2892,6,04.3,3061.108031914893,1257.8412765957446,2645.379414893617,15320.499414893618,188
2893,6,04.4,8016.08573309921,3407.752581211589,2466.583599648815,23054.51000877963,1139
