,最小样本数量,费用类型,记录总数,统计特征长度,原始训练数据量,原始验证数据量,训练数据可预测数据量,测试数据可预测数据量,训练数据可预测数据的均方差,测试数据可预测数据的均方差,训练数据可预测数据的O/E标准差,测试数据可预测数据的O/E标准差,训练数据可预测数据O/E均值,测试数据可预测数据O/E均值
1915,30,总费用,9682761,3,7746208,1936553,7438814,1857814,11152.30317238092,11252.429510875081,0.7259452533261966,0.7507398130209811,1.000000000000001,1.0009489449474296
1916,50,总费用,9682761,3,7746208,1936553,7321608,1829328,11053.864585934301,11150.046276528765,0.7255770280707301,0.7454698001876848,0.9999999999999999,1.0006144424229424
1917,100,总费用,9682761,3,7746208,1936553,7095625,1773043,10901.265780304824,10973.806268342993,0.7239841082499642,0.740448888484682,0.9999999999999994,1.0003372152559091
1918,5,总费用,9682761,4,7746208,1936553,7584260,1891261,10308.667048224106,10533.098315944297,0.6838180247744899,0.7113673683247794,0.9999999999999996,1.00221849899848
1919,10,总费用,9682761,4,7746208,1936553,7499498,1871139,10241.322146517847,10382.616130854049,0.6851019978905727,0.7075604435785557,1.0,1.0014462603833325
1920,15,总费用,9682761,4,7746208,1936553,7430802,1854596,10181.491204970482,10300.207360497341,0.6857096143070542,0.7042022375924604,1.0000000000000007,1.000959839542323
1921,20,总费用,9682761,4,7746208,1936553,7376077,1841073,10138.479336663357,10156.490391811712,0.6860029295929692,0.7037184242386677,1.0000000000000016,1.0008745495498321
1922,30,总费用,9682761,4,7746208,1936553,7280723,1817817,10006.695560048178,10063.644257194203,0.6862253449974316,0.702522837364493,1.0000000000000002,1.0006385083975746
1923,50,总费用,9682761,4,7746208,1936553,7129909,1781081,9819.092843230208,9872.277111965419,0.6866965180106949,0.6982078278362736,0.9999999999999993,1.0002859219867892
1924,100,总费用,9682761,4,7746208,1936553,6849756,1711501,9546.758094104529,9660.129919827225,0.6863517279084274,0.6949943806746043,1.0000000000000002,0.999997863034231
1925,5,总费用,9682761,5,7746208,1936553,7378016,1835072,9472.150904074299,9761.716020658625,0.6189583952984171,0.656668991844737,1.0000000000000002,1.00324392718158
1926,10,总费用,9682761,5,7746208,1936553,7216696,1797871,9304.588767460142,9558.457379102281,0.6209171523652347,0.6515626935209738,0.9999999999999994,1.0020681068982886
1927,15,总费用,9682761,5,7746208,1936553,7098401,1769673,9215.822757387381,9356.510502392779,0.6217786997310698,0.6487319799707991,1.0000000000000013,1.0016365927753617
1928,20,总费用,9682761,5,7746208,1936553,7001339,1746047,9129.07127118015,9269.998942266822,0.6220927960321798,0.6475079739388137,0.9999999999999998,1.001364681300488
1929,30,总费用,9682761,5,7746208,1936553,6841798,1707009,8948.249751537545,9108.111562752907,0.622631315874536,0.6457021274287511,1.0000000000000007,1.0010308155969363
1930,50,总费用,9682761,5,7746208,1936553,6600188,1647748,8720.040257508846,8923.24522485333,0.6226313724843542,0.643817726963474,0.9999999999999989,1.0006491770668047
1931,100,总费用,9682761,5,7746208,1936553,6192269,1546565,8353.268898431452,8501.635014090001,0.6220888699862821,0.6413571402885743,0.9999999999999987,1.0002006801764012
1932,5,总费用,9682761,6,7746208,1936553,7358222,1829819,9419.863210332316,9705.02814167905,0.6170264367095669,0.6556259802420389,0.9999999999999991,1.0032390615572944
1933,10,总费用,9682761,6,7746208,1936553,7191246,1791389,9244.831658138164,9510.532296774156,0.6190260138052378,0.6508797525003597,0.999999999999999,1.0020802186156814
1934,15,总费用,9682761,6,7746208,1936553,7068313,1761976,9150.369052188322,9297.865467156174,0.6199320399183738,0.6477609295157806,0.9999999999999994,1.0015684772089997
1935,20,总费用,9682761,6,7746208,1936553,6968984,1737781,9051.924889766487,9210.283095146302,0.6202642347573216,0.6462059473489233,1.0000000000000002,1.0012363056833968
1936,30,总费用,9682761,6,7746208,1936553,6804195,1697552,8866.972739069523,9042.543686175972,0.6208095817327134,0.644640425830825,1.0000000000000004,1.0009742827035506
1937,50,总费用,9682761,6,7746208,1936553,6557275,1636919,8626.792069847106,8842.081139341792,0.6208886043241012,0.6429710192862943,0.9999999999999997,1.0006091529270713
1938,100,总费用,9682761,6,7746208,1936553,6140179,1533594,8254.158861610607,8418.091788649434,0.6201826308140117,0.639631817347451,0.9999999999999999,1.0001588880547323
1939,5,总费用,9682761,7,7746208,1936553,7150000,1774049,8959.951985204436,9206.850356001649,0.5925841545246731,0.6398699598033412,1.0000000000000009,1.0039844243540947
1940,10,总费用,9682761,7,7746208,1936553,6919990,1721446,8757.433648898928,8945.10709752149,0.5953350250399373,0.6302367962349783,1.0000000000000002,1.0024031094799393
1941,15,总费用,9682761,7,7746208,1936553,6756415,1682589,8614.386212555266,8777.02440569355,0.5966975900473269,0.6279183974324064,0.9999999999999992,1.0017258080031342
1942,20,总费用,9682761,7,7746208,1936553,6626470,1651381,8472.160212002651,8673.921879276932,0.5975016381563208,0.6262560464355441,0.999999999999999,1.0012702238899733
1943,30,总费用,9682761,7,7746208,1936553,6416851,1600498,8241.189812857046,8405.544840351955,0.598414099784106,0.6253194638094572,1.0000000000000004,1.0008824339163729
1944,50,总费用,9682761,7,7746208,1936553,6115465,1526281,8003.357876711041,8201.658424012501,0.5991403608387921,0.6256698076998338,1.000000000000001,1.0006924323470805
1945,100,总费用,9682761,7,7746208,1936553,5622183,1404103,7560.025628987039,7644.204776573046,0.5998167890227849,0.6245610581532388,0.9999999999999992,1.0002707676303204
1946,5,总费用,9682761,8,7746208,1936553,7072542,1753754,8801.884835765684,9079.166502271813,0.5858910083553476,0.635840957087987,0.9999999999999999,1.0043310885085517
1947,10,总费用,9682761,8,7746208,1936553,6820410,1695723,8561.927768101541,8829.395487796482,0.5889163862310633,0.6271043477218503,0.999999999999999,1.0026917384348746
1948,15,总费用,9682761,8,7746208,1936553,6644680,1654166,8424.518017936538,8649.464473881486,0.5903725109562612,0.6254969011022306,1.000000000000001,1.0019988634771304
1949,20,总费用,9682761,8,7746208,1936553,6503698,1620086,8318.637896337694,8544.985765178824,0.5913017860375444,0.6239497681848329,1.0,1.0015259164087609
1950,30,总费用,9682761,8,7746208,1936553,6279146,1565707,8087.02808044147,8239.277279710179,0.5923935157270073,0.6231787743516283,0.9999999999999987,1.0010712914509363
1951,50,总费用,9682761,8,7746208,1936553,5955226,1486357,7810.513132560663,7938.899255840681,0.5933768524689068,0.6226362664990298,0.9999999999999997,1.0007445485869695
1952,100,总费用,9682761,8,7746208,1936553,5437839,1358479,7345.157181631551,7358.323914479279,0.5938973334346813,0.6228012863000039,0.9999999999999994,1.000327642295569
1953,5,总费用,9682761,9,7746208,1936553,7069957,1753072,8799.713169049257,9073.464959238518,0.5855911321147482,0.6348514964326153,1.0000000000000009,1.0042639107400648
1954,10,总费用,9682761,9,7746208,1936553,6817134,1694876,8559.521982551894,8824.989714990641,0.5886190743051871,0.6271304856152118,0.9999999999999994,1.0026584333694601
1955,15,总费用,9682761,9,7746208,1936553,6641002,1653214,8423.317544637977,8645.859638871516,0.5900820771749526,0.6255265713568952,1.0000000000000016,1.0019663586269945
1956,20,总费用,9682761,9,7746208,1936553,6499970,1619111,8317.285928877534,8542.471414930138,0.5910096829961341,0.6239894040736294,1.0000000000000002,1.0014943347354797
1957,30,总费用,9682761,9,7746208,1936553,6274822,1564604,8086.288974222716,8236.670688995448,0.5921123921328934,0.6232002575916661,1.0000000000000009,1.0010150204096009
1958,50,总费用,9682761,9,7746208,1936553,5950555,1485174,7809.851867012052,7936.431827130254,0.5930779205700385,0.622732670008098,1.0000000000000004,1.0007201444033713
1959,100,总费用,9682761,9,7746208,1936553,5432255,1357066,7345.058585272623,7357.267040766367,0.5935541197063203,0.6228761915733797,1.0000000000000004,1.000312707485699
1960,5,耗材费,4266194,3,3412955,853239,3344909,833840,6666.852020161547,6738.321474080217,1.2668469674178195,1.4428837965696462,1.0000000000000009,1.0110559527442626
