,最小样本数量,费用类型,记录总数,统计特征长度,原始训练数据量,原始验证数据量,训练数据可预测数据量,测试数据可预测数据量,训练数据可预测数据的均方差,测试数据可预测数据的均方差,训练数据可预测数据的O/E标准差,测试数据可预测数据的O/E标准差,训练数据可预测数据O/E均值,测试数据可预测数据O/E均值
286,100,检查检验费,1854472,8,1483577,370895,755277,187704,1724.6048767389962,1681.5965408188058,0.6293094572510468,0.6345696789016901,0.9999999999999997,1.0021806659515935
287,5,检查检验费,1854472,9,1483577,370895,1236879,304327,1965.1352486140465,2000.0535178185655,0.5968989236238217,0.6333398768148524,0.9999999999999997,1.0086825263134371
288,10,检查检验费,1854472,9,1483577,370895,1153633,285192,1921.2284371801163,1941.0474005033195,0.6038071519539338,0.6298118895399683,0.9999999999999994,1.006067694076364
289,15,检查检验费,1854472,9,1483577,370895,1098411,271990,1893.097588721827,1889.6744700189643,0.6076552723926459,0.6280015880007666,0.9999999999999998,1.00524596736261
290,20,检查检验费,1854472,9,1483577,370895,1053937,261282,1879.7840855053464,1870.0233333227238,0.6103622790914814,0.6286625876594709,1.0000000000000004,1.0046464365534669
291,30,检查检验费,1854472,9,1483577,370895,987143,244989,1800.8930694630685,1772.8405702818616,0.6141450284634841,0.6281752473998768,0.9999999999999999,1.0037229133857433
292,50,检查检验费,1854472,9,1483577,370895,894075,222105,1762.2994711002334,1732.5487866081194,0.6196221548229998,0.6299297644548282,0.9999999999999994,1.0029143398266775
293,100,检查检验费,1854472,9,1483577,370895,754562,187537,1724.6164188580458,1681.562602105985,0.6292543445786245,0.6344833495984823,1.0000000000000002,1.0021791290974484
294,5,药品费,1698032,3,1358425,339607,1310131,326071,3606.135514438092,3768.3471062842445,0.9796450811055678,1.1036600569538486,1.0,1.0135704907874974
295,10,药品费,1698032,3,1358425,339607,1282237,319383,3560.734243738867,3564.9783291850495,0.9840055457532549,1.098180626656279,1.0000000000000004,1.011436741989446
296,15,药品费,1698032,3,1358425,339607,1261277,314316,3521.422693599491,3381.4356505765795,0.9863671517709797,1.0895959031297313,0.9999999999999997,1.0099707845950576
297,20,药品费,1698032,3,1358425,339607,1241991,309667,3510.8505939745287,3354.647275194319,0.9881205865555265,1.0468193639009238,1.0000000000000007,1.0080662179349353
298,30,药品费,1698032,3,1358425,339607,1211527,302164,3463.211270477687,3312.0543763919877,0.9895804618088793,1.0438070261882517,1.0000000000000004,1.0073430433011343
299,50,药品费,1698032,3,1358425,339607,1162549,289971,3429.4734521774694,3252.6352450147683,0.9924302576286514,1.031306179705131,1.0000000000000009,1.0058811395673906
300,100,药品费,1698032,3,1358425,339607,1075875,268547,3383.483776620796,3166.4530363804565,0.9946510723856389,1.0155309001346766,1.0000000000000007,1.0048594845487517
301,5,药品费,1698032,4,1358425,339607,1284937,319293,3358.2145078593085,3418.5548317553776,0.9263887652490651,1.0551535583723355,1.0000000000000004,1.0150485429617777
302,10,药品费,1698032,4,1358425,339607,1249387,310817,3305.738673585232,3362.8482944983184,0.9316305999320564,1.049667038861149,0.9999999999999997,1.0124875602370769
303,15,药品费,1698032,4,1358425,339607,1222619,304456,3291.980684557424,3183.5579769523792,0.9345525332329444,1.0442893960954565,1.0000000000000002,1.0111336203754504
304,20,药品费,1698032,4,1358425,339607,1200083,299037,3281.37171570658,3157.4961343678046,0.9362031006215611,0.9983811786119213,0.9999999999999994,1.0094211107393416
305,30,药品费,1698032,4,1358425,339607,1164407,290394,3265.912190007628,3090.0851430973175,0.9382947899105164,0.9976955332865661,1.0000000000000009,1.0086592691808074
306,50,药品费,1698032,4,1358425,339607,1112307,277419,3226.505924907716,3019.6912788204463,0.9409297652333911,0.97819797717909,1.0,1.006279551106905
307,100,药品费,1698032,4,1358425,339607,1015637,253520,3092.9765136285682,2892.427971329548,0.9421073385807966,0.9674771937579499,1.0000000000000002,1.0060155633234558
308,5,药品费,1698032,5,1358425,339607,1216398,300538,3100.833250974475,3179.4980160182977,0.8508407576401813,0.9911048268899334,1.0000000000000002,1.0158588746049626
309,10,药品费,1698032,5,1358425,339607,1159695,287627,3045.911432664947,3065.7616764008612,0.8578329475698507,0.9671128643534175,1.0000000000000002,1.01089719202828
310,15,药品费,1698032,5,1358425,339607,1119467,278029,3009.839118096046,2895.573979586879,0.8612043766367591,0.9623799914220953,0.9999999999999998,1.0091801984204036
311,20,药品费,1698032,5,1358425,339607,1087398,270343,2981.1790924004395,2765.314221243913,0.8630853730343616,0.9043335303508749,0.9999999999999996,1.007051175568772
312,30,药品费,1698032,5,1358425,339607,1037032,258298,2886.3144794195,2638.6585757513617,0.8655249545578223,0.9008275576394863,0.9999999999999998,1.0058707415981323
313,50,药品费,1698032,5,1358425,339607,961203,239463,2734.971745707919,2501.308565046938,0.8667679988702743,0.8941751302325707,1.0000000000000002,1.0044179282870973
314,100,药品费,1698032,5,1358425,339607,844275,210497,2559.6163814389824,2274.408595233568,0.8677842845574213,0.8792515838440699,0.9999999999999999,1.0027155503177452
315,5,药品费,1698032,6,1358425,339607,1210610,298925,3084.3091648872582,3016.371199096235,0.8484339608100384,0.995871145779799,1.0,1.0161719086955412
316,10,药品费,1698032,6,1358425,339607,1152584,285734,3023.4224374533123,2917.1165319208917,0.8555067120629557,0.9676333043014071,1.0,1.0108341389723023
317,15,药品费,1698032,6,1358425,339607,1111565,276015,2993.7076264300745,2860.76790381293,0.8588667553703568,0.9621174391501511,0.9999999999999998,1.0091983170442569
318,20,药品费,1698032,6,1358425,339607,1078614,268180,2964.4758449707715,2730.443774455918,0.8610064630518991,0.9042147779615455,1.0,1.007117350052049
319,30,药品费,1698032,6,1358425,339607,1028379,256155,2878.5533973097736,2598.055225774769,0.8633055786044879,0.900494130323241,1.0000000000000002,1.0058782189485442
320,50,药品费,1698032,6,1358425,339607,951801,237121,2725.6052204071743,2470.3154298042837,0.864841213521996,0.8910049809456213,1.0000000000000004,1.0041406075179264
321,100,药品费,1698032,6,1358425,339607,834667,208139,2524.6339684751056,2253.5278988092514,0.8660520980288441,0.8767414872524274,1.0000000000000002,1.0024118946736458
322,5,药品费,1698032,7,1358425,339607,1148592,282615,2924.006596900853,2788.9280556598496,0.8204055653353919,0.9739005497598476,1.0,1.0170404242475648
323,10,药品费,1698032,7,1358425,339607,1076207,266317,2835.825293731783,2643.8122654129893,0.8295124921209185,0.9446423009089446,1.0000000000000002,1.0108732516253633
324,15,药品费,1698032,7,1358425,339607,1026362,254514,2767.1985448540277,2509.855270443516,0.8338634299669835,0.9407870790892371,0.9999999999999998,1.0088279288488058
325,20,药品费,1698032,7,1358425,339607,989178,245675,2729.819626005743,2407.8563993446837,0.8364777811804669,0.8756967839133315,0.9999999999999997,1.0062637695767895
326,30,药品费,1698032,7,1358425,339607,927953,230888,2595.9889267301783,2311.7449111015276,0.8400672352311757,0.8675436999207522,0.9999999999999999,1.0050478658892794
327,50,药品费,1698032,7,1358425,339607,844974,210408,2504.031416679765,2226.173250591369,0.8436524037444101,0.8597029361178572,1.0000000000000002,1.0030527830107148
328,100,药品费,1698032,7,1358425,339607,717590,179089,2402.949287421286,2094.431027984115,0.8466073195898002,0.8481918964273019,1.0,1.0019567906557676
329,5,药品费,1698032,8,1358425,339607,1126201,276746,2885.7607724559352,2763.185601639087,0.8128075089670704,0.9670353549721518,1.0,1.0172840350079786
330,10,药品费,1698032,8,1358425,339607,1049170,259349,2778.4003085331115,2594.4373324055564,0.8226742721857493,0.9352474936102161,1.0,1.0108393379799125
331,15,药品费,1698032,8,1358425,339607,996408,246755,2723.942183186386,2428.0956017696894,0.8275959088940992,0.9294628130723647,0.9999999999999996,1.0085056345107921
332,20,药品费,1698032,8,1358425,339607,956690,237294,2686.5296603088223,2360.4489576591277,0.8305489629504198,0.8638728567839051,0.9999999999999998,1.0060362854849332
333,30,药品费,1698032,8,1358425,339607,894175,222251,2569.8743505344355,2255.384316546164,0.8346660293641788,0.8533239367131503,1.0,1.0041721111387238
334,50,药品费,1698032,8,1358425,339607,809800,201401,2474.154393516965,2175.515479334018,0.8393048190511604,0.848970807191594,0.9999999999999997,1.0026741678319624
335,100,药品费,1698032,8,1358425,339607,681351,170089,2403.7231185895025,2041.272552543081,0.8426955489541365,0.8331723489845374,1.0,1.0012747847370498
336,5,药品费,1698032,9,1358425,339607,1125340,276501,2885.800511745088,2763.394776630852,0.8124077523854079,0.9663399918368836,1.0,1.0172154106168947
337,10,药品费,1698032,9,1358425,339607,1048168,259073,2778.3886706885796,2594.7562409608845,0.8222917481362991,0.9345640223829654,0.9999999999999998,1.0107827430274963
338,15,药品费,1698032,9,1358425,339607,995294,246484,2724.135293645986,2428.2909747421086,0.8271740527699789,0.9291782265378183,1.0,1.008482007057908
339,20,药品费,1698032,9,1358425,339607,955615,237021,2686.9409513910628,2360.779809759077,0.8301510072502065,0.8636118660733995,1.0,1.0060360463996227
340,30,药品费,1698032,9,1358425,339607,893028,221967,2570.171329928523,2255.5480339272385,0.8342850497940787,0.8530287538538689,1.0000000000000004,1.004187914001119
341,50,药品费,1698032,9,1358425,339607,808644,201111,2469.6754401169705,2171.5913331797033,0.8388735620423984,0.8485670469393932,1.0000000000000002,1.0026315227832963
342,100,药品费,1698032,9,1358425,339607,680746,169943,2404.10756030029,2041.646123391201,0.8425183500333417,0.8328141565646865,0.9999999999999998,1.0012689713945337
343,5,总费用,1897313,3,1517850,379463,1467137,365188,10531.486006383104,9971.549544356521,0.6850222762693454,0.7162250940743733,1.0000000000000009,1.0056940756991162
344,10,总费用,1897313,3,1517850,379463,1438469,358412,10454.907890764547,9863.259811267259,0.6868797407017877,0.7066467687031652,0.9999999999999993,1.004258455547617
345,15,总费用,1897313,3,1517850,379463,1415337,352826,10348.167774840174,9758.083017548883,0.6875584752114985,0.6973903614126548,1.0,1.0034237392817056
346,20,总费用,1897313,3,1517850,379463,1395578,347954,10262.873931017724,9672.682251404007,0.6880962078393519,0.6954766722893605,1.0000000000000004,1.002973642151441
347,30,总费用,1897313,3,1517850,379463,1362798,339853,10135.098245353738,9595.555836512294,0.6883111730039476,0.6918166169373622,1.0000000000000002,1.0023556425635518
348,50,总费用,1897313,3,1517850,379463,1308240,326132,9946.339112455953,9416.881574780322,0.6878746784946316,0.6865291793157697,0.9999999999999997,1.0022059365800406
349,100,总费用,1897313,3,1517850,379463,1214577,302721,9730.345908110312,9217.890014131333,0.6857305199559076,0.6826211400109186,1.0,1.0018006545597178
350,5,总费用,1897313,4,1517850,379463,1440467,358111,9508.53541933753,8999.690497317757,0.6504517830943487,0.6767574931986663,1.0,1.0056981157675293
351,10,总费用,1897313,4,1517850,379463,1403157,349309,9384.126908995047,8800.658908072119,0.6531578902503156,0.6719287485643956,1.0,1.0042596304446345
352,15,总费用,1897313,4,1517850,379463,1374388,342377,9292.788757122069,8667.220958159358,0.6546779172874096,0.6586966783807461,1.0,1.0031067967952667
353,20,总费用,1897313,4,1517850,379463,1349784,336256,9203.571096488886,8609.015434842353,0.6556267510763972,0.6558557030313937,0.9999999999999994,1.0023629077534102
354,30,总费用,1897313,4,1517850,379463,1311613,326900,9041.982653957373,8473.157494979385,0.6566224264537678,0.6531411694784219,1.0000000000000002,1.0019575835631096
355,50,总费用,1897313,4,1517850,379463,1252993,312095,8808.33942367037,8301.408858113668,0.6575932521800368,0.6495648238427753,1.0000000000000002,1.0015862046772293
356,100,总费用,1897313,4,1517850,379463,1151600,287069,8521.731718893374,8024.567741710795,0.6567826996373552,0.6486220895481617,1.0000000000000002,1.0016578188955931
357,5,总费用,1897313,5,1517850,379463,1366611,338050,8542.982935322945,8088.069109647179,0.5874466686031055,0.6142294933136841,1.0000000000000004,1.0064095761974412
358,10,总费用,1897313,5,1517850,379463,1306353,324147,8377.383031503283,7903.732991344262,0.5911464579740784,0.6089025408006851,0.9999999999999997,1.004620887471144
359,15,总费用,1897313,5,1517850,379463,1262600,313720,8238.725511793547,7689.1558533834095,0.59285523961477,0.5990672689860382,1.0000000000000004,1.0034915337896542
360,20,总费用,1897313,5,1517850,379463,1228011,305317,8038.706384077098,7537.20622931258,0.5938772305230773,0.5953683467472974,1.0000000000000004,1.002921687928934
361,30,总费用,1897313,5,1517850,379463,1172798,291600,7697.566072622692,7249.329861753981,0.5945662682767832,0.593510610941831,1.0,1.0027313503882416
362,50,总费用,1897313,5,1517850,379463,1090647,271359,7171.802925114646,6866.584770965992,0.5942893494325263,0.5905899579133086,1.0000000000000007,1.0024526280496138
363,100,总费用,1897313,5,1517850,379463,961283,239246,6722.22871505255,6335.648933310485,0.5946627924061153,0.5872880146148607,0.9999999999999998,1.0021182611643744
364,5,总费用,1897313,6,1517850,379463,1360425,336456,8483.906953435322,8031.023268559124,0.5854071682186103,0.6138500735745579,0.9999999999999997,1.0065414787567863
365,10,总费用,1897313,6,1517850,379463,1298238,322039,8218.87353316827,7809.465116915212,0.5891916148107363,0.6085827161465156,1.0,1.0048504436870112
366,15,总费用,1897313,6,1517850,379463,1253728,311485,8071.290698796762,7640.313487050841,0.5907141962913878,0.5985610781533746,0.9999999999999998,1.003758894108065
367,20,总费用,1897313,6,1517850,379463,1218176,302901,7919.112054108555,7471.382873444264,0.5919255328018856,0.5950962324663998,0.9999999999999997,1.00322776244846
368,30,总费用,1897313,6,1517850,379463,1162692,289070,7613.575623383346,7177.928142703732,0.5925507471211927,0.5937791780728048,0.9999999999999998,1.0030742971370703
369,50,总费用,1897313,6,1517850,379463,1080648,268756,7083.781148073002,6762.259290746188,0.5927975784404594,0.5895501720852324,0.9999999999999998,1.0026322949098787
370,100,总费用,1897313,6,1517850,379463,951537,236781,6586.338397059285,6212.930086269392,0.5930105112452876,0.5862656400310398,0.9999999999999993,1.0022856071209703
371,5,总费用,1897313,7,1517850,379463,1293641,318786,7882.850233912313,7575.590211224636,0.5603169609224675,0.620096738831041,0.9999999999999997,1.0070011826000198
372,10,总费用,1897313,7,1517850,379463,1216390,300917,7538.339567099592,7214.4668320305245,0.5652890708822891,0.5823131836377506,1.0000000000000004,1.0047281479964885
373,15,总费用,1897313,7,1517850,379463,1162233,288161,7321.472383503742,6978.012605894676,0.567598798717764,0.5762672415828741,1.0,1.0033406807227445
374,20,总费用,1897313,7,1517850,379463,1120386,278131,7168.996263544566,6861.350786551659,0.5688351529293663,0.5738027862471662,1.0000000000000002,1.0027440296665169
375,30,总费用,1897313,7,1517850,379463,1054814,262078,6792.201486491531,6463.612284850476,0.5699705382524677,0.5723615069464864,1.0000000000000004,1.0024902090132493
376,50,总费用,1897313,7,1517850,379463,962851,239533,6331.478410816344,6088.404173481854,0.5715693570503954,0.5718915735428781,0.9999999999999998,1.0016793954337162
377,100,总费用,1897313,7,1517850,379463,820428,204137,5987.49610628718,5745.7859558072705,0.5759170632212985,0.5721273079493756,1.0000000000000002,1.0013127161149045
378,5,总费用,1897313,8,1517850,379463,1269794,312353,7715.088822015646,7437.059771892977,0.5538630800365293,0.5844113842432366,1.0000000000000002,1.00721598570724
379,10,总费用,1897313,8,1517850,379463,1186815,293326,7396.644188664029,7074.921787264949,0.5592035067032629,0.5771535847939809,0.9999999999999998,1.0048288625459485
380,15,总费用,1897313,8,1517850,379463,1129550,279896,7184.588776813713,6845.880896382619,0.5618685117429987,0.5717741000725838,0.9999999999999993,1.0036454693336172
381,20,总费用,1897313,8,1517850,379463,1085066,269173,7033.40056198088,6724.102187097421,0.5632133945067469,0.5688005837729854,1.0000000000000004,1.002737140943885
382,30,总费用,1897313,8,1517850,379463,1017206,252661,6486.600383960029,6225.534736887145,0.563886257120652,0.5678412740391584,1.0000000000000002,1.0025742868843193
383,50,总费用,1897313,8,1517850,379463,921883,229080,6202.499002022046,5980.796493682398,0.5664865298421454,0.5678875771938702,0.9999999999999999,1.0015400480775665
384,100,总费用,1897313,8,1517850,379463,779125,193692,5838.953960199294,5599.640558593455,0.5714299405831312,0.5659373582237722,0.9999999999999999,1.0007807525653534
385,5,总费用,1897313,9,1517850,379463,1268780,312112,7713.252572569776,7437.265740315517,0.5536565530272606,0.5843894071096555,0.9999999999999992,1.0072048481777682
386,10,总费用,1897313,9,1517850,379463,1185561,293033,7393.234306118574,7075.2325670121245,0.5589788806646943,0.5771579587353567,1.0,1.0048562943609505
387,15,总费用,1897313,9,1517850,379463,1128301,279564,7185.7224188202545,6848.218144410546,0.5616826198832076,0.571741094156305,1.0000000000000002,1.0036459345399367
388,20,总费用,1897313,9,1517850,379463,1083687,268830,7034.299895715895,6726.749061356904,0.5630210086820536,0.5688751738984796,0.9999999999999998,1.002763904200531
389,30,总费用,1897313,9,1517850,379463,1015794,252317,6487.302530925249,6227.786575241437,0.5637783293604831,0.5678742955742423,1.0000000000000002,1.0026242800582352
390,50,总费用,1897313,9,1517850,379463,920650,228755,6201.101890346735,5980.246222376806,0.5663406494251494,0.5676589046791762,1.0000000000000002,1.0015836983217796
391,100,总费用,1897313,9,1517850,379463,778425,193496,5840.019184717545,5600.476000371391,0.5712628377662666,0.5655897779848745,1.0,1.0007377604434167
392,5,耗材费,1195311,3,956248,239063,915854,227713,6480.944983254608,6481.714854811129,1.1810340426232215,1.3786517816927175,0.9999999999999999,1.0122152841850496
393,10,耗材费,1195311,3,956248,239063,894017,222564,6481.78924256091,6468.933574425198,1.1884840449484102,1.3266025741209604,1.0000000000000007,1.00765663805694
394,15,耗材费,1195311,3,956248,239063,877418,218590,6493.491405560537,6459.773116548927,1.1924749770024827,1.307593584939995,1.0,1.0055551328233936
395,20,耗材费,1195311,3,956248,239063,863413,215201,6494.662813461027,6446.21085940977,1.1953584549710876,1.291312210208362,1.0000000000000002,1.0042372138935203
396,30,耗材费,1195311,3,956248,239063,840701,209662,6471.633618397975,6424.71232709205,1.1993988753298213,1.2781146661366203,1.0000000000000002,1.001865393298089
397,50,耗材费,1195311,3,956248,239063,806369,201185,6377.06846618593,6323.958117275318,1.1992354112218313,1.2538363548599476,1.0000000000000002,0.9991754055932315
398,100,耗材费,1195311,3,956248,239063,746116,186074,6297.228173842538,6255.708368093695,1.2000798629334668,1.211576860381472,1.0,0.9965981642137022
399,5,耗材费,1195311,4,956248,239063,893303,221596,5828.53435729059,5745.2718231036415,1.1032979608800315,1.2744774012412303,1.0000000000000002,1.011234707330494
400,10,耗材费,1195311,4,956248,239063,864405,214901,5785.956447024589,5664.152688443334,1.1130404684715987,1.2280294234667364,1.0,1.0063565294206815
401,15,耗材费,1195311,4,956248,239063,844197,210082,5719.538508860255,5619.421492086664,1.1181988541717713,1.1947067401911207,1.0,1.003244792600169
402,20,耗材费,1195311,4,956248,239063,826658,205877,5712.839970760522,5582.999343811954,1.1217820953171855,1.194784328506099,0.9999999999999999,1.002266776986497
403,30,耗材费,1195311,4,956248,239063,799116,199255,5679.6783735714935,5565.389170464823,1.1269524384284682,1.1874174632476664,1.0,1.000753506017203
404,50,耗材费,1195311,4,956248,239063,760700,189560,5602.227425101775,5530.890673873184,1.128650476814505,1.1728844723973988,1.0000000000000002,0.9994649727440572
405,100,耗材费,1195311,4,956248,239063,693242,172614,5589.194877670062,5474.769789251899,1.134131492314909,1.1297328666910165,1.0000000000000004,0.9963440554136471
406,5,耗材费,1195311,5,956248,239063,837389,206441,5389.687442943244,5356.832865854786,0.9568496719493677,1.1548898296688872,1.0000000000000002,1.0129076768028107
407,10,耗材费,1195311,5,956248,239063,793358,196421,5259.226856213987,5151.128120836624,0.9688116061332055,1.096890216995895,1.0000000000000002,1.0071070876323385
408,15,耗材费,1195311,5,956248,239063,763757,189535,5244.742614766172,5133.4466776003965,0.9749342848991847,1.0200535448961265,1.0,1.0025993973758265
409,20,耗材费,1195311,5,956248,239063,739052,183579,5161.333177057138,5079.435540303748,0.9785376785945388,1.0148132372947345,0.9999999999999999,1.0014096271650264
410,30,耗材费,1195311,5,956248,239063,701280,174328,5052.878029299038,4987.648743985131,0.9837845929352591,0.9889935308971002,1.0,0.9988351063513857
411,50,耗材费,1195311,5,956248,239063,648951,161385,4937.946833862604,4885.426931804986,0.989598920086885,0.9804867465178592,1.0000000000000002,0.9972707008560873
412,100,耗材费,1195311,5,956248,239063,564832,140433,4562.413380361782,4469.867518013843,0.9869283328109678,0.9552837178181953,1.0,0.9951783224707959
413,5,耗材费,1195311,6,956248,239063,833390,205372,5333.19264725008,5281.566961786024,0.9517862048970591,1.135818660119608,1.0000000000000002,1.013181931378796
414,10,耗材费,1195311,6,956248,239063,788470,195113,5201.249387315881,5084.762468579241,0.9640418618332448,1.1018566462263168,0.9999999999999997,1.0075081003458362
415,15,耗材费,1195311,6,956248,239063,758219,188131,5169.803359463437,5055.307617477162,0.970276647745872,1.0256343819942968,1.0000000000000002,1.0028488918501446
416,20,耗材费,1195311,6,956248,239063,732919,182030,5096.566624905178,5012.687279340716,0.9743887540527773,1.0115216897678005,1.0,1.0010555997966561
417,30,耗材费,1195311,6,956248,239063,694846,172702,4980.725592770498,4916.430831910962,0.9800460491282607,0.9860349274801616,1.0000000000000004,0.9986958231972838
418,50,耗材费,1195311,6,956248,239063,642634,159803,4824.272299357557,4798.015622619028,0.985163421342797,0.978595062432383,1.0000000000000002,0.9972298425636531
419,100,耗材费,1195311,6,956248,239063,557851,138701,4381.848457362554,4338.211122120124,0.9819286206754045,0.9530099632435863,0.9999999999999998,0.9952466387798784
420,5,耗材费,1195311,7,956248,239063,780995,191589,4900.04049440466,4871.864081101,0.884025626863795,1.1531683674058502,1.0000000000000007,1.0169645756661498
421,10,耗材费,1195311,7,956248,239063,724889,178844,4780.929193269452,4728.626148027822,0.8992092583352591,1.100199543107839,1.0,1.008995781805203
422,15,耗材费,1195311,7,956248,239063,687768,170107,4669.930527235757,4652.7185092196005,0.907686873700329,1.083280997284344,1.0000000000000004,1.0051656586590687
423,20,耗材费,1195311,7,956248,239063,658653,163042,4620.890911141629,4613.332984912473,0.9119208005106044,0.974643736132171,0.9999999999999998,1.0016541597211766
424,30,耗材费,1195311,7,956248,239063,614526,152312,4470.454493444257,4459.262799613727,0.9187978094276221,0.9411317737840493,1.0000000000000004,0.9985526730581107
425,50,耗材费,1195311,7,956248,239063,551594,136955,4210.7733090885295,4241.194649840382,0.9172159154479796,0.9119460933364433,0.9999999999999998,0.9968115121578238
426,100,耗材费,1195311,7,956248,239063,456344,113513,3733.5624549693316,3774.2700262744274,0.9239938094341181,0.8221835957937372,1.0,0.9925673748775293
427,5,耗材费,1195311,8,956248,239063,763718,187065,4795.911929546998,4802.7500366701215,0.8625894429715648,1.144042084882511,0.9999999999999999,1.0178989880711242
428,10,耗材费,1195311,8,956248,239063,703564,173481,4639.765239624365,4641.203626405212,0.8784430140702373,1.0796330501039701,1.0,1.0098730192324583
429,15,耗材费,1195311,8,956248,239063,664833,164256,4569.632209314716,4564.681185412793,0.8871145225821584,1.061667753623848,1.0,1.0061659083792618
430,20,耗材费,1195311,8,956248,239063,634301,156917,4488.281756784233,4517.233203011553,0.8924271765476466,0.9544241802675482,1.0000000000000004,1.0028362829269934
431,30,耗材费,1195311,8,956248,239063,587772,145655,4365.207677172332,4373.8171332662405,0.9000081969533723,0.9386629970761707,1.0,0.9998686803377925
432,50,耗材费,1195311,8,956248,239063,523027,129912,3978.3831870222493,4040.2960752747954,0.903131339681208,0.9142260037162596,1.0,0.9974249569418128
433,100,耗材费,1195311,8,956248,239063,424629,105724,3668.653567322957,3696.546106429567,0.9138446109705813,0.8195444329663312,1.0,0.9921424753553315
434,5,耗材费,1195311,9,956248,239063,763012,186889,4795.712581227915,4803.299219509858,0.8622285261321161,1.1435342350709108,0.9999999999999999,1.0177279911652222
435,10,耗材费,1195311,9,956248,239063,702896,173326,4639.435277729301,4641.574576252893,0.8780804290383544,1.0793556809345535,1.0000000000000002,1.0098311014329773
436,15,耗材费,1195311,9,956248,239063,664039,164061,4569.457154117988,4565.130853484219,0.8868290341151102,1.061442716556388,1.0000000000000002,1.0061394847268144
437,20,耗材费,1195311,9,956248,239063,633397,156706,4487.970370799723,4513.410063913498,0.8922291225538469,0.9545584775878112,1.0000000000000002,1.002718912070597
438,30,耗材费,1195311,9,956248,239063,586866,145420,4364.94750759027,4373.863182074432,0.8998522490229185,0.9381721117225198,0.9999999999999996,0.9996995086449212
439,50,耗材费,1195311,9,956248,239063,522202,129720,3979.27229401426,4041.332553926493,0.9029635037362915,0.9145172259425169,1.0000000000000002,0.9974075239459157
440,100,耗材费,1195311,9,956248,239063,423881,105539,3669.6136895686445,3697.571917198504,0.9137942426277688,0.819784800498715,0.9999999999999998,0.9921263752781457
441,5,检查检验费,2824847,3,2259877,564970,2200579,547910,2448.1191187284776,2439.2189030124146,0.6897506145537969,0.7209964922876043,1.0,1.00402542725908
442,10,检查检验费,2824847,3,2259877,564970,2165703,539661,2424.4279058300895,2415.488322172875,0.6917004689936531,0.7184920476930453,1.0000000000000002,1.0031014636842954
443,15,检查检验费,2824847,3,2259877,564970,2137699,532932,2409.7492560701794,2404.7406587771625,0.6929385262001474,0.7186678822778648,0.9999999999999996,1.0028713508352152
444,20,检查检验费,2824847,3,2259877,564970,2113502,527029,2404.2240218713214,2387.7224501842365,0.6938162709147994,0.716167370621216,0.9999999999999998,1.0026259616342257
445,30,检查检验费,2824847,3,2259877,564970,2072912,516826,2389.4309563441793,2370.620569317288,0.6952032716278442,0.7162279166645948,0.9999999999999994,1.002211516260122
446,50,检查检验费,2824847,3,2259877,564970,2007827,500897,2366.618790459049,2359.1493883132453,0.6968087709752105,0.7172077281783721,0.9999999999999999,1.0020664213262924
447,100,检查检验费,2824847,3,2259877,564970,1885484,470452,2331.7884292233366,2336.4394265767637,0.698611092859317,0.7186725185676626,1.0000000000000002,1.0023298728106662
448,5,检查检验费,2824847,4,2259877,564970,2165550,538379,2338.3021297993405,2347.319856011007,0.6710413348994616,0.704448830039015,1.0000000000000002,1.0048755838137309
449,10,检查检验费,2824847,4,2259877,564970,2119071,527635,2313.555702956373,2317.621845280031,0.6738575884382515,0.7020755305105224,1.0,1.003708504471423
450,15,检查检验费,2824847,4,2259877,564970,2083805,519151,2296.7354550846544,2297.400108111129,0.6756933141897696,0.7021821389844225,1.0000000000000004,1.0032058479805062
451,20,检查检验费,2824847,4,2259877,564970,2052862,511628,2288.9488554638565,2284.62477078774,0.6770662074522812,0.7022765485712353,1.0,1.0030138938436164
452,30,检查检验费,2824847,4,2259877,564970,2003089,499224,2265.640093979074,2272.72276897325,0.6788181869716271,0.7029841613893851,1.0000000000000007,1.0028092092763747
453,50,检查检验费,2824847,4,2259877,564970,1927458,480640,2251.773841474805,2244.501492194207,0.6808984495438261,0.6999446602394457,1.0000000000000002,1.0027211869645105
454,100,检查检验费,2824847,4,2259877,564970,1797356,448379,2210.018196778868,2225.743990492571,0.6848008917443968,0.7031495568040117,1.0,1.0031345873334716
455,5,检查检验费,2824847,5,2259877,564970,2069197,512323,2171.385276588604,2185.03151294593,0.6210276001364436,0.6651629723412874,1.0000000000000004,1.0060409344282342
456,10,检查检验费,2824847,5,2259877,564970,1991079,494246,2131.259610810622,2135.2679846908477,0.6251523734426722,0.6633206607601365,1.0000000000000007,1.0044213303425817
457,15,检查检验费,2824847,5,2259877,564970,1934743,480782,2112.3602909629662,2105.7635945162997,0.6271469573253518,0.6634613954310163,0.9999999999999997,1.003929437632068
458,20,检查检验费,2824847,5,2259877,564970,1889391,469758,2094.1437551345357,2096.5479646775284,0.6288430983871266,0.6634194089429032,0.999999999999999,1.0034698758987495
459,30,检查检验费,2824847,5,2259877,564970,1816739,452007,2065.1113813013517,2048.638689977592,0.6311090218067283,0.6540056573786754,1.0000000000000002,1.0032275602276626
460,50,检查检验费,2824847,5,2259877,564970,1710563,425931,2018.5210306863623,2006.1185583910476,0.6336709630223599,0.6554248208029951,1.0000000000000002,1.0029244090363356
