,basy_yydj,basy_ssjczbm1_for_str_9,age_group,AGE-HAOCAI-only_operation-9-E,AGE-JCJY-only_operation-9-E,AGE-YP-only_operation-9-E,AGE-ZFY-only_operation-9-E,记录条数-only_operation-9
1963,1,73.6x01,2,667.0692307692308,1758.5648717948718,742.1648717948718,12773.976923076922,39
1974,1,74.1x01,2,831.5275708502024,1447.9439676113361,1194.0947368421052,13608.747692307694,247
1975,1,74.1x01,3,1087.8359677419355,2059.0320967741936,1490.9206989247311,19699.56940860215,186
1977,1,74.1x01 剖,2,936.0231578947368,929.3036842105263,1111.1023684210527,25659.50657894737,38
1978,1,74.1x01 剖,3,930.3844444444445,1078.2944444444445,1134.9522222222222,26482.20611111111,36
1991,1,75.6902,2,680.34,1941.6625,682.1764999999999,13805.572666666667,60
1992,1,75.6902,3,736.6734426229508,2981.1680327868853,651.5447540983607,20545.541311475412,61
2132,1,78.6103,5,475.4330434782609,656.8804347826087,1090.0947826086956,3821.382173913044,23
2180,1,78.6701,5,776.3029411764705,880.464705882353,1148.838823529412,5080.332352941176,34
2378,1,79.3600x0,5,7642.563783783783,1753.5621621621622,3695.4764864864865,17401.4572972973,37
2425,1,79.3900x0,5,5644.513181818183,1702.5818181818183,2699.0745454545454,13123.902727272727,22
2490,1,80.1604,4,104.99814814814815,1454.288888888889,5622.3192592592595,35185.4637037037,27
2491,1,80.1604,5,75.17122448979592,1374.2,5289.412448979591,23184.350612244896,49
2517,1,80.4101,1,0.0,719.7666666666665,540.1091666666666,16727.2425,24
2534,1,80.4501,1,0.0,779.0071428571429,1587.7285714285715,13333.992857142857,28
2535,1,80.4501,2,0.0,885.7516129032258,2503.513870967742,14696.47193548387,31
2536,1,80.4501,3,0.0,918.2384615384616,2882.9584615384615,15772.92,39
2537,1,80.4501,4,740.0,937.7409090909091,2751.5849999999996,16450.389545454545,22
2585,1,80.5200,4,334.86619047619047,760.6904761904761,823.8904761904762,4419.700952380952,21
2586,1,80.5200,5,222.02208333333337,842.0833333333334,927.8229166666666,4897.452916666666,24
2596,1,80.5900x0,4,1368.549365079365,1110.202380952381,2540.751904761905,8157.717142857143,63
2597,1,80.5900x0,5,1547.0504201680671,1162.0674789915965,2247.116134453782,7776.27974789916,119
2598,1,80.5900x0,6,828.3902040816328,1169.9004081632652,2176.6369387755103,6329.664489795919,49
2599,1,80.5900x0,8,1075.122,1283.7551428571428,2352.016285714286,7626.5371428571425,35
2684,1,81.5100,6,19871.3412,2200.804,3850.1112,32458.886400000003,25
2685,1,81.5100,8,22890.820869565217,2485.6782608695653,4647.3026086956515,37327.74260869565,23
2715,1,81.6600x0,8,6588.142962962964,1756.9062962962964,1611.397037037037,12488.02037037037,27
2731,1,81.9100,5,105.06045454545455,970.325,1200.594090909091,4458.88409090909,22
2737,1,81.9101,5,69.18708333333333,943.9708333333333,1936.1804166666668,4488.75875,24
